tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
1534167727442624500,"Tá bom que tens dinheiro, mas usar dois relógios é pra quê? https://t.co/IUFaEMKaQt",55,59,60.0,neutral,neutral,negative,neutral
1509800559594946600,@user “Deixa Tomar uma enquanto penso no assunto”😭😭,58.0,57,54,negative,negative,neutral,negative
1331156943117946880,eu dou por terminada as minhas palavras passo a palavra à colega colega passas qual palavra se vc já falou toda merda do trabalho professor,55,59,60.0,neutral,neutral,negative,neutral
1342547526877126656,yanicka manjate a taça é tua,58,57.0,54,neutral,positive,positive,positive
1546974405816901600,#PulpitOfEternalGospel Vamos voltar para DEUS AMADOS JA NAO TEMOS MAS TEMPO @user,58,57.0,54,neutral,negative,neutral,neutral
1341807649982197761,não queres me dar tua amiga,55,59,60.0,neutral,neutral,neutral,neutral
1530240538607243300,"Escolas secundárias estão a criar uma juventude e adolescência cheia de marginais, antigamente estudantes sofriam por conta de marginais que vinham as escolas e hoje em dia os marginais dão os próprios alunos. Triste realidade.",55.0,59,60,negative,negative,neutral,negative
1508441075165315e3,"@user @user Não estou a defender a violência blood,mas isso de alguma maneira tinha de parar, desde 2016 que o Rock faz piadas de muito mau gosto com o Will a ponto de ir comentar merdas NUM post de aniversário de um dos filhos....tinha de parar",55.0,59,60,negative,neutral,negative,negative
1477570899931025400,#GlobalWordFest📌 📌 As promessas de Deus são confiáveis e VERDADEIRAS. Elas vão passar,55,59.0,60,positive,neutral,neutral,neutral
1501657695962734600,"@user Quando o ARREBATAMENTO acontecer, toda a humanidade saberá e então procurarão pelo Messias, é quando vão querer ouvir o Evangelho e obedecer, mas será tarde de mais. O Messias està a vir! #PowerInResurrection",55.0,59,60,negative,neutral,neutral,neutral
1495745987448557600,Dar às pessoas a oportunidade de lutar em vez de lhes dar as coisas pelas quais estão a lutar irá tornar las mais fortes.,55,59,60.0,positive,positive,neutral,positive
1473359858741223424,a ep divinos de conta com a minha participação️ escutem,58,54.0,57,neutral,positive,neutral,neutral
1450909401557176329,️ ️nós agora somos seus filhos mas chegará o dia em que seremos glorificados e seremos como ele,55,59,60.0,positive,positive,positive,positive
1423657520279740427,sais de casa tipo é hoje mas quando chegas lá eeeh se não me falares vira não vou virar ser tímida eeeh,55.0,59,60,negative,negative,neutral,negative
1487722362619535400,Um entrecosto de porco pode cair bem 🤔,55.0,59,60,neutral,neutral,neutral,neutral
1480291968936816600,"Relacionamentos que começam de forma brusca são artificiais e terminam de forma brusca também. O ideal é conhecer a pessoa de forma processual, caso não, vão secar um lado e falecer.",58,54.0,57,positive,neutral,positive,positive
1506808391615848400,Estam pregando um evangelho que leva a morte. Levando consigo milhares de cristãos para o inferno. #ResurrectionOfTheSaints,58.0,54,57,negative,negative,negative,negative
1384942684553494531,eu não fiquei de ir ao santorini no sábado minha irmã marcou reunião alicolica para sábado e sei que todo lado vai animar,58.0,54,57,negative,positive,positive,positive
1545784773276229600,@user Esta é a razão pela qual o Senhor agora está pedindo para que a Mensagem do púlpito seja restaurada. Porque a igreja actual perverteu e misturou o Evangelho da Cruz e do Sangue #SaturdayLunchBread,58,54.0,57,neutral,neutral,neutral,neutral
1536056143050690600,Deus fica feliz quando os clientes compram sem pedir descontos.,58,54.0,57,positive,positive,positive,positive
1555027529458663426,vamos fingir que acreditamos é meme,55.0,59,60,neutral,neutral,neutral,neutral
1509617376182030300,Afinal tou a fazer o quê de anormal? Parece normal para mim😭 https://t.co/C4Mgx7Jod3,58,57.0,54,neutral,negative,neutral,neutral
1546953685627916300,Mateus Cap. 5 | NVI 14 “Vocês são a luz do mundo. Não se pode esconder uma cidade construída sobre um monte. @user #PulpitOfEternalGospel @user,58,57.0,54,neutral,neutral,positive,neutral
1526486145504264200,"Bem bem, qual é o objetivo final de namorar? 🤔",58,57.0,54,neutral,neutral,neutral,neutral
1358175494114578435,yaaa que tem que rasgar para deixar de usar,55.0,59,60,neutral,neutral,neutral,neutral
1546573820668125200,"Se você tem Fé em Deus sua vida vai mudar, porque você Espera no Reino vindouro que foi preparado por Jesus Cristo #ThePulpitOfHoliness",55,59,60.0,positive,positive,neutral,positive
1528713030183395300,"""Nas palavras de Lincoln, «eu não controlei os acontecimentos, os acontecimentos é que me controlaram a mim» (1864)."" Caso para considerar que (...) [o] momento pode fazer a pessoa, mais do que a pessoa fazer o momento,"" Via Freire, 2010.",58,57.0,54,neutral,neutral,positive,neutral
1514645793474441200,@user Que isso se realize,55.0,59,60,neutral,positive,positive,positive
1510367030142279700,Mas roubar no Jardim dos MaGermanies mesmo🤣😭,55,59.0,60,neutral,negative,neutral,neutral
