text_id,text,annotator_1,annotator_2,annotator_3,label
igbo_text_2036_emotion_1,"Ego na atakasi ahu. Ya no eh, Ego rie nsi. https://t.co/naBEfRWeRb",['anger'],['disgust'],"['anger', 'disgust']","['anger', 'disgust']"
igbo_text_556_emotion_1,@Ifeoma_Solanke Imalu mma di egwu,['joy'],['joy'],[],['joy']
igbo_text_4456_emotion_1,Umunnem abatagom. Onye nno ya??? https://t.co/8lvhvANlUC,[],['surprise'],[],[]
igbo_text_444_emotion_1,@iam_realjayson Ike gi agwugom 🙆🏼😂,['sadness'],[],['sadness'],['sadness']
igbo_text_3406_emotion_1,Lekwa Nwanyi Oma Chukwu ji gozie Ezi na Ulo m Ncheta Anuri Ubochi Omumu Gi Nnem Oma I Call Her #Beloved People Call Her #ChristAmbassador Happy Birthday Nne Ora Nile Your Last Daughter Loves You So Much #MyBelovedMummy Obiajulu Odirachikwumma Chukwu Gozie Gi https://t.co/GMK4WssgCA,['joy'],['joy'],['joy'],['joy']
igbo_text_2951_emotion_1,@Shubbyzeno @BarryOctopus Omo ehn nsogbu dikwa,['fear'],['fear'],['fear'],['fear']
igbo_text_3863_emotion_1,@britneywrites2 Heiiiiii Britney ha enyego gi jumbo🙆‍♂️ O kwa Colorado ka ina ese Juu Ekwensu Na ngwo oru ya niile,['disgust'],['disgust'],['surprise'],['disgust']
igbo_text_1987_emotion_1,Kitikpa lacha gi anya there 😏 https://t.co/a3tjAOuV17,['anger'],['disgust'],['anger'],['anger']
igbo_text_4300_emotion_1,@xomtochukwu @ikennaAGHA Nwanne emewa gi Obi? @ikennaAGHA,['sadness'],['surprise'],['sadness'],['sadness']
igbo_text_601_emotion_1,@user Okenye ọkụ na agba be ya ọ na achụ oke. Tụfịakwa!,[],['disgust'],['disgust'],['disgust']
igbo_text_3043_emotion_1,"Afam but CHUKWUNAZAEKPERE, ọna azam oge nile.",['joy'],['joy'],['joy'],['joy']
igbo_text_2199_emotion_1,Ala gbabuo gi there.,['anger'],['disgust'],['anger'],['anger']
igbo_text_1538_emotion_1,@AdaAfikpo @DezObi Ekweteghi m na nke a biko,['anger'],['sadness'],['surprise'],[]
igbo_text_3278_emotion_1,"""Onye mèrè nkeá, asi'm Chineke gọzie ya. Ya pụta kwa ozo, aga'm e vote ti ya. Family'm ga e vote ti ya."" - Mrs. Victoria N.N ""May God bless the person (@MBuhari) who has made this possible. When he runs again, my family &amp; I will vote for him"" #PMBPaysPensions #PMBx2 https://t.co/EbnozsgYNo",['joy'],['joy'],['joy'],['joy']
igbo_text_693_emotion_1,@AdaugoOsina Ada uwa niile 🙌,['joy'],[],[],[]
igbo_text_354_emotion_1,@AkwubaCharles @Anowax @Mazi_paska @HonNonny Eburo ezigbo mmadu,['sadness'],[],['sadness'],['sadness']
igbo_text_3915_emotion_1,@goziecharles1 Awwwhhh daalu onye oma!!!!!,['joy'],['joy'],['joy'],['joy']
igbo_text_3754_emotion_1,"Same here @Pweetice: @ItzurboiTB Ara chagbukwa gi""",['anger'],['fear'],['anger'],['anger']
igbo_text_2675_emotion_1,"@NG_StreetLawyer @mr_robmichael 😂😂 hapu mu biko , unu ga egbu nwa nke mmadu",['fear'],['fear'],['fear'],['fear']
igbo_text_3439_emotion_1,Jiri wayo iwe na ewe gi https://t.co/I4N5whR9wN,['anger'],[],['anger'],['anger']
igbo_text_4207_emotion_1,Akpugo gi isi akpuru Albert 😂 https://t.co/47UFQPuMeN,['disgust'],['disgust'],['surprise'],['disgust']
