text_id,text,annotator_1,annotator_2,annotator_3,label
zulu_text_1659_emotion_1,Ujabule uNtuli ekhululwa yiMamelodi Sundowns,['joy'],['joy'],['joy'],['joy']
zulu_text_999_emotion_1,Ukhala ngokuxhashazwa ocula awomzabalazo,['anger'],[],['anger'],['anger']
zulu_text_1076_emotion_1,UKhuzani noNgizwe babanga ububi,['surprise'],['disgust'],['anger'],[]
zulu_text_2483_emotion_1,Ubhuntshe ngomzuzu wokugcina owe-jazz,['sadness'],[],[],[]
zulu_text_767_emotion_1,Lihoxisiwe elokugwazwa ekhanda,"['anger', 'sadness']","['disgust', 'sadness']",['sadness'],['sadness']
zulu_text_216_emotion_1,Ufisa umphumela ubuyise umdlandla,[],[],[],[]
zulu_text_951_emotion_1,‘Kuzohlolwa abawu-30 000 ngosuku ukulwa neCovid-19’,"['fear', 'surprise']",[],[],[]
zulu_text_541_emotion_1,UDavid Kau usezosebenzisana nenkampani yase-USA,[],['joy'],[],[]
zulu_text_1656_emotion_1,I-DIFF ikulethela izilomo zabalingisi,[],[],[],[]
zulu_text_520_emotion_1,UZuma angase aphoqwe ukuvela kwikhomishini kaZondo,[],['surprise'],[],[]
zulu_text_2433_emotion_1,'Sengiyakhumbula ukuthi ngubani owadala ingozi' - Sbahle Mpisane,[],[],[],[]
zulu_text_2100_emotion_1,UZodwa Wabantu uhlanyiswa yisoka elisha,[],[],[],[]
zulu_text_1759_emotion_1,Uhambe phambili kwelokudayisa emgwaqweni,[],[],[],[]
zulu_text_1307_emotion_1,Sebezwakalise ukukhathazeka abohlangothi lukaRamaphosa,"['anger', 'fear']",[],['sadness'],[]
zulu_text_551_emotion_1,Batholwe beminze emfuleniabangabangani,['sadness'],['sadness'],['sadness'],['sadness']
zulu_text_837_emotion_1,Kubulawe isalukazi ngabebezenza amasosha,"['anger', 'disgust', 'sadness']","['anger', 'sadness']",['sadness'],"['anger', 'sadness']"
zulu_text_235_emotion_1,Iyavuthwa eyokudliwa komhlaba ngaphandle kwesinxephezelo,['fear'],['anger'],[],[]
zulu_text_2137_emotion_1,Izidumbu zababili zitholwe zimbobombobo yizinhlamvu,"['fear', 'sadness']",['sadness'],['sadness'],['sadness']
zulu_text_1531_emotion_1,Amalungu eNFP athuke umholi,[],[],['anger'],[]
zulu_text_10_emotion_1,Kuphela nya ngoNiang nebhola,"['disgust', 'sadness']",[],['surprise'],[]
zulu_text_109_emotion_1,Walaxaza umsebenzi wobumeli ngenhloso yokuhlekisa abantu,['surprise'],['surprise'],"['joy', 'surprise']",['surprise']
zulu_text_1303_emotion_1,Kusolwa umhobholo kwabezitolo ezinkulu,"['anger', 'disgust']",[],[],[]
zulu_text_1618_emotion_1,Uhlelo lomfundaze oluhlomulisa abantu abasha,['joy'],[],[],[]
zulu_text_2741_emotion_1,@ezivuthayo Ugudla mina yini weAdmin🤣🤣,[],['joy'],[],[]
zulu_text_976_emotion_1,Basenkingeni abesilisa abasabiswa ngamacala okudlwengula angekho,"['anger', 'fear']",['sadness'],['sadness'],['sadness']
zulu_text_2730_emotion_1,Ziyanda izikole ezivalwa eGauteng njengoba kwanda othisha nabafundi abahaqekayo,[],[],[],[]
zulu_text_2267_emotion_1,Ibheyili kowetekisi ebulale abathathu,[],"['sadness', 'surprise']",['surprise'],['surprise']
zulu_text_229_emotion_1,Kwebiwe usana lunezinsuku ezintathu,"['sadness', 'surprise']",['sadness'],"['sadness', 'surprise']","['sadness', 'surprise']"
zulu_text_591_emotion_1,Ukhala ngenkohlakalo kumaSAMA umrepha,['surprise'],['sadness'],[],[]
zulu_text_2782_emotion_1,@Enza_Mags -I was very mad 😂🤞🏾 ukuthi aibo uwena lo😡,['anger'],['anger'],['anger'],['anger']
zulu_text_1626_emotion_1,@Sandimandla @CyrilRamaphosa Waze wajabula umuntu @NhlivoTouch uyaqala uMongameli wakhe ukwenza into eright 🤣😅😂🤣😂😅😅,[],[],['joy'],[]
zulu_text_2452_emotion_1,Umisiwe uthisha osolwa ngokudlwengula umfundi (6),[],['sadness'],"['sadness', 'surprise']",['sadness']
zulu_text_2011_emotion_1,Kungcole kuyaxathuka ethawini -inhlokodolobha isiphenduke ihlazo,['disgust'],['disgust'],['disgust'],['disgust']
zulu_text_412_emotion_1,Umsindo ohlelweni ngomlingisi otabalasayo ozizamela udumo,['sadness'],['anger'],['anger'],['anger']
zulu_text_2093_emotion_1,Abesuthu bavele bethi uyalwa nje ungashongo lutho😩 https://t.co/h5QkjktYch,[],[],[],[]
zulu_text_1923_emotion_1,"@thabiso_gawen Ngiyahlanya mine ngako ngi single, I trip I mean trip ngilihlanya😭😭😭😭",[],[],[],[]
zulu_text_1970_emotion_1,‘USbahle akaphazamisekanga emqondweni’,[],[],[],[]
zulu_text_1778_emotion_1,Ubonga unina owamlindisa okuma-Idols SA,[],['joy'],['joy'],['joy']
zulu_text_2438_emotion_1,Owesilisa uchazele inkantolo ngokubulala owayeyintombi yakhe,"['anger', 'disgust']","['disgust', 'sadness']",[],['disgust']
zulu_text_2482_emotion_1,@aphelelejody @HopePerfect_Dla Ulahlekelwe yin wena Dlamini ku muntu wam😑 https://t.co/lXumPv5dV4,[],[],[],[]
zulu_text_667_emotion_1,Amademeshe kaR340m emaphoyiseni,['anger'],[],['surprise'],[]
zulu_text_1593_emotion_1,Izobaqwashisa iSugar Daddies,[],[],[],[]
zulu_text_1321_emotion_1,Babalisa ngamaphoyisa kufa abantu edembesela,"['anger', 'disgust']",[],[],[]
zulu_text_2889_emotion_1,@MOWGALE Syafana yazi ngathi ngisho ngixoxa nje ngezwa ezokuphepha zithi u should c a dr usifo leso 🙆🏾‍♂️ o nurse bangafundele nursing 💁🏾‍♂️🤦🏾‍♂️,[],[],[],[]
zulu_text_1810_emotion_1,"@Qokani Elawini, elawini, lapho sthola khoninjabulo 🎶 🎼",[],[],[],[]
zulu_text_2875_emotion_1,@uGawozi 😭😭😭🤣yabo ke le wu frame 1. Kuyanyiwa🥺😭😭,[],[],[],[]
zulu_text_2843_emotion_1,Kuboshwe amadoda amabili atholwe nezibhamu ezingekho emthethweni,[],[],[],[]
zulu_text_2744_emotion_1,Kuzoboshwa abanye ngecala lethenda yezigidi,[],[],[],[]
zulu_text_89_emotion_1,Umbono kaBabes ngami awuthi shu...' Lady Zamar,[],['anger'],['surprise'],[]
zulu_text_1203_emotion_1,Baqhinqe ehhovisi ngenxa yamaholo,['anger'],['anger'],['anger'],['anger']
zulu_text_1089_emotion_1,Bawotha ubomvu ngokudla okuduve emahhovisi ezifunda,['anger'],[],['anger'],['anger']
