id,tweet,anno1,anno2,anno3,label
685,ta ló tó dúró níbi ẹkùnún gbé pa ìjànjà sí kí ni gbólóhùn mìíràn fún ìjànjà,normal,normal,normal,normal
78294366,"""@username ati @username ẹma lúlẹ lágbàrá awọn onílé... @username tí lọ ##url",abuse,abuse,abuse,abuse
1155,ṣebí àwọn kan náà ló pòwe pé bí ilé bá tòrò ọmọ àlè ibẹ̀ ni kòì dàgbà,normal,abuse,normal,normal
78294684,"""cardi b is having fun but naira marley is a bad influence ori gbogbo yin ti buru.😂""",abuse,abuse,abuse,abuse
78297072,"""the paramount ruler of ijebu land.. oba sikiru adetona... #ojudeoba2018 #documentary #ijebu #ijebuland #smilesnmorephotography 💯 #traditions # @ ijebu, ogun, nigeria ##url",normal,normal,normal,normal
78295022,"""soro soke werey  talo ni 7, talo ni 2 ##url",abuse,abuse,abuse,abuse
643,kì í burú burú kó má ku ẹnì kan kan mọ́ ní ẹni tí yóó kú la ò mò àṣé èèyan tún le rí olùrànlọwọ nínú irúu wàhálà yìí,normal,normal,normal,normal
78296769,"""then post screenshots that you’re being sexualised. ori gbogbo yin ti daru. ##url",abuse,abuse,abuse,abuse
845,àbá ìfisípò ẹni tó yẹ nípò ẹní mọṣẹ́ ni kí ẹ gbéṣẹ́ fún ẹ má fi tọ̀rẹ́ ẹbí ṣe é,normal,normal,normal,normal
78294375,"""olodo òsì 🏃🏃🏃🏃 ##url",abuse,abuse,abuse,abuse
78295790,"""@username oloriburuku ni yi sir!  eti ya werey!  alayebaje alatenuje! when your name is maritemise obviously you are a selfish entity living your name.""",abuse,abuse,abuse,abuse
467,ní olúfẹlá fẹ́ obìnrin mẹ́tàdínlọ́gbọ̀n lẹ́ẹ̀kan ṣoṣo fún ìsààmì ọjọ́ burúkú èṣù gbomi mu tí ológun àìmọ̀ kọlu kalakútà,normal,normal,normal,normal
1278,eniyan laso ooobo ni ni ara ju asolo ẹbí ará àti ọ̀rẹ́ ṣẹ pàtàkì jú owó àti ọlá lọ,normal,normal,normal,normal
789,àwọn ohun àmúsọ nípa ṣàǹgó ṣàǹgó lọ jà gba ẹ̀gbọ́n rẹ̀ àjàká sílẹ̀ nígbà tí àwọn ọmọ ogun òwu mu lábẹ́ àṣẹ ọba òwu orógbó ni ṣàǹgó ma ń jẹ ṣàǹgó ma ń mú oṣé lọ́wọ́ ó ma ń ṣíwájú àwọn ọmọ ogun rẹ̀ lọ sójú ogun,normal,normal,normal,normal
1670,Oloriburuku. Campaign yen gan lo pa yin danu.,abuse,abuse,abuse,abuse
29,àlọ́ o ọ̀pá tínínrín kalẹ̀ ó kànrun,normal,normal,normal,normal
78294227,"""behind every great fortune there’s a crime !ólè ni everybody. eni-ílè bá’mó bá ní bàráwò!""",abuse,normal,abuse,normal
1411,njẹ o mọ pe gẹgẹ bi ọmọ naijiria ẹtọ rẹ si ominira jẹ ọkan ti ẹnikẹni o le ṣadede gba ṣe awọn igba kan wa ti ọrọ o ni ribẹ pade wa lọjọ abameta lati mọ,normal,normal,normal,normal
78295584,"""all of una dey mad sef... ẹ ti shey orí burúkú.. its just delayed a little bit e tí ya werey oooo you wey write the article, the articlers and articlees thunder fire you all.. ##url",abuse,abuse,abuse,abuse
78293822,"""@username olódò ràbàtà""",abuse,abuse,abuse,abuse
304,kí ìbọn ó tó gòkè odò oje ewéiná ni a fi í kan orí ọfà tí ọdẹ ńta lu ẹranko igbó oró ewéiná máa ń jó ni tí a ta á sí yoruba ewe,normal,normal,normal,normal
78294732,"""sọ̀rọ̀ sókè werey! 🙄 ##url",abuse,abuse,abuse,abuse
78294220,"""eleyi tun gbenutan o o ##url",normal,normal,normal,normal
78294993,"""òrémi alówónlé tí’n ma’ń sárépè pèmí fún 2k urgent laaro yí èrù bàmí. ìgboro ti dàrú o 🙆🏿‍♂️""",normal,normal,normal,normal
78294419,"""orí gbogbo yín yí dàrú. ##url",abuse,abuse,abuse,abuse
1569,Shey eyin Oloriburuku yi lo school rara sha.... Courtesy demand sha.... SMH,abuse,abuse,abuse,abuse
