id,tweet,anno1,anno2,anno3,anno4,label
1618114553132511233,@USER Darenka ugu adag waa cadaabta alle waxka adagna majiro alle halaga baqo jaceyl waxkasta oo dunida yala waa laga buskodaa,normal,normal,normal,normal,normal
1590565100896731141,@USER Allow alle ayay dhihi jirtay ayeeydeey marka ay aragro qof nuxur xun Oo hadana jilaya inuuu wax yahay.,normal,normal,normal,normal,normal
1560549341525319683,Run sheeg jimco Mubarak Horta hala ogado Suganlayda dalkenaWaqtigay donan ha noladan waa isku mid hadrawi iyo saydki Dardaran bay ka tagen hadrawi iyoSaydka waxan idinla sii jogaba waa dayrta manta ehe nin raga dardarn u tahay doqon ha mogado dared ismacilMa ogo dowga wado URL,abuse,normal,normal,normal,normal
1594355519917023232,Lataliyaha Amniga QARAANKA @USER ahna Afhayeenka Amniga ee Al Shabaab! Muxuu yiri: Waxaan Aminsanahay iney Al Shacaab Amniga guud ee Soomaaliya qeyb katahay oo ey dhulaalkey heysato xata Dagaaladii sokeeye joojisay.Haddey meshooda kabaxan na Waxaa imaandoono la ogeyn URL,abuse,normal,normal,normal,normal
1605514082114830336,@USER Ciidankaasi Ha iska ilaaliyeen inay Damuljadiid si xun u isticmaasho: Waa sharaf iyo GUUL inay ciidamadii soo dhamaysteen tababarkii loogu Talo galay,normal,normal,normal,normal,normal
1603536115625070593,@USER Qofka markaad goobtiisa ku booqaneyso calankaaga maa hore u qaadataa? Weli 7 bilood ley la marooyaa . In badan HSM suitkiisa calandra &amp sida loogu soo dhaweeyo waad ku waalan doontiin reer CBB.,normal,normal,normal,hate,normal
1598375525956952064,@USER Qofkan caqli majiro waxaan isweydiiyay noocaan majiray aniga ayaa isku jawaabay okay kan waxaa dhalay odayaashii doorashada dadban lacagta ka qaatay marka neef booli ah nirig xalaala ma dhasho?(rich N) full is everywhere,abuse,abuse,normal,normal,abuse
1544608845112156161,Nin baa yiri : waxaan raadinayaa xaas U adkeysankarta faqri gaajo haraadQaboow iyo kuleel ee xagee ka helaa?Nin kalaa ugu jawaabay : Hal ama neef geel ah raadso #hamiyeelo#retweet URL,abuse,normal,normal,normal,normal
1564364949698510849,@USER Nidamki iyo dawladnimadi ba waxad u fahantay sidi inad qof caydo ama comment Indho beel logu jawabayay lagugu baray ayd u taqana in Cid sidi Eyga lafta loogu dirayay e u so qabanayay ayad u fahantay ba . Ra'yi la cabjro hadi ad waxba dhacay tira xaqiqda raci . This is common sense,abuse,abuse,abuse,normal,abuse
1550065861138030592,@USER Walashey hadda xasusato dowladi hassan Wxa ay aheyd waqtigi ugu ficna e dhalinyarada shaqo abur helen wali dowlada aye ku biren.Lkn dowlad farmajo aya wax shaqo abur ah sameyn hal qof o shaqale dowladede noqday majiro marka laga rebo CBB . wxna si a dhiga barnamidka den cafinta,normal,normal,normal,hate,normal
1565059901214396417,@USER Waxaa hubaal ah dhamaantood ama intooda badan in ay ajnabi wataan ama damacsnyihiin Dumarkeenu markii ay wax noqdaan ajaanibta ayay marka hore fooda daraan marka la arki doonee,abuse,normal,hate,hate,hate
1545481332293341184,Xoriyaddu waxay bilaabataa marka jahligu dhammaado waayo xorriyadda qof aan wax ogayn la siiyo waxay la mid tahay in nin waalan hub la siiyo . URL,normal,normal,normal,normal,normal
1592131216048001026,@USER Hasan gurguurte MILAQA HIRAAB baa qaraxyada ilaa turkey uwaxawilay oo sirdon masarida kala shaqeeyay ileen waa dameer laaluush qaate ahe,abuse,abuse,normal,hate,abuse
