text_id,text,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,label
amh_text_2131,ወደ ነበረበት ተመለሰ ደስ ይላል። መንግሥት ግን ይኼንን ነገር ሲጀመር ሽምግልና ብሎ መጠበቅ ሳይሆን የተለዩትን ጥበቃ በማድረግና በመነጠል ሕጋዊ እንዲሆኑ ካ,['joy'],['joy'],['joy'],['joy'],['joy'],['joy']
amh_text_2630,እዎ ጉራጌ ፍቅር ነው እንች ተረኛዋስ ግን ክፍያሽ ስንት ነው?,['disgust'],['disgust'],['disgust'],['joy'],['disgust'],['disgust']
amh_text_4653,ይሄን የሻቢያ ሰላይ ለኤትዮጵያ ያለዉን ጥላቻና ንቀት እዩልኝ,[],"['anger', 'disgust']",['disgust'],['disgust'],"['anger', 'disgust']","['anger', 'disgust']"
amh_text_3257,ፕሬዝዳንት ኢሳያስ በቃለመጠይቃቸው የሱዳንን ቀውስ ያባባሱት አንዳንድ የባዛር መንግስት የሆኑ አሉ ሲሉ ነበር። ማንን ለመጠቆም ይሆን?,[],[],[],[],['anger'],[]
amh_text_762,በፈጣሪ ስም ምን ጉድ ነው ያሰማህኝ ብዙ ታሪኮች ስምቻለሁ ይህ ግን በጣም ያማል ሁሉቱም ግን ሰው አይደሉም,['sadness'],['disgust'],['sadness'],['sadness'],['sadness'],['sadness']
amh_text_4503,እንዴት አመሻችሁ ስለ አቡነ ቀዉስጦስ ከማሕበረ ዘወይንይ ጋር አንስታችሁ ነበር ስለሳቸዉ ወላይታና አካባቢዉ በነበሩበት ወቅት የሰሩት ሥራና ያደረጉት ተዐምር ባካፍላችሁ ደስ ይለኛል አድራሻችሁን ብትጠቁሙኝ ደስ ይለኛል,[],['joy'],['joy'],[],['joy'],['joy']
amh_text_101,Andualem Adane ራስህን ወይንም የኔ የምትለው ሠው ስታጣ ህመሙ ያኔ ይገባሀል እስከዛው ቀልድ,['sadness'],['anger'],['anger'],['disgust'],['sadness'],"['sadness', 'anger']"
amh_text_1873,? ድንገት አሁን ላይ ወደ አማራ የተጠቃለሉ ቦታዎች,['surprise'],['anger'],[],['surprise'],[],['surprise']
amh_text_437,አጭበርባሪው ፖስተር ተብየው ስለራሱ እንኳን አያውቅም።ሰካራም አጭበርባሪ ነገር ነው።,['disgust'],"['anger', 'disgust']",['disgust'],['disgust'],['disgust'],['disgust']
amh_text_662,የፕራንክ ፋሽን ሲያልቅ ወደ አዳራሽ ዘለላ ገባህ እንድህ ነው ጊዜውን መከተል,['disgust'],[],[],['disgust'],[],['disgust']
amh_text_1834,አቢቹን መደገፍ ሀገርን መደገፍ ነዉ ሀገር ስትደገፍ ህዝብ ይቆማል ህዝብ ሲቆም መራመድ ይችላል ህዝብ መራመድ ከጀመረ አድጓል ማለት ነዉ መልካም እለተ ከሚስ አቢቹ,[],['joy'],[],['joy'],[],['joy']
amh_text_3564,ንፁሀኖችን ሲገል ከርሞ ሞት የራሡን ቤት ሲያንኳኳ ልቡ ተሠበረ በሠፈሩት ቁና ማለት ነው,[],['disgust'],['disgust'],['disgust'],['disgust'],['disgust']
amh_text_1179,ምን አይነት ቦርተቴ ጋዜጠኛ ነው,['disgust'],['disgust'],['anger'],['disgust'],['disgust'],['disgust']
amh_text_68,ኢትዮ 360 እኛ በምንለው መንገድ መንስት ይሂድ ነው የምትሉት፡፡፡ ቂምና ጥላቻ በጣም ሰፍኖባችኋል፡፡፡ ስለዚህ ምንም ነገር ቢሰራ አይጥማችሁም፡፡፡ ለዚህ ነው፣ እንጦጦጦ ፓርክ የስራ እድል ስለተፈጠረላቸው ከ460 በላይ በአካባቢው የሚገኙ እናቶች ምንም የማይመስላችሁ፡፡፡ ወደፊትም የሚያስገኘው ሀገራዊ ገቢም ምንም አይመስላችሁም፡፡፡ አንበጣ ላይ መንግስት ቸልታ አሳይቷል ብሎ መጎትጎት ተገቢ ነው፡፡፡ ሌሎች የሚተችባቸው ነገሮች ካሉም እንዲ,"['disgust', 'sadness']",['anger'],['anger'],['anger'],['disgust'],"['disgust', 'anger']"
amh_text_4424,አቶ አማረ እጅግ ጥልቅ ትምህርት ሰጥተዋል,['joy'],['joy'],['joy'],[],['joy'],['joy']
amh_text_925,እንዲህም አለ እንዴት ያማል አይዞሽ የኔ ውድ ነገም ሌላ ቀን ነው,['sadness'],"['sadness', 'surprise']",['sadness'],['sadness'],['sadness'],['sadness']
amh_text_1487,ደጋግሜ ባየዉ ባየዉ የማልሰላቸዉ ፕራንክ አቦ አስቀናችሁኝ,['joy'],['joy'],['surprise'],['surprise'],['joy'],"['joy', 'surprise']"
amh_text_1823,ግን አይደብርህም እቶ ፈንቶ ትተህ እንደ መሪ ምን አለ ኮስተር ብለህ አገር ብትመራ የዚህ ሁሉ ስቃይ ምክንያት አንተና ተከታዮችህ ናቸው።,['anger'],"['anger', 'disgust']",['disgust'],['anger'],['anger'],"['anger', 'disgust']"
amh_text_2140,የአማርኛ ፈሊጦች መጽሀፍ ይቅርታ ጠየቀ ተማፅነ በአጠፋው ጥፋት አዝኖ ይቅርታ ጠየቀ እንዲረሳለት ለመነ ሲል ይተርጉማል፡፡ ከሀዲውና አራጁ ወያኔ ለጥፋቱ ይቅርታ ሳይሆን የጠይቀውና,['disgust'],['disgust'],[],['disgust'],['anger'],['disgust']
