id,tweet,anno1,anno2,anno3,label
1358505169206579200,@username rataye tsinanne zaayi inshaallah,abuse,abuse,abuse,abuse
73178020,"@username tabbb, a yanzu ko yar kauye ba yadda zata yiba",normal,normal,normal,normal
1684,"To, Kumasu, daure, wafulani, gindi, kunnunacewa, abarikikuke, shiyasa, baku,tausannakauyukanku",normal,normal,abuse,normal
941,Inda suka rushe kullum ana zargin ta wajen ne idan sunyi kidnapping mutane suke wucewz ta wajen kwanan tsinsiya suna waje yana kusa da katanga jaji barrack,normal,normal,normal,normal
1261752864810115074,@username garori bakin haure suke sara ..,abuse,normal,normal,normal
502,asha Allah Qatar kunyi daidai,normal,normal,normal,normal
76132788,"if you stuck somewhere far from home and you have to eat outside; eat fish, fish is always fish... meat could be an almajiri boy.... shine your eye!",normal,normal,normal,normal
78969016,ku gafara ga manyan arna nan dawowa🐒 😁 ##url,normal,normal,normal,normal
78970460,@username wannan ai 'yar kwalta ce,abuse,abuse,abuse,abuse
1948,"YArIma NUr wannan gaskiya ne, wasu ke jawa wasu",normal,normal,normal,normal
1351,Nana Fiddausi Allah yafi su,normal,normal,normal,normal
78969164,mutuminnan wasa wasa dan kwalta nee ##url,abuse,abuse,abuse,abuse
78970052,wake up. hit the street with your plate and cheerful smile. repeat everyday. no school. no parental care.  what does the future hold for these kids? #almajiri  📷: akorede ##url,normal,normal,normal,normal
78969910,malama baruwan shaitan dan yana chan bayan duniya a ďaure ##url,normal,normal,normal,normal
1526664026595508225,@username matan banza kuma na.........,abuse,abuse,normal,abuse
76133417,almajiri from kaduna making nigeria proud today.,normal,normal,normal,normal
1347,Naga aBuda akafada dumusulmiyayiadalci wasusuyi adalci wasubasuyiba. Wallahi nifulanine ammabantamasata ba duwadayayi jam I Alla ya Isa ammakuduba,normal,normal,normal,normal
621,Daka karÉ“a. Kyauta da sadaka. Basayin kaÉ—an basayin yawa. Idan Allah yasamata Albarka saita zama silar arxiÆ™inka. Da kana zuwa islamiyya da kasan haka ðŸ˜’,normal,normal,abuse,normal
1630,This is sad Allah ya mayar maka da abin da ka rasa sukuma Allah ya shirye su su bar miyagun ayuka kafin su kwamta dama,normal,normal,normal,normal
1670,To saime aikin kawai lokacin da malamai sukayi ta sukar gwannatin good luck maiyasa Baku kaisu karabah,normal,normal,normal,normal
76133225,kai ba  dakikiya bace da dakikiyace da  bazan kulata ba barama kaji tanada haddar qur ani ga larabci kaga kuwa ta wuce da kikiya just kawai gsky na pada mata ##url,normal,normal,normal,normal
1923,"Gaskiyanki Kuma ai kunfi son Yan iska saboda iya soyayya da kyale, kyale.",normal,normal,normal,normal
73178267,"ka gama tsinewa malaman jami'a a social media, sannan an janye yajin aiki ka tura diyanka wajen ""tsinannu"" su koyar da su. to diyan da ""tsinanne"" ya koyar da ita/shi mene ne ita/shi?  @username ",abuse,abuse,normal,abuse
73177971,#almajiri city of kano. ##url,hate,hate,normal,hate
76132554,sai naji kaman ana  dan izala😔🤔 @username ##url,normal,normal,normal,normal
73178240,"@username that full grown adult you should have add ""stupid full grown adult"" cos that ""bagidaje"" he said is the same thing as stupid grown man.",normal,normal,abuse,normal
78970295,@username kin je garin marowata😂😂,normal,normal,normal,normal
78970548,"since the almajiri schools won't operate in the way the government wants them to do, the whole system should be banned and the almajiris should go back home. they can learn the qur'an at home, in their villages, not only in the city.",normal,normal,normal,normal
1029,Kafin muji a labarai ance wata baturiya ta yanka wani dan Nigeria,normal,normal,normal,normal
679,Duk cikin neman lafiyar alâ€™umna ne,normal,normal,normal,normal
1531627708811251712,@username za'ki auri almajiri irina?,normal,normal,normal,normal
76132535,"likewise albani har ya mutu dan izala ne, akwai ire iren su shiekh gadon kaya, bn usman, lawan triumph, khamis almisry,dr mansur and many more, kawai dai baka bin karatun su ne zayn. da kana bin karatun malaman sunnah da ka tabbatar. na dr gumi ne kawai ya fito savida headlines. ##url",normal,normal,normal,normal
76133556,"@username that ashariya is for the maguzawa, the inhabitants of the land before the advent knowledge  and that culture of ashariya is gradually evacuated",normal,normal,normal,normal
78970382,@username hahah. ba kashe arna oga. thankssss,normal,normal,normal,normal
669,Dole ta'addaci yakaru wallahi saboda yin hakan yake sawa su dauki makamai suna kashe mutane.,normal,normal,normal,normal
1634995966398042113,@username did you read well before been abusive. do u how well n how close i am to almajiri. u don't,normal,normal,normal,normal
76133197,@username they know that if they bring them info enugu it would definitely spread like wild fire.  when did enugu start having almajiri?,normal,normal,normal,normal
1162,Lalle beyaye na musamman ne,normal,normal,normal,normal
78970267,@username allah yayi dare gari yawaye to ballagaza kin fara ballagazaicin ne,abuse,abuse,abuse,abuse
73177912,@username baqar qadara. allah shittona mata asiri... wawiya.,abuse,abuse,abuse,abuse
73178504,"""allah biyaki spongie @username : 😂😂😂😂😂😂 “@username : wallahi wizkid kaman almajiri.”""",abuse,abuse,abuse,abuse
76132254,"@username imagine! i can't even wrote the word talk less of referring myself to it, you didn't even respect yourself, so i didn't expect a slight respect from you. i'm proud aboki and almajiri, i decide your future in this country, wether you like it or not.",normal,normal,normal,normal
1271092512220905474,"@username usman, you are such a dolt! you don’t care, yet you’re here commenting on a ‘kafura’s page. munafiki",abuse,abuse,abuse,abuse
1389336374810120201,tashin hankali:   wata ta ciyo bashin abaya ta manta da shi a dan sahu 😂,normal,normal,normal,normal
73178606,ba sauki ciwon arne  ##url,normal,normal,normal,normal
505,Ashafa Yusuf sukuma wadan da fulani ke kashewa baka tausa yamu su ba ko?? To mukam Allah shi sakamuna,normal,normal,normal,normal
76133043,"mashi garin masha'a ,garin da tuwo  ya kashe kare, almajiri ya kwana da yinwa 😂",normal,normal,normal,normal
303,Allah ya karatona asirinsu saboda yan uwansu suka jamusu. Allah yazaunar da qasarmu lapiya,normal,normal,normal,normal
76132201,"""kai me kasani @username : yafi davido dai ""@username : moffos ""@username : all am sayin 📢“@username : wizkid almajiri ne..”""""""",normal,normal,normal,normal
1316700231527010304,"@username 😃😃😃ango ship yasan tsokanar officers ba wasa bane, ballerina officers din da aka hankada garin inyamurai irinsu shearer😃😂",normal,normal,normal,normal
76132260,@username dan iska tabba kuwa zaka fadi zabe domin bamason yayan iska a jihar mu ta masu mutunci !,abuse,abuse,abuse,abuse
1675,Zaki ko yi ta haduwa da dan iska har iya rayuwar ki tun da abin da ki ke nema kenan a duniya!,normal,normal,abuse,normal
78970755,saboda hauka kun dauka kowa dan darika ne? 🙄 ##url,abuse,abuse,abuse,abuse
198,Wannan rashin kunya che tsabagenta dama chan ba masoyin gaskiya nee.!,normal,abuse,normal,normal
1075478250913185793,"@username no i dnt capisce oo, wht is ""inyamuri""?",normal,normal,normal,normal
76132976,yar daba yar kwalta.. mai fashesshen goshi 🖕 ##url,abuse,abuse,abuse,abuse
137,"Ai ni ba tsaranshi ba ne, kuma bana zagin mutun sai wanda ya raina kanshi",normal,normal,normal,normal
78969007,munga masu kyau koma munga munana 🥵,abuse,normal,normal,normal
78970328,dan shi’a kafiri ne.,hate,normal,hate,hate
73178103,wai dan aiken yahudawa 😂😂 ##url,normal,abuse,abuse,abuse
78969993,"""@username : @username bari na buga kai daya""qarya kake web do u get tularen wuta at dis nyt.""sabi yana gari ai""shegen kaya gv am fire arne.",abuse,abuse,normal,abuse
1701,"Toh,bayan ta baruni a kofar gidan su ina kuma zata sai tadawo ga dan makocin su",normal,normal,normal,normal
78970795,almajiri from maiduguri graduates with 4.98 cgpa from prestigious foreign university (photos) ##url,normal,normal,normal,normal
1323135765312905222,"@username ko bai tsine musu ba dama tsinannu neh, domin annabi yace irin su ba za su shiga aljannah bah ba ma za su jiyo kamshin ta bah. ...kaga duk wanda aka ce ba zai jiyo kamshin aljannah bah ai kuwa ya tabbata tsinanne. ....allah ya shirye ta",normal,normal,normal,normal
76133442,@username she committed a great mistake kuma ana fadamata amman kiduba kiga just wannan karaman yarinyar fa take ma mutane rising voice wai duk wanda ya mata magana sai ta zageshi. sanin kankine tunda kike twitter baki taba ganin ko arne yayi hosting na kalar wannan space enba bare muslmi.,normal,normal,normal,normal
1524875873882628096,ai @username banzan wawa ne dakikin jahili dan akuya ##url,abuse,abuse,abuse,abuse
1317809518147997697,@username inyamurai na nema su samu dalilin kawo nasu ne suma,normal,normal,normal,normal
78969954,"almajiri kids are normal children who can also become a president of nigeria in the future, so let's government give them deserving attention that will secure their future especially through education @username ##url",normal,normal,normal,normal
3,Ga Wata Nan Mai Gemu Kaman Ke.,normal,normal,abuse,normal
73177841,allah yace:  duk wanda ya aikata aiki mai kyau daga cikin maza ko mata kuma yana mumini to zamu rayar dashi rayuwa mai kyau..  #alquran  in kanason rayuwa mai kyau a duniya da lahira to kazama mai imani kuma ka aikata abunda allah yakeso..  shawara ce👌,normal,normal,normal,normal
