text_id,text,annotator_1,annotator_2,annotator_3,label
orm_text_3192,WOW Best Music Artist Qaxaleee kenyaaa jabadhu,['joy'],['joy'],['joy'],['joy']
orm_text_5113,sareen keetii maalummaa islaamaa maalitti beekti ilma haadha sale xirooftuu,['disgust'],['disgust'],['disgust'],['disgust']
orm_text_2975,Lammmummmaaa biyyyaaa bira qabachunfudhachun salphadha garuuu   yaaadi gaaariii jiru yooo funyaaan dhahaman   iji booosi jechuuu isheee Ilhan umar kanafuuu annnis yaaada isheee ni deeegara sabbbonummma saba fi biyyyaaa isheeen irrraaa dhalatef qabduuu,[],['joy'],[],[]
orm_text_238,Joolleen keenya Gondar jirtus sodaa guddaa keessa jiraachuu himataa jiru . Humni federaalaa akka hatattamaan birmatuuf gaafachaa jiru . Qaamni dhimmi ilaalu yeroodhaan haa dhagahu . Liyyuu hayilii Asaamminoo . URL,['fear'],['fear'],['fear'],['fear']
orm_text_5205,abbootin qabeenyaa nafxanyaa  du'anii jiru,['disgust'],['joy'],['disgust'],['disgust']
orm_text_4246,lafeee kooo waaam hundaaa caaalaaa bagaaa lubbbun nuuuf bateee nuuuf jirateee silaaas seraaa biyyyaaa keeenyaaa dhugaaa dhoksaaa soban wal lelisuuudhatiii waaan heddduuu naaa arsuuu keeesssaaa oso eeebbbaaa keee xumurteee matttiii keee wajjjin hin gammmadin mana hidhaaatiii dararamuuun keee heddduuu nama gubbbaaa bagaaa nuuuf ,['anger'],"['anger', 'sadness']",['joy'],['anger']
orm_text_5325,amaaraa godina addaa oromoo haleellaan hidhattoonni naannichaa saba oromoo irratti raawwataniin lammiileen nagayaa danuun ajjeefaman qabeenyi guddaanis saamichaa gubataaf saaxilameera,"['anger', 'sadness']",['sadness'],['sadness'],['sadness']
orm_text_4742,Jabaaadha wanti gaaariiin akkkana kun dhalataaaf boruuuf darba baaayiseee namagammmachiiisa,['joy'],['joy'],['joy'],['joy']
orm_text_1868,Horroo Guduruu shororkeessaa kan jiru garee shororkeessaa Faannoo Amaaraati meeshaan kunis yoo dhuguma qabeme ta’e jarumaaf fe’amaa jiraachuu isaa konkolaataan ittiin fe’ame nii ifoomsa . @USER meeshaa ololaati . URL,"['disgust', 'sadness']",['disgust'],['disgust'],['disgust']
orm_text_57,Akkkami jirtu ummmaaata OMN Media haqa komi xiqooo waaayiii isinara qaba inisiii waaani kenyaaa tatanifi komiii dhifaaadhe godina arsiii Annnan muuunnnsssaaati rakkko hama ummmaaata irrra irrru hubatu dhabu keeesssani garu annnani kuni hogotani 4 afurifi horana motummmaaatifi horana addda billlisssummmatin waaa,['sadness'],['sadness'],['anger'],['sadness']
orm_text_3972,Nule si jaaalana nuf jiraaadhu,['joy'],['joy'],['joy'],['joy']
orm_text_439,Maasaan gamaa lafa hin baatuu Talbaa facaafata taati 2Tokko du'e tokko hin taa'uuwal gaggalaafata taatii 2Eemulee yaa garba ciisaa waan ofii maaltu gadhiisaKana gadii Xaaffi calleessaIlma namaa Qeerroo jabeessaniOduu soba maaf odeessanSaba qulqulluu maa xuureessani,['anger'],['anger'],[],['anger']
orm_text_5047,amiin baga geessan hordoftoonni amantaa kiristaanaa hundi guyyaa yaadannoo dhaloota gooftaa iyyasuus kiristoos ayyaana gaarii,['joy'],['joy'],['joy'],['joy']
orm_text_4458,Oromooo kooo jajjjabadhu ifatttiii nuf bahati jira galataaa waqayyyooo,['joy'],['sadness'],['joy'],['joy']
orm_text_805,Motummaa ce'uumsaa kana degaree yoo inni dogoggoraa qabatee gorfanee wojiin demnaa motummaan olantuma seraa kabachiisuun siriidhaa namnii kamuu yoo balesee badii isa ofitii amanee fidhachuu qabaa motummaa himachuu duraa dogoggora ofii ilaaluun barbaachisaa dha,[],[],[],[]
orm_text_630,"Naannoo Amaaraatti haleellaa dirooniin baayyeen ajjeefaman, kaan madaa'an- Jiraattota",['sadness'],[],[],[]
orm_text_824,Olmaan akkami? Ehiopian immoo waraana shaabiyaatin weraramtee ADAWAA kabajatti!!,['surprise'],['surprise'],['surprise'],['surprise']
orm_text_2330,Wooraan waraana bilisummaa oromoo qeerroon guutudha yeroo hunda qeerroon oromoo roorroo saba Arguu jibbee saba ofiif wareegama lubbuu kafalee saba ofii garbummaa jalaa baasuf mooraa qabsoo waraana bilisummaa oromooti makamee guyyaa guyyaan leenji fudhacha jira.oromiya bakka hund URL,"['anger', 'joy']",['joy'],['anger'],"['anger', 'joy']"
orm_text_177,Biyyoota meeqatu adabbii du'aa hojiirra oolchaa jira? Namoota meeqatu ajjeefame?,[],[],[],[]
orm_text_1488,Saafiin akka keetii hin jiru #Jawar kiyya shira hattootaa kana jalaa numa baataMootummaa haqaas numa ijaarta URL,['anger'],"['anger', 'disgust']",[],['anger']
orm_text_954,Gaaffiin Abbaa Biyyummaa Oromoon Gaaffacha ture otto hin Debifamin Gaaffiin Amhari ji'otan Dura Gaffate Debitef.,"['anger', 'disgust']",['anger'],['disgust'],"['anger', 'disgust']"
orm_text_120,Ofii ajjeessanii Tigreetu ajjeesseOfii Saamanii Shaneettu samme Fashiinii durii nurraa dhiisaa . Oromoon amma dammaqee jira . Oromoo akka durii sobuun hin taatu.Shanee badii isiin himu KFO badii isii himu Kana jalaatti dhokachuuf yaaluun salphina biraati,['anger'],['anger'],"['anger', 'disgust']",['anger']
orm_text_2041,Shira xaxxoonni sirna Habasha B.G . Taaddasaa Birruu irratti kan murtii du'aa dabarsan Taaddasaan yakkamaa taanan osoo hin taanee Oromoo haa baratu waan jedheef . Ijoolleen isaa sadan(3) Xoophiyaaf wareegaman . Innis miilli isaa rasaasaan.Xoophiyaa kana . URL,"['anger', 'disgust']",['anger'],['sadness'],['anger']
