tweet_id,tweet,anno1,anno2,anno3,label
1452485028185886727,@user ጋሸና ግንባር አርብት ምሽግ በኢትዮጵያውያን ሐይሎች ተሰብሮ መያዙን አልሰማሁም እንዳትሉኝ,positive,positive,positive,positive
1437161539858010118,@user @user ኢትዮጵያ ሁሌም ጀግና አታጣም ጀግናችን ነህ በርታ,positive,positive,positive,positive
1441501576972079105,Ethiopia ሰበር - አስቸኳይ አሁን የተሰማ ሰበር ዜና | በጀግናዉ መከላከያ አመራሩ ተገደለ |Dw ethiopian via @user,negative,negative,negative,negative
1457885698904793091,@user አቋመ ፅኑ ለሆኑት ሩሲያና ቻይና ምስጋናችን የላቀ ነዉ። ክበሩልን። ዉለታቹ ትልቅ ቦታ አለዉ።,positive,positive,positive,positive
1451666836223926273,በፋሽሽታዊውያን እይተደረገ የሰነበተውን የአየር ጥቃት ምክንያት ብዙ ወገኖቻችን ህይወታቸውን አጥቷል፤ ቆስሏል። ኢንጅነር ዘማርያምና 3ቱ የአንድ ቤተሰብ ህፃናትን መጥቀስ ይቻላል። በ,negative,negative,negative,negative
1443668781189017600,የተመኙት ሁሉ ላይገኝ እንደው አይኔ ጉድ አደረገኝ,negative,positive,negative,negative
1477029928709365763,እናመሰግናለን እግዚያብሔር የኢትዮጲያ አምላክ ባወጣ ይተካ,positive,positive,positive,positive
1470235216824320001,የአያቶላህ መንገድ ምን ያስተምረናል? - አርትስ ምልከታ @user Tv World via @user,neutral,positive,neutral,neutral
1454651660739833865,@user @user የኢትዮጵያ ህዝባዊ ሰራዊት,neutral,neutral,neutral,neutral
1464773286630498305,እርሱም ከሁሉ በፊት ነው ሁሉም በእርሱ ተጋጥሞአል,neutral,neutral,neutral,neutral
1443321823161110533,@user ይሄ አጥፊ ቡድን ገዳማት ሁሉ አልቀረውም,negative,negative,negative,negative
1437517868166533122,#EthioTelecom በውጭ ሆነ በአገር ውስጥ ለሚኖሩ ዜጎች ከሞባይል ካርዳቸው ቀንሰው ለተራቡ ወገኖቻችንን የሚረዱበትን መንገድ ቢያመቻችልን @user,positive,positive,positive,positive
1443025766724276234,የማያውቁ 2 ህፃናት አግኝቻለሁ።ከእኔ በግራ በኩል ያለው ቁምጣ የለበሰው ህፃን ስሙ ሔኖክ አዋጁ አሰፋ ይባላል እናቱ አዛሉ ማሞ ትባላለች እድሜው 7 አመት አካባቢ ሲሆን ጷጉሜ 5/,neutral,positive,positive,positive
1472749800470757376,ኢትዮጵያ የዓለም መፋረጃ ናት ይሉ የለ አባቶቻችን!!,neutral,neutral,neutral,neutral
