id,tweet,anno1,anno2,anno3,label
807589207971692545,sdudla nomathousand ft nokwazi abukho ubumnandi obudlulobunye boke ubumnandi buyafana...playing on my ears now,normal,normal,normal,normal
89494957,"weee bro ngeke lunge nje ""@username : @username indla uval'umlomo lol!khona zokhulphala verl akwaziwa okwanonisa ingulube ha ha ha",normal,normal,normal,normal
1325340083516477440,shuthi uyalishaya isende yabo? ##url,normal,normal,normal,normal
89495485,"uthi ""ikula lishaye umuntu ngezembe""😂😂😅 ##url",hate,hate,hate,hate
89296753,@username amakula and my friend kodwa😂,hate,hate,hate,hate
89495307,khwela phezukwendlu ubutshele umanishaya ibhunu umama vyajabula,normal,abuse,normal,normal
89494413,babe awubashuthele imomozi bebone ukuth bathuswa intengekho laba,normal,normal,normal,normal
89495790,vele angeke ushade umahosha ##url,abuse,abuse,abuse,abuse
1086619333244186624,@username lol ngkhona nje shlama,abuse,abuse,abuse,abuse
944570453296902144,@username sdudla sangempela nginawe baba deep house only inamandla kakhulu abaphile abantu ezingolweni kwashali #chillaz,normal,normal,normal,normal
728190299093250048,inqguza yodwa nje leyo mxm  ##url,abuse,abuse,abuse,abuse
873839018793992192,"""bang'thathele imali, bang'bhebha"" 🤦🏽‍♀️ ##url",normal,normal,normal,normal
1630247478821031936,"yabo nje wathi ""m*u*u kanyoko"" 😭😭 kuvele kuthi angiphalaze😭😭💔 ##url",normal,normal,normal,normal
1168968718875013120,amakwerekwere asithathela kakhulu umsebenzi wakithi uma kungahlaselwa amabhilidi asegoli aphenywe akukho ngisho elilodwa okuno-key taker walana bonke amazimbabwe maqede uhulumeni aphike ukuthi basithathela imisebenzi bese ethi usalungisa imisebenzi ayisekho egoli ekhuluma amanga,abuse,hate,hate,hate
1143916269047099392,abelungu abakusabi ukufa ##url,normal,normal,hate,normal
89296642,oksalayo wisdomu esimbi esingangazi nokungazi stabane esidom. you’re a disgrace to the lgbtqi community 😊 ##url,abuse,abuse,abuse,abuse
1522130926309937152,@username ngabe ngiphez'kwalo ididi kumanje🤣💁 ##url,normal,normal,normal,normal
89296657,abelungu bayarisk bo ngeympilo zabo angfuni ukungasho.🥴 ##url,normal,normal,normal,normal
1152572609638346752,eish yazi imfene kagogo ngyabona ayisangiboni lokhu ngifikile ingbheka kabi🙄🙊🤔 ##url,normal,normal,normal,normal
844174420952436740,akakaxoshwa emsebenzini lowa mlungu wase spur,normal,normal,normal,normal
1265140140994895874,speedy recovery ngamla #prayformenzingubane,normal,normal,normal,normal
89296405,#isidlosasekuseni @username abantwana bezilwane imbuzi-izinyane inkomo-inkonyane imfene-isijwana ihhashi-iponi imbongolo-ithole inkukhu-itshwele luqale kahle usuku lwami ngcebzin njengoba izingane sezibuye zifundele ekhaya umuntu ubuyiselwa ngenkani eskoleni 😂😂😂,normal,normal,normal,normal
89494484,ingulube ayilusabi udaka bafo. ##url,normal,normal,normal,normal
399852535026294784,"nathi ''mfaz'omnyama_inkomo""... in diepsloot ext4 @username #siditjhile",normal,normal,normal,normal
894938633177837569,ubufebe bufana nobuthongo buyazfikela😉,abuse,abuse,abuse,abuse
1527593111047876610,inkawu zihlekana iphongo la.. ##url,normal,normal,normal,normal
1117765408445091840,@username oksalayo ngowakini shlama 😂😂,abuse,abuse,abuse,abuse
89296578,senenza ubutabane manje ngalezinto zok'leak'a iynxoxo zenu eybolile!,abuse,abuse,abuse,abuse
89495277,"isipiliyoni""@username : inkomo ihlala ifudumele""@username : ey wena ukuthathaph lokho ""@username : ey ikhekhe le cheri enopete limnandini""""",normal,normal,normal,normal
89296543,@username ubamba iyellowbone chef,abuse,abuse,normal,abuse
1088676901969952769,#isibaya abanye sebafuna ukuba mazulu bazosloya kahle ##url,normal,hate,normal,normal
1106508669225717762,"ungabi islima, slima. 🙌🏽🤣🔥 ##url",normal,abuse,normal,normal
894980085769535488,mazulu akithi steaming works bhekani umongameli usindile,normal,normal,normal,normal
89495087,ididi uphilela ukuli twitter thumbeza😂 ##url,abuse,normal,abuse,abuse
273490401086816256,nxah khethiwe isifebe#generation,abuse,abuse,abuse,abuse
89494783,@username address yobufebe ziyakukhalela mqali wenhlamba ufuna iye ezandleni sihlama senja fusegi la hambo’shaya indlwabe kuletotolozi lakho ngathi intambo ye barrett msunu wenja. 🤙🏾🤡 ##url,abuse,abuse,abuse,abuse
366990044570988544,uphenyo istabane #sengishilo,abuse,abuse,abuse,abuse
89495205,"haibo 0_o ubutabane 101""@username : nge pipi likha @username ""@username : lol trevorgumbi uchathe ngani?""""",abuse,abuse,abuse,abuse
89494952,unosipho uzobhebheka yaz',normal,normal,abuse,normal
460700431002640384,"hambakahle mfwethu.. ""@username : @username :heshe nsizwa""",normal,normal,normal,normal
1160971786156220416,uthi uvakashile kwa bae uzwe mawakhe ethi mkhombiseni imfene izomjwayela ##url,normal,normal,normal,normal
