tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
1312912637035008e3,slm mallam shin garzali miko zai iya dawowa cikin shirin labarina ko dei labarin sa ya qare acikin shirin allah taimaka,8.0,10,13.0,positive,positive,positive,positive
1317641656699654100,su fara gamawa da sambisa tukunna,8.0,10,13.0,neutral,neutral,neutral,neutral
1333012252606292e3,to wannan yanki namu na arewa sai a hankaliallah ka kawo mana sauƙiastagfirullahastagfirullahastagfirullah,8,10.0,13.0,positive,neutral,positive,positive
1111350806584983600,kema dai akwai neman tada zaune tsaye,8,10.0,13.0,negative,negative,negative,negative
1235679673067204600,yaje ya yai tacin bashi har ya ciwo wanda zaa saida qasar ga wata qasar,8.0,10,13.0,negative,neutral,negative,negative
1228210484521750500,kano ta dabo cigari koda me kaxo an fika kano baya goya marayu goya naki ki goya dan wani ina alfahari da kano sabida shine madina nigeria garin malamae garin masu kudin duniya proudly bakanuwa,8.0,10.0,13,positive,positive,positive,positive
1109358385043042300,da an saka masa sunan jirgin boing max don suna kama,8.0,10,13.0,negative,neutral,negative,negative
1065688243604254700,hhhh ehh mana da followers ina k but ynxu,8.0,10.0,13,neutral,neutral,neutral,neutral
1356570723834241e3,small thing you do in south sai su mayarda kai celenbrutyzakaci uwarka indai fulani ne,8.0,10.0,13,negative,negative,negative,negative
1275337532889346e3,allah hukku saanima inna wanke jikina ze maida ni fari koh,8,10.0,13.0,positive,neutral,neutral,neutral
1160672173557723100,ameen mallam aminu saira allah yasa mudace,8.0,10.0,13,positive,positive,positive,positive
1262312265665122300,da ahana da kar ahana dik daya dan se munje yawon sallan ehe,8.0,10.0,13,neutral,neutral,neutral,neutral
1255093727674196e3,allah sarki ganduje yana ruwa wlhi buhari ya hana kudin an hana sata,8.0,10.0,13,negative,negative,negative,negative
1067832907924996100,zato zinifi koda yazamou gaskiya understand,8.0,10,13.0,negative,neutral,negative,negative
1379002779822395400,shi zai zama billionaire,8,10.0,13.0,positive,neutral,neutral,neutral
1070923867328254e3,hbd allah ya karo shekaru masu yawa da kuma albarka,8.0,10.0,13,positive,positive,positive,positive
1333725368868540400,allah kare daga masu zagi through your update,8.0,10,13.0,positive,positive,positive,positive
1337017861999562800,allah ya gafarta masa kurakuren sa allah yasa aljannah firdaus ta zama makomar sa mu kuma allah yasa mu cika da imani,8.0,10,13.0,positive,positive,positive,positive
1194213247404167200,shima wannan taron sunnah ne,8,10.0,13.0,positive,positive,neutral,positive
1142079686199169e3,really baban yarinya amma fa yakamata aboye gashin,8.0,10,13.0,positive,positive,neutral,positive
1338082645050339300,muma dai gamu a layi idan wata tafado kasar,8,10.0,13.0,neutral,neutral,neutral,neutral
1330930384671027200,hausawa sunyi gaskiya da sukace duk inda baki ya karkata nan yamu yakamata ya zuba inacin haka maman mahmud intana fada bakinta har karkacewa yake amman yanzun taga manyan bako baki yamutu dama tsiyan ta akan sumayya ce sbd ita talakace halin uwa halin da,8.0,10,13.0,neutral,neutral,neutral,neutral
1197250582236532700,shi kyawu tabbas baya taba boye kan sa,8.0,10,13.0,neutral,positive,positive,positive
1058438096579027e3,super dope i cant believe this kai walhy zanso na gan movie nan,8,10.0,13.0,neutral,neutral,neutral,neutral
1346839380342808600,zaashiga salarin sukoh duk baze wuce haka bane oke talaka idan yaci abinci yakoshifah zafara tinanin nawa akesamu a nigeria tab,8,10.0,13.0,neutral,neutral,neutral,neutral
1194563810671124500,tanbayi a gwagwa kasha labari,8,10.0,13.0,neutral,negative,neutral,neutral
1300514873416220700,gsky yallabai ba abun fada dan wlh yabada chitta sosai barama rukkaya kam bata fada dan wlh tabiyawa mai sauraro hakin sa gsky na jinjina mata,8.0,10.0,13,positive,neutral,positive,positive
1374374528512520200,bbc hausa kunfiya sokancifa in baku da abin da zakuyi posting mai zaì hana ku saka mana hoton hajiya zulai mahaifiyar baba buhari don yan kasa suyi mata addua duba da irin gyaran da ďanta yayiwa yan nigeria,8.0,10.0,13,negative,negative,negative,negative
1147249024703111200,duniya an zama yan iska ‍️‍️‍️,8,10.0,13.0,negative,negative,negative,negative
1267169257512673300,basarake allah ya maida kai bawa kan abude dokar kulle,8,10.0,13.0,negative,negative,negative,negative
1265669580208341e3,ku zo ku gani,8,10.0,13.0,neutral,neutral,neutral,neutral
1376558640631517200,a banza man kare arewa mun waye wallahi ba wani tsoho da zamu zaba ba wani apc ko pdp chanchanta kawai,8.0,10,13.0,neutral,neutral,negative,neutral
1337693838362767400,rashin tsaro dai,8.0,10,13.0,negative,negative,negative,negative
1361221294990241800,ka dauki matakin da ya dace aljhaji buhari,8.0,10.0,13,neutral,neutral,positive,neutral
1346913717762584600,baki amsa tambaya ta ba,8,10.0,13.0,neutral,neutral,negative,neutral
1344323619011371e3,allah ina roƙonka alfarman tsarkakan sunayenka kacigaba da kunyata shugabannin ƙasar faransa da duk wani mai goyon bayan muzanci ga janabin habibinka ﷺ️,8.0,10.0,13,positive,positive,positive,positive
1176950050313973800,kowa ya hau tashar wulakanci zai sauka tashar wulakanci saboda ga abinda ya faru ga nan,8.0,10.0,13,negative,negative,negative,negative
1283426838514208800,wlh kuwa sai de kuma basuson haka,8.0,10,13.0,negative,neutral,neutral,neutral
1177180925848936400,kaji wani ikon allah todan allah ayi canji kasa mana su sudawo kasarmu mukuma mukoma kasarsu shikennan,8.0,10,13.0,neutral,positive,neutral,neutral
1389619754827231200,mtwxxx ae kin banxa bbchausa in kun rasa abun daurawa kuna daura mana photon azalumanan muna zagesu kawaiii,8.0,10.0,13,negative,negative,negative,negative
1298041785885831200,na karuna ne wanda suka lume,8.0,10,13.0,neutral,neutral,negative,neutral
1286168491624747e3,najeriya zaku tambaya ba kano kadai ba kano ne kadai najeriya,8,10.0,13.0,neutral,neutral,neutral,neutral
1365758288185487400,kamun allah ne,8.0,10,13.0,neutral,neutral,neutral,neutral
1326258839948243e3,tana maganin corona,8,10.0,13.0,positive,neutral,neutral,neutral
1321350932014141400,in ka fasa️,8.0,10,13.0,neutral,neutral,neutral,neutral
1320038214816665600,kin ji duka,8.0,10.0,13,neutral,negative,neutral,neutral
1205782763468705800,idan tamiki order din ki mana posting mu fani,8.0,10,13.0,neutral,neutral,negative,neutral
1348185455234314200,ya allah muna neman tsarin ka daga sharrin mutum da na aljan ya allah kada ka bari mu cutar da kowa ya allah kada ka bari a cutar da mu muna yiwa kowa fatan alkhairan duniya da lahira ️,8,10.0,13.0,positive,positive,positive,positive
1352313009255886800,bamusan komai ba kuma bama so mu sani,8.0,10,13.0,neutral,neutral,negative,neutral
130263318726545e4,kai ana mulki hauka ah kasan nan,8.0,10,13.0,negative,negative,negative,negative
1344543478441783300,gaskia naji dadin abunda ya faru da mahmud don anuna masa cewa komai sai allah ya yarda yake faruwa wannan ma babban darasi ne ga masu hali irin nashi kudos mal aminu saira,8.0,10.0,13,positive,positive,positive,positive
12525900835654e5,qaryar banza kawai mudai ba muga alamar hkan ba ai,8.0,10,13.0,negative,negative,negative,negative
1243156720991588400,mu bamu dauka da zafi ba ma ko k ne a bamu,8.0,10,13.0,neutral,neutral,neutral,neutral
138991391540924e4,like manjo dai a rayuwar campaign dakuma yadda tasakance bayan samun mulkin,8,10.0,13.0,neutral,neutral,negative,neutral
1290568075344044e3,ciyadda manyan beraye dei,8.0,10,13.0,negative,neutral,negative,negative
1257919295264362500,ana neman kwayar halittan d xata magnace cutar dake damummu kunata sauro,8.0,10,13.0,negative,neutral,neutral,neutral
1304573501160984600,hakuri zamu ci,8,10.0,13.0,neutral,negative,neutral,neutral
1347065866404376600,shikesa dan kwikwiyo ciwon kai,8.0,10,13.0,negative,neutral,neutral,neutral
1184072183921987600,sai a gidan mai girma,8,10.0,13.0,positive,neutral,neutral,neutral
927434481962770400,waya taba mana baba falalu,8.0,10.0,13,neutral,neutral,neutral,neutral
1323434414358040600,gaskia wlh aa wann ae rashin zucia ne please ni sonake ma a raba ta kwarata sumayya da muhamud sbd din yayi yawa har tafara bani haushi wlhi nama kusa dena kallo,8.0,10,13.0,negative,neutral,negative,negative
1312891453828485e3,jakunan naija zasu karo wulaqanci,8.0,10.0,13,negative,negative,negative,negative
1315896130790662100,kamata yayi ai upgrading nasuana turasu inda ykamata suyi aikilike wurin bandits ko kidnappers ‍️because i think that sars has not been dissolved permanently,8.0,10,13.0,negative,neutral,neutral,neutral
1138140812536090600,a tambaye ni kujerar mu daya a pri schl amma abun sirri ne,8.0,10,13.0,neutral,neutral,neutral,neutral
1353302471007998e3,da kun kawo mana ai ruwa degree babu abunda ya bari wane shekara ma akayi bird flu ance lokacin ko karya kashin kaza baayi a kasar mu,8.0,10,13.0,neutral,neutral,negative,neutral
1393444517337047e3,in kura tana magani zawo dayiwa kanta mana wannan zancan banza ne,8.0,10.0,13,negative,negative,negative,negative
1263840733653602300,kai kaji yaji kenan,8.0,10,13.0,negative,neutral,neutral,neutral
1376182121530806300,munjuma muna jin irin wannan tatsuniyar amman kasani kaima umarni zaa baka kaman yanda ake bawa manyan dan haka mu burinmu aje qiyama muyi kallo aradu domin mune a layin gaba gaba,8.0,10,13.0,neutral,neutral,negative,neutral
1297566290962460700,ana tare yau kam,8,10.0,13.0,positive,neutral,neutral,neutral
1330838853956014e3,bbc hausa turn to masu maganin gargajiya,8.0,10,13.0,neutral,neutral,neutral,neutral
1391964652410740700,rahama with her bangers,8.0,10.0,13,neutral,neutral,neutral,neutral
1018573818162548700,aa hajia ki bari mu koya maki rahamic,8,10.0,13.0,positive,neutral,neutral,neutral
1253734856955170800,sadau bari asha ruwa pls,8.0,10.0,13,neutral,neutral,neutral,neutral
1.1537720346625761e+18,eh amma abon haushi da banga suna nan ba,8,10.0,13.0,negative,negative,negative,negative
1369515198286098400,shine dakinan daki can,8,10.0,13.0,neutral,neutral,negative,neutral
1400363389143113700,jahilce mana da mugun talauci,8.0,10,13.0,negative,negative,negative,negative
897179352697372700,walahi mun shiga aikin kwadago yanzu nake ganin yadda ake ta karanta maka bulughul kurra cr ne malamin ta a yanzu haka,8.0,10.0,13,neutral,neutral,neutral,neutral
1351828380342214700,i sabi this one oookwado yajishi acikin ruwanzafi,8,10.0,13.0,neutral,negative,negative,negative
1273689557851127800,inalillahi wainna ilaihi rajiun allah ubangiji yasa haka shine mafi alkhairi garesu damu baki daya,8.0,10.0,13,positive,positive,positive,positive
