tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
de2a6710-0d3e-48af-b6a2-7f38ed647360,floxy nwa ole ka ice cream ahu i naatacha enwere mkpụrụ osisi chocolate nime,16.0,17.0,18,neutral,neutral,neutral,neutral
b8729faf-283e-4510-a752-4b5a05b4dd81,aligo biko gwam nke bu eziokwu ilili nni abani nyyaa oge ikilisili egwuregwu ndi seagles biko asikwana asi,16.0,17,18.0,neutral,neutral,neutral,neutral
f118a65b-b722-44c7-9fba-f7c661461aa0,amen oo naha jesus onye nwe anyi,16.0,17.0,18,positive,positive,positive,positive
651b7cf1-be8c-4c0e-ae8e-1a015b40ad96,ike gwuru everybody o,16.0,17.0,18,negative,negative,negative,negative
18532254-418b-4be9-bed7-02570ac146b5,amen ekpere nkem kwa chukwu edela ya n akwukwo nso na aha mu na ezi nulom ga eso na ndi ogaranya,16,17.0,18.0,positive,positive,positive,positive
d1920adc-117e-4955-8f46-feed2683743d,lol ụtụtụ ọma my brother mgbe onye jiri teta,16.0,17.0,18,positive,positive,positive,positive
d184f50a-04bb-4a9d-be2d-ea49adf7f5da,kedụ ife anyị ga e mere ọzọ ooo ihe a na enye zi m concern,16.0,17,18.0,neutral,neutral,neutral,neutral
19cf8459-f6c0-41c2-bda6-f23b04d55402,ozugbonu no time,16.0,17.0,18,neutral,neutral,neutral,neutral
e505fbc0-e677-4088-a116-6b2f81e5888d,obere ihe iwe ejupùta obi gï gi ewere ònuma chöwa úzò ūla ozugbo wetue obi nwada m hūrū nanya veronica osuofia,16.0,17.0,18,negative,negative,neutral,negative
421a61f9-6b7f-4f70-8ada-13b8a9bd237d,nna nwoke kwesi e na kwado ofuma maka akuko,16,17.0,18.0,positive,positive,positive,positive
7e159558-51f6-4ff2-828f-f2af02d0e8fb,nwanne ara di ebe a o,16.0,17,18.0,negative,neutral,negative,negative
405ba9cc-da44-4970-b885-9418d02ac2d9,igbo de egwu w pm pm,16,17.0,18.0,neutral,negative,negative,negative
efcb74c7-0615-4c44-80d6-f7520af11fd0,ndi idemili bia furu your life outside,16.0,17,18.0,neutral,neutral,neutral,neutral
c50c6fab-9347-4c29-87fe-995f6afc36b6,amen daalụ nwanyị ọma,16,17.0,18.0,positive,positive,positive,positive
974998a5-b8e7-49c7-909a-f09a92ee8b08,sii ebea puo kitia o agam awukwagi mmili oku o,16,17.0,18.0,neutral,negative,negative,negative
088dcecd-26e0-4618-be8c-2b00bf3390ef,na so na anyị enwekwanu ọrụ,16.0,17.0,18,neutral,negative,neutral,neutral
bc8ad617-e8e1-459f-b7dd-5e4b30e8e9e1,ezigbo nwa ada,16.0,17.0,18,positive,positive,positive,positive
3d3a3407-c9e4-40fa-9fc3-4621c8fda169,nzuko ndi oke na nta,16.0,17.0,18,neutral,neutral,neutral,neutral
581322c4-c5ab-474d-ac2e-e993d68eb5f9,prince nwa afo,16,17.0,18.0,neutral,neutral,neutral,neutral
1818fe95-8788-4352-8f0b-0ef99da80803,so iche na onye di yrs ama adunwu ekene kwaa m gi o ya aduchaa the babe dukwuo ndi ogbo ya nilo,16.0,17,18.0,neutral,neutral,neutral,neutral
49e38aba-1dc1-414f-aea2-fc96dac44fa5,lol ocho okwu,16.0,17.0,18,negative,negative,positive,negative
95f81b18-9b8c-44db-aec1-9432c093f267,igbo bu igbo kwenu kwezunu ooooooooookk i am pronto be onye igbo,16,17.0,18.0,positive,positive,positive,positive
9e65372b-35fc-4b94-bf4f-150f286e5f2c,lewl obi akpor di ka gi,16,17.0,18.0,negative,negative,negative,negative
d1913a4f-e97f-470f-8b18-3ba54a392497,nna ụtụtụ oma,16.0,17,18.0,positive,positive,neutral,positive
028db487-7da6-4908-88c5-6665f0f5457a,ur kedụ ụdị ncha ọbụ biko,16,17.0,18.0,neutral,neutral,neutral,neutral
3ea5d5cc-71d7-4da8-9f68-aa2ec720f778,ha buzi ya na afo,16.0,17,18.0,neutral,neutral,neutral,neutral
916cf9c8-2044-44fc-b61b-8b067ccd2642,asa nwoke oma uche ego,16.0,17,18.0,neutral,positive,positive,positive
8c5ca920-a4d6-4079-8635-8a3d10d92d0f,odogwu isi gị karaka ume ha ezuro yá,16.0,17,18.0,neutral,positive,neutral,neutral
e8e6de25-1923-4608-95a7-d31e1df8f354,kita ka bu ututu nne e ji kwa ahu bia kanyi nye onwe anyi ogwu biko,16,17.0,18.0,neutral,neutral,neutral,neutral
db7d66e2-2196-4965-be13-ad720f9f099f,anuri ncheta ubochi omumu gi nwanyi oma aka chukwu di na ndu gi golibe,16.0,17,18.0,neutral,positive,positive,positive
d8742df4-50dd-448e-bbec-76409356dd89,ututu oma mama,16.0,17,18.0,positive,positive,neutral,positive
39235be3-1c50-4513-9f7e-cfa540c9cab5,nna nsogbu di o ezigbo nsogbu,16,17.0,18.0,neutral,negative,negative,negative
d48e991e-2885-4484-8fd0-7ee14e8af125,gerwaa gi onu,16.0,17,18.0,negative,negative,negative,negative
dcae5141-ccfc-433c-8a18-1e333100e07b,onwu bata nga emere m gi nini nwere ebe onwu so nso,16.0,17,18.0,neutral,neutral,neutral,neutral
301f979b-c52d-4554-ada9-c7cade2858d8,okaka chikelu uwa ogologo ndi ka anyi na acho,16,17.0,18.0,positive,positive,neutral,positive
f5264146-bb1b-4312-817a-f914e82a0646,na buhari cause am ike gwurulol,16.0,17,18.0,negative,neutral,negative,negative
91142ffa-d78d-45e6-9d19-62e98a0f4ca4,nwanne a bu m nwa afo biafra mu na unu esoro eme ihe nigeria unu a,16,17.0,18.0,neutral,neutral,neutral,neutral
3391c67f-88d3-44b5-8d24-b0177f511291,chukwu melu umu africa ebele,16.0,17,18.0,positive,positive,positive,positive
ac6390b4-7acc-4653-be8a-cf33df6af987,gugu adim mma kedu,16,17.0,18.0,neutral,neutral,neutral,neutral
290bfe72-d2c8-4239-9f21-82391bf6950b,chineke kpoo unu oku ebe ahu,16,17.0,18.0,negative,negative,negative,negative
90179bda-e806-4ff6-9a54-a0df55fe45a9,nke angry bird kwa nwayọ nnem,16,17.0,18.0,neutral,neutral,neutral,neutral
81cacf60-b795-465b-9fe4-cb610c38805f,nsogbu adiro biko bia ki we bookm ozugbo ozugbo,16.0,17,18.0,positive,positive,positive,positive
f2c83b03-421e-45f6-9fc8-636af3f8f038,ndị ịma na ụbụrụ ha emechala expire,16.0,17,18.0,neutral,neutral,neutral,neutral
f7b5f060-012f-4abb-a677-9d3b4794ebd8,nwanne kedu dalu oh chukwu gozie,16.0,17.0,18,positive,positive,positive,positive
