tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
6fe5daa9-c621-4ccf-a7ff-1581b71b5c2a,swi ta gama hi merda 😂😂😂 loko nifileee munga ni rileneee 😂🔥,55,83,84.0,neutral,negative,negative,negative
5657993e-9a6b-4692-958e-b0c0a83d2d8e,matximba yaku ingui swa mahala,55,83,84.0,negative,negative,negative,negative
a9933adb-5d51-4c71-9b11-9c4448f4b147,pfa khenseka pfoleswo namini ni bom a xikwembo xá dzi hlayisa,55.0,83,84,positive,positive,positive,positive
d4b93b31-5609-40d3-a445-a0cb161e2ea1,mina nawena wena namina utatwa kunandzika,55,83,84.0,positive,positive,positive,positive
b510c186-e7a6-4c43-8f8b-bcf7c0c0ef24,😂😂😂 u ya kwini,55,83,84.0,neutral,positive,positive,positive
bec4a0e9-ca1c-4c6c-9c57-206577622a77,va vasati va taku tsovha,55.0,83,84,negative,negative,negative,negative
d44758ee-dd13-4cd9-a33e-ac9df9f4f632,i mahungo ya kalhe ixiboho xa wena na nwini wa stand,55,83,84.0,positive,neutral,positive,positive
bc3ad579-8435-42a6-9833-af61828c656b,moya wanga u ndzunissa hosi a moya wanga hosi hosi hosi aku ndunissa,55,83.0,84,positive,positive,positive,positive
62c45a08-4453-4faa-a087-c8abe259e3fb,nina wena muhaxi hiloku yi sukile problems liyani kusuka mozambique,55,83.0,84,neutral,negative,negative,negative
ebe3c2b4-3dbd-40cf-a19d-529004f708b7,em changana a tsiki ku dondza xkola para a tsama ka mati a yentxa leswiya,55,83,84.0,neutral,positive,positive,positive
dc5ca056-c0b5-4fb6-b7c0-91956b24ee53,yaba buluku a fazer história,55,83.0,84,neutral,positive,positive,positive
177b68e0-efba-40d6-8d3e-5b780b9ebf17,ya xigadzana ehh,55,83,84.0,neutral,neutral,positive,neutral
556c7f8d-5d97-4904-8314-4e5c2a7e7431,ni yingiseli kola ka doroba laka chokwe dstv niyo gee na vovo flora mathonsi,55,83,84.0,positive,positive,positive,positive
7b89ce11-8b67-49d2-8ef9-a8fdebf72bbc,conforme mo swi vonaka 😹😹😹✌,55,83,84.0,neutral,neutral,positive,neutral
4a6a97ce-61c3-49ea-9a22-6d64669b97a3,estrela we u randza mane ku mina na yena,55,83,84.0,neutral,neutral,positive,neutral
57511bdd-18fe-490f-9aa5-0285124fd8e5,a loko niku hiiin,55,83,84.0,neutral,neutral,positive,neutral
aac2f2f0-74d8-4e9d-a990-d3a0614e3473,swa yantswa niva mbuya nita kuma ma regalias,55,83.0,84,positive,negative,positive,positive
b5efbae3-2520-4440-8939-a0336b803597,hiiiiiiii wa ni xicha,55,83.0,84,negative,negative,negative,negative
fbfe3eca-194a-473f-8752-a0f795b73abb,ni taku phonele,55,83,84.0,neutral,neutral,positive,neutral
07593e20-25eb-4821-b9b5-0f3ca946a5a7,wena awu ni tendere nkata,55,83,84.0,negative,negative,negative,negative
a4b67636-dfc6-4c5b-9fe3-652c409d46f5,ho yini kupfhuka,55,83.0,84,positive,positive,positive,positive
cf46e082-01bd-4be9-9322-e4a2ff8e10a1,uta kuma timaka hi maka ma brincadeira,55,83.0,84,negative,negative,negative,negative
b7199d06-a51e-46d3-8523-eea7116775eb,kalhe kalhe loko mahari kona nwina akutlelekiaku humekiaku fambekiaku tirheki aku endleki ntxumu loko nwina mahari la yotsama hi yingisela muze mufamba,55,83,84.0,negative,neutral,negative,negative
8d2842fa-c166-42ab-a71a-e991d8887eb0,nheeee ni tsike,55,83.0,84,negative,negative,negative,negative
65a7f81a-e190-471d-8093-ea4f9ad54b43,a maleeee ya hellooo,55,83.0,84,negative,negative,negative,negative
8d3ead2a-a84c-496d-ac16-64b5298aa1fa,mmm swa hombe ni pfhukile akuna swa kukazata khanimambo,55.0,83,84,positive,positive,positive,positive
08605202-dac3-4b82-aef7-ff2e28ffbc47,hi kazalile hina 😭😭😭,55,83,84.0,negative,negative,negative,negative
3282ecb5-09de-4c4e-bea4-122c76ee20cd,adam wa ukweli,55,83,84.0,neutral,neutral,positive,neutral
50ca8fdc-aae2-4aa9-93ff-592582830c5e,ni bom wena ke,55,83,84.0,positive,positive,positive,positive
aad51047-4ac1-4859-802c-5ebbaef6e23b,ho hi danissa wena wananga,55,83.0,84,negative,negative,negative,negative
c29cdcbe-7517-4115-bb07-188883296027,hi swinwe niri la mozambique nikha ntlangela birthday ya mina,55,83,84.0,positive,positive,positive,positive
0c9bcb61-0324-44c7-8988-a68c52c13235,ah vovo dele swe xa ni tsakissa,55,83.0,84,positive,positive,positive,positive
5894a6f8-81ed-4b74-9dcb-3669e692fb08,a loko mu ni vhona niku ta hi yena hi yena yehovaa,55.0,83,84,positive,positive,positive,positive
0057fccc-e2bd-49da-b2ee-e9762f6b10a5,mr bow male ya matchangana,55,83.0,84,neutral,positive,positive,positive
d19256b6-47f6-4bb4-9619-b751f71dc31f,na vadwa ani sida a nina nuna nita feva ku kundza ka hissa ka titimela hissa ndzeni handle tilhanpfe,55,83,84.0,neutral,neutral,negative,neutral
0ceb4c8a-1035-4d64-ba4a-3b8e5601c7f2,wa vizinhouuu nikonbela ko loyiwaaaa,55,83,84.0,neutral,negative,negative,negative
2e08bd62-6915-4a93-8c25-a1cbb989157e,nipfuki kwatsi ndoena hantivi wena,55,83,84.0,positive,positive,positive,positive
9c58a856-8017-4819-97d7-be7e9c0b94c9,xitombo xa ngwako,55.0,83,84,negative,negative,negative,negative
f1094f6a-56a9-43e9-825a-2534a9e69c11,hina matxangana vah hi tiva hiku tsaka 😂😂😂😂,55,83.0,84,positive,negative,positive,positive
9b146a91-0f03-44eb-a7d3-acc30a609890,😂😂😂 kwini wa swe tivah nah weneh swakuh ni strong,55,83,84.0,positive,positive,positive,positive
dadf5b9d-7ee3-42f1-97bf-bc9775338585,sesi byela va malume se vona vata hlamusela papa ku wa kuna dzovolo wa yena,55,83,84.0,neutral,positive,positive,positive
049ae2fa-a0e7-4894-a25a-41f80056e244,loko yi dyiwa jaaa,55,83,84.0,neutral,neutral,negative,neutral
c9435fbe-c9ef-448c-a518-3e54520f15a0,xtombo xa ngwako oskhan test us papá dont play like that,55,83.0,84,negative,negative,negative,negative
97e9a2f1-e388-4c26-a6b7-e413cd15d427,ni lava male só💯🥰,55,83,84.0,neutral,positive,positive,positive
bc571031-1927-462b-b8c5-f5434633d794,ahi tivaneni mina ni leonildo wali chokwe wena ke chokwé,55,83,84.0,neutral,neutral,positive,neutral
ed2530e3-9c15-484a-b030-f041dd3370c5,a loko wa nuna a baleca wa nsati nambe hele bonita xicona xicona lexi xi balequisaca lueyi wa papa,55.0,83,84,negative,negative,positive,negative
8d3d2c53-9d27-4584-9fd9-0f4451605782,😅😅😅 mu khanela e ma relacionamento 😂 mawaku,55,83,84.0,neutral,neutral,positive,neutral
94574b32-e589-4e79-82b1-da911694c299,niku khoma hi dstv chokwe,55,83,84.0,neutral,positive,positive,positive
e93b520e-d906-41a3-b1d9-27d00612e5eb,ni kwala tsakani bottle store,55,83.0,84,neutral,positive,positive,positive
a5e48a53-ad63-4023-803d-2322e09f4e3f,auxene badaya akuna swa ku biya wena kê,55,83,84.0,positive,positive,positive,positive
01a8df05-f0be-4158-8360-ce6668a24cda,wa biwa wene,55.0,83,84,negative,negative,negative,negative
85a5055f-c96e-49e8-acf9-6103ad9a4662,a loko niku ih yaba buluku leyi,55,83,84.0,neutral,positive,positive,positive
c23be49a-3412-4f78-b71a-8d60a866f134,a ku khala ama saudade,55.0,83,84,positive,positive,positive,positive
85e8b760-a1f2-4707-979a-1b5c99812fb6,beth oh ni nhimba,55,83,84.0,neutral,positive,positive,positive
88bcc0f7-a2dc-4879-9e06-8d379f3af16a,hahaha u tiyissile,55.0,83,84,positive,positive,positive,positive
587c5498-5589-47fa-a365-0adebf19bbcb,xavito nita ku fumbuta mina,55,83.0,84,negative,negative,negative,negative
1d1460b6-3a27-4906-8018-0eaec120819a,maji angana xi baciana lweiyo,55,83,84.0,neutral,neutral,negative,neutral
6475bcff-f8c3-4343-9ead-679dc41003ee,a má djessi má ni beka ni li astro😹😹🔥🔥,55,83.0,84,neutral,positive,positive,positive
9e74fbd3-19ab-4738-a6ac-dc19062f7d46,madala lweyi namufeva wativa stereka,55,83,84.0,positive,positive,positive,positive
ffdac3f0-fb53-44b6-95ff-8eacbaac1f84,ya wena uh wanuna,55,83.0,84,positive,positive,positive,positive
3b8515e9-5699-45df-bfd4-3c1651eb1a78,acula ai = aquilo ali mawaku wa hi danissa juro,55,83.0,84,negative,negative,negative,negative
0bd0520a-420c-4022-8932-9972226a14ad,va khu ndzaveta u va khuma la,55,83,84.0,neutral,negative,negative,negative
ab55fc08-6cbd-44e0-9f68-804a05642e93,mxm ku loya tsen,55,83,84.0,neutral,negative,negative,negative
652980d5-1c41-478f-8ddd-485fb15bb0ac,swa kahle swi komba rirhandzu ra ntiyiso,55,83.0,84,positive,positive,positive,positive
99d35a83-9098-466f-8232-485319fccf0e,ningene na nwina eka nili kwala mozambique ka macia hi xohondzo lexi,55,83,84.0,neutral,neutral,positive,neutral
c8012cf7-5165-4346-9bcd-bac7170d7b6d,nitaku panhula hi xinwui xa tiro😂😂,55,83.0,84,negative,negative,negative,negative
c690f596-0f40-4912-babb-e32d7fe5ad8b,bwakakaka hi lhevana muito mal 😂😂😂😂,55,83,84.0,neutral,neutral,positive,neutral
552f7324-35b6-4acb-be44-cf139940253e,kmk akukalo ka wena,55,83,84.0,neutral,positive,positive,positive
62b9e403-134e-46ea-9e6b-fd8054266a57,eeeeh a nsati lwei a banana maj,55,83,84.0,negative,negative,negative,negative
5587de7e-78de-4f42-a000-07f212aec912,nitaku panhula hi xikwe xa tiro lá 😂😂,55,83.0,84,negative,negative,negative,negative
25664de2-fb36-45de-9fb5-ebf87756bdb1,a ni guenti,55.0,83,84,negative,positive,positive,positive
8720ce3a-b874-4ed1-b6ba-cfe51037de06,ni fike kalhe khensa ku naveleriwa rendzo lerinene,55.0,83,84,positive,positive,positive,positive
402d68bf-d8a4-4182-bdf7-c5cf2104b321,papa vana swicele boti huma kavona ubyela mhani mhaka ya wena hiku na yena uku beburini kumbe hlamusela papa,55,83,84.0,neutral,neutral,positive,neutral
e2b775c5-fcb9-4d46-8697-6b2e60a2b0ec,na hanya aswina ku kazata khanimambo,55,83,84.0,positive,positive,positive,positive
fa429fe5-886f-4c8e-9194-1416b6fa787d,auxeneee ho yine ku phuka,55.0,83,84,positive,positive,positive,positive
938c1128-a2f1-4f8f-8a60-cf04328b53f4,mrbow xikwembu rhivalela lmntvr cover 🙏🏽❤️🇲🇿,55,83,84.0,positive,neutral,positive,positive
1ad545a7-b458-4bb2-9dc4-b6712b154a1f,a xilungu xakarata 🤦🏾,55,83,84.0,negative,negative,negative,negative
1c2c846f-7cda-45df-880c-b15f0fb640b2,famba te kundza pah hahahahahahahahah,55.0,83,84,negative,negative,negative,negative
1950948f-db29-417c-a371-df54ae61b7bb,ni sungulekile khale mfana,55,83.0,84,neutral,positive,positive,positive
a9dbef1e-c612-4480-8901-d8f1d94bcd87,vha vizinho amu lawi ku loyiwa 😂😂,55,83.0,84,neutral,negative,negative,negative
184361b2-f177-411c-84bb-283da69fa991,😂 ni tsiki mamana 😂😂,55,83.0,84,neutral,negative,negative,negative
c588b922-e08b-457e-afb3-c9f3fcb6c423,kea tshosetsa mara o ke wena 🤣🤣🤣🤣,55,83,84.0,neutral,neutral,positive,neutral
