id,tweet,anno1,anno2,anno3,label
77141321,"mwaramutse @username hari number ariyoi iyi number mubona kwifoto iri koherereza abantu iyi sms ko bakiriye amafaranga, ikabasaba kuya transferring kuri 0789 770 975 mubikurikirane bashobora kuba ari abatekamutwe. murakoze. ##url",normal,normal,normal,normal
77141458,@username abari tayali bazishimira guhena kwawe. igihugu kizahombera kubana bagufatiyeho urugero bikarangira batewe inda zitateganyijwe cg bibakururiye ababahohotera,abuse,abuse,abuse,abuse
85016989,kumoka kw’imbwa ntibiyihanaguraho ububwa bwayo. n’aho igenda imokera hose iba ibizi ko ari imbwa kabone n’aho yahisha umurizo!   iyo imbwa imotse ubusanzwe yikirizwa na ngenzi zayo! ibyo ni ibisanzwe!,normal,normal,normal,normal
77141376,genda corona uri akagabo! kugera naho ibyo umusazi yisazamo byose ariko asara yambaye agapfukamunwa ? mbpa!,abuse,normal,normal,normal
77141586,"inteko rusange iri kugezwaho raporo ya komisiyo y’ubuhinzi, ubworozi n’ibidukikije ku bibazo yagejejweho n'abaturage #rwanda",normal,normal,normal,normal
81524230,"@Mafrican Kagame mu karere abaye nka ka kamasa kazamara inka kazivukamo nawe niko agiye kumarisha ubwoko bw,abatutsi avukamo",hate,hate,hate,hate
79284726,gutereta cg kurongora umukobwa nka we ntaho bitaniye no gufata imbeba ukayishyira mu kigega cy'ibigori ugapfundikira. wazashiduka hasigayemo ibigorigori gusa. niba koko abagore muri ku isonga kuki byose mwumvako byatangwa n'abagabo ? ##url,hate,abuse,abuse,abuse
77141452,@username uburenganzira urabufite rwose nta munyarwanda usumba undi.keretse niba@username itajya isubiriza ibibazo kuri twitter ark njye ndabizi irabikora.,normal,normal,normal,normal
76814902,@username ibyo uvuga byose ntabwo wambone. impumyi gsa,abuse,hate,abuse,abuse
81523832,"@rosemarie_Rw #RIB Kugumura abaturage ni icyaha gihanwa n'amategeko ya leta ya FPR,ariko ababasinzirizaabaturage ntibahanwa?",hate,hate,hate,hate
77141537,the real proverbs: - icyo imbwa yanze umanika aho ireba  -ihene mbi ntawuyizirikaho inziza  what i always say: ihene mbi uyizirika aho ireba,normal,normal,normal,normal
78008214,"@username #mwiseneza josiane umunyacyaro waje ikigali guhiganira kuba miss #rwanda yerekanye ko politike ya @username fpr-inkotanyi ari baringa: ikinyoma =""fake"". ko ntaho ihuriye na ndi umunyarwanda, igihe indobanure z'abatutsi zicyita abantu ""s",hate,hate,hate,hate
76507197,@username inkuru mbi dore umukumbi w intumbi kw irimbi urubwa nk uru kumbi hakenewe ifirimbi biremewe rap ku ruhimbi kivumbi ni sharp cyangwe ni ingimbi mu bakongwe,abuse,normal,abuse,abuse
76815000,@username ndumiwe 😂😂😂. agakungu ni group y'imbwa nyamara.,normal,normal,normal,normal
73780766,@username kuki wumva waba imbwa 😭😭,abuse,abuse,abuse,abuse
76814675,@username gira vuba nyanayiiiiii,abuse,abuse,abuse,abuse
85017143,@mwidishyi barakamuca ibibya bye babimanike mu giti aho ingurube ziyabona 😂😂😂,abuse,abuse,abuse,abuse
79284742,"@username gaceze, ntacyo sindi nkawe uhora aryamye nkuwariwe na tsetse fly",abuse,abuse,abuse,abuse
77141568,"@username erega nawe n'umuntu mukuru ndabizi, harukuntu usanga wavuniye mumavi ukaza gushiduka byafashe indi ntera...",normal,normal,normal,normal
85016602,@kabandamarius wigira imfura imbwa......😂,abuse,abuse,normal,abuse
77141397,"@username karasira ni umucikacumu, ababyeyi be b'abatutsi bishwe n'inkotanyi mu 1994, ubu aricwa urubozo muri gereza azira ko adashyigikiye ubwicanyi bwa fpr. kagame ni""ntampuhwe"",abatutsi bari mu rwanda abamariye ku icumu,dore uko karasira abivuga:h",hate,hate,hate,hate
73780790,"#ibisubizo kuribyo:  1. hari uburyo bwinshi bwo kwica imbwa butari ukuyimanika.  2. kumenya bivuze gucyenga ntibivuze kugaragaza.  3. guseka no kwirengagiza.  4. hindura ibyo watangaga, utange ibyo bakwiriye.  nb: tera imbere kurushaho, ubaka uruziga ruruseho.""menya agaciro kawe""",normal,normal,normal,normal
78008103,"@username 🚨igisambo cyambere nemera🚨 igisambo cyiba ikindi gisambo kikanakirira n,umugore🤣🤣🤣.#assassinsansfrontière criminal @username , @username #teampk first bit**h @username #ibifobagane",abuse,abuse,abuse,abuse
76814774,@username ahubwo mukurikirane rib ya nyamirambo kuko niba umukozi ushinzwe kurenganura abaturage ariwe ubarenganya !!!birababaje peee,normal,normal,normal,normal
79285006,"@username #fpr-inkotanyi igizwe n'agatsiko k'abasilikare bavuye mu ngabo za uganda. ako gatsiko ntabwo kabohoje u #rwanda; ahubwo karugize imbohe. urebye ibyo gakorera abanyarwanda, igihe kirageze cyo guhuza imbaraga zo kwibohora.",hate,hate,hate,hate
81523704,@1Mafrican Naho angel kagame arimo arishyura abatujijisha ngo batubwire ko yageze muri Australie Godfather arasebye,hate,hate,hate,hate
83775553,"@dudeetalks Aka kantu ko kumutwe inyuma ,kitwa ngwiki mukinyarwanda ????!",normal,normal,normal,normal
81524235,@Jyambere Biyemeje kubyarira ruhuga ya Kagame na #FPR,hate,hate,hate,hate
83775643,"@IGIHE Daddy Yankee wamamaye mu muziki wa Reggaeton, yiyeguriye Yesu Kirisito yemeza gukoresha impano ye n’ibyo afite byose mu kwamamaza ubutumwa bwiza bwa Kirisito.",normal,normal,normal,normal
83775696,@joselyinechap Cyzee umuntu utareba status zanjye yarahombyee kwel  nguhe number yanjye ujyureba udu status se,normal,normal,normal,normal
81524131,"@Jkamena1 Nyiramongi wigabije #Bannyahe nk'uko Jezebel yabigenje ku ruzabibu rwa Naboth, ibyabaye kuri Jezebel n'umugabo we bigiye gusohorera kuri Nyiramongi bitarenze Dec 2023.",hate,normal,normal,normal
83775577,@Godwin_n11 Abandi mugihe babaga bari muri etude uyuwe yabaga arikumodaringa,normal,abuse,normal,normal
81523757,@nyiringomaking Intare zasarambwe ibikoresho bya Kagame Narababwiye izi ntambara zamafuti muzivemo mureke kwicisha imiryango yacu mumanike amaboko niwo muti ibindi ndababwiza ukuri muri murimo gusasa imigiri,hate,hate,hate,hate
83775565,@EmmyGisa3 Ibanga Abanyarwanda🇷🇼 Tugendana abanyamahanga ryarabayobeye ,normal,normal,normal,normal
76507378,hhhhhh ingurube imana. yashyizemo ibisazi zikomeje kurya ibibuno byabantu 😂😂😂🏃🏿‍♂️ ##url,abuse,abuse,abuse,abuse
76814924,"@username mu #rwanda nizeye ko atari icyaha kubaza @username yakuye milioni 500.000.000 us$ hafi miliyari 500.000.000.000 frw! yasobanura ate igituma aha ""fondation"" ya #billclinton miliyoni 200.000.000 us$! agaha na ekipe #arsenal miliyoni 40.0",hate,hate,hate,hate
78008116,"@username #freedianerwigaraigihe kirageze cyo kuvanaho ubutegetsi butabereye abaturage bikozwe n'abaturage.kuva aho bobi wine yeretse museveni ko abaturage bashaka impinduka, mu rwanda turashaka ko infungwa za... ##url",hate,hate,hate,hate
76814596,"@username biterwa no kwimura abana bakiri abaswa, uzasanga ahubwo abana benshi biga muri private yigisha mu zindi ndimi barusha ikinyarwanda abo muri 9 years basic education kuko bapfa kubimura, iyo wimuye umwana ataramenya gutandukanya inyuguti w",hate,normal,normal,normal
79284602,buri gihe inkuru izaba ko umuntu yariye imbwa ariko kuba imbwa yariye umuntu ni ibisanzwe. ##url,normal,normal,normal,normal
77141482,@username hhhhhhh jya guhamba imbwa,abuse,abuse,abuse,abuse
79284840,"@username gufata abatindi barimbaguye imbaga, bagatsemba rubanda ukabita intwari, ukabasingiza, ukarenzaho no kubyishimira ni ikimenyetso gikomeye cy'ubugome n'ubufatanyacyaha wibitsemo. abanyarwanda bamwe banywanye na kamere-kalinga bibeshyako kwica ari",hate,hate,hate,hate
77141455,@username cyabitama uraho wa mfura we,abuse,normal,normal,normal
83775555,@dudeetalks ni iki uzi ku bakobwa bi Nyagatare?,normal,hate,normal,normal
76507161,iyo wigize imbwa satani agufasha kuba imbwebwe💀  #ishazathursday,abuse,abuse,abuse,abuse
76815015,niko wowe utenza imbere ubukungu ?what?nacyo watugyezaho uzabaze ugyeze abawe na fdlr yawe imbere urwanda rugyeze kure rwose,hate,hate,normal,hate
81524004,"@SniperNo Amba!!!!!Murambonera izi ntwaramuheto z""uBurundi ra!ubuse General Omega FDLR murabona koko mwazamutera inkunga ngo agafata kgli byavamo?Bakwiye imishwaro barabunga nka Roho mbi!ntawe urwanya uRwanda ugira amahoro bavukanyi musigeho!bitabaye ibyo M ntimuyikira mwitahire byanze!",hate,hate,hate,hate
77141210,"ese namwe abarimu b'ikinyarwanda bigeze kubasaba kwivuga muri inyamanswa cg ikiribwa?😁😁 1. ndi imbwa , ndinda umutekano bikaze....  2. ndi agashishi nubwo munkandagira... 3. ndi imbeba,  imisego yanyu narayimaze.. sinibuka icyo nivuze... nsuhuje mwalimu musabyimana😁😁👐👐👐👐",abuse,normal,normal,normal
81524023,@LewiscFreedom Reba ukuntu aka #Kicanyi @PaulKagame uko karimo karebana #Iseseme nyiricubahiro @GeneralNeva !,hate,hate,hate,hate
79284728,yakomeye ku muco yanga kurongora no gutaha aseseye: urwibutso mpyisi afite ku mwami kigeli ##url,normal,normal,normal,normal
81524283,@Mafrican Nyuma ya kagame iyi note izagaruke ufite iya . yayidusangiza nkunda abasope ntitaye ku bwoko bwabo ntiba cabiranya nka ba nkaka na za kabutindi zindi bazanye.,hate,hate,hate,hate
77141462,@username urwego rushinzwe amazi ruzafate ingamba zifatika kumazi agana mumurenge wakabtwa bashyireho imashini zifite imbaraga zo gukurura amazi ziyegereza abaturage,normal,normal,normal,normal
85017033,@var_ikaze umuntu wakoze ubu bushakashatsi n'umunebwe 2 😂,abuse,abuse,normal,abuse
77141148,@username #kwibutswa29: ikinyoma gikomeje guhabwa intebe mu butegetsi bwa kagame,hate,hate,hate,hate
79284656,@username perezida ark burya bwose imbwa ntitwifuzako butandukana,normal,normal,abuse,normal
85016889,@meddyonly imbwa ebyiri,normal,normal,normal,normal
76814834,@username mwana naba nawe avuze ikimuri kumutima aruse babandi bagenda babeshya abantu ngo ubumwe n'ubwiyunge kandi mumitima yabo huzuyemo urwa,hate,hate,normal,hate
77141555,@username #ibifobagane hano kuri x iyo biri gushimira #cannibal #blooddrinker #assassinsansfrontière terrorist criminal @username ko abihaye umwanya🤣🤣#teampk @username #rwot  @username #ibifobagane👇👇,abuse,abuse,abuse,abuse
