text_id,text,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,label
hausa_text_2848_emotion_1,Kun bamu kunya gaskiya 💔😂,['sadness'],[],['anger'],['sadness'],[],['sadness']
hausa_text_3482_emotion_1,Akawai kunyar katshe 😂,[],[],[],[],[],[]
hausa_text_2455_emotion_1,Sai da na sake kashe wata mata bayan tserewar da na yi daga hannun ‘yan sanda – Kwararren makashi Shodipe,['disgust'],['disgust'],[],"['disgust', 'sadness']",['sadness'],"['disgust', 'sadness']"
hausa_text_2890_emotion_1,Inna lillahy... Allah ya kawo mana saukin wannan mummunar yanayi🤲,['sadness'],['sadness'],['fear'],['disgust'],['sadness'],['sadness']
hausa_text_9_emotion_1,"Harin makarantar Kebbi abun damuwa ne, barazana ne ga tsaro a arewa maso yamma – El-rufai","['fear', 'sadness']",['fear'],['fear'],['fear'],"['anger', 'fear']",['fear']
hausa_text_1885_emotion_1,Hukumar jin dadin alhazai ta yi kira ga maniyyata su dakatad da shirye-shiryen Hajjin bana,['sadness'],['fear'],[],['sadness'],[],['sadness']
hausa_text_3307_emotion_1,Ina tayaku farin ciki! 💃💃,['joy'],['joy'],['joy'],['joy'],['joy'],['joy']
hausa_text_2409_emotion_1,Allah ya yi wa ƴar Sanata Wamakko rasuwa a Sokoto,['sadness'],['sadness'],['sadness'],['sadness'],['sadness'],['sadness']
hausa_text_2628_emotion_1,Gaskia baxa ayi sak ba wake da shinkafa za ayii na zabe nigeria 🇳🇬,['sadness'],[],[],['anger'],[],[]
hausa_text_3229_emotion_1,Yadda mahari ya hallaka mutum 5 da kibiya a Norway,['sadness'],['sadness'],['disgust'],['sadness'],['sadness'],['sadness']
hausa_text_477_emotion_1,"Shukakken Bam ya tashi da motar Sojoji, yayi sanadiyar mutuwar hafsan Soja, Abdullahi Alhassan","['fear', 'sadness']",['fear'],['sadness'],['sadness'],['sadness'],"['fear', 'sadness']"
hausa_text_1173_emotion_1,ubangiji allah kakawo mana karshen wannan fitina data addabi yankina arewa albarkacin dan gatan k fiyayyan halitta annabi muhammad rasulullah sallallahu alaihi wasallam astaghfirullah,['fear'],['sadness'],"['fear', 'sadness']","['fear', 'sadness']",['disgust'],"['fear', 'sadness']"
hausa_text_644_emotion_1,Yan garin sunata amai da gudawa saboda shan gurɓataccen ruwa,['disgust'],"['disgust', 'sadness']",['disgust'],['disgust'],"['disgust', 'sadness']","['disgust', 'sadness']"
hausa_text_3439_emotion_1,😩Ya Allah 🤲🏽Allah kai mana Dauki da iyawarka✨✨🌠,['sadness'],['sadness'],['fear'],"['fear', 'sadness']",[],"['sadness', 'fear']"
hausa_text_3321_emotion_1,congrats ina taya murna,['joy'],['joy'],['joy'],['joy'],['joy'],['joy']
hausa_text_1480_emotion_1,An tsaurara matakan tsaro a Gombe yayinda aka rantsar da Inuwa Yahaya a matsayin gwamna,['fear'],['fear'],[],[],['fear'],['fear']
hausa_text_1985_emotion_1,Tsula ya shiga tsilla tsilla🤭,[],[],[],['joy'],[],[]
hausa_text_2143_emotion_1,Su kam ai basu ki kowa ya mutu ba saboda su samu kudin shiga😁,['sadness'],['sadness'],['anger'],['anger'],['sadness'],"['sadness', 'anger']"
hausa_text_1961_emotion_1,masu manufa mai kyau ba irin su oo ba iyayen baragada😨,['sadness'],['anger'],['anger'],['disgust'],['anger'],['anger']
hausa_text_1790_emotion_1,Waya Taba mana Baba Falalu 💪🏻💪🏻💪🏻💪🏻,"['anger', 'surprise']",[],[],['anger'],[],['anger']
hausa_text_727_emotion_1,Ruwan ya gurbace da fıtsari da kashin mutane,['disgust'],['disgust'],['disgust'],['disgust'],['disgust'],['disgust']
hausa_text_313_emotion_1,Buhari Ya Sabunta Naɗin Garba Abari a Matsayin Shugaban NOA,['surprise'],['joy'],[],['joy'],['joy'],['joy']
hausa_text_2653_emotion_1,Wlh a harkan nan kamar akwai baqin ciki the way these girls insulting kai kace su saboda rufe jiki ma da hijab suke bacci. Ku Kuma guys Sai kun gamma Kalle tsiraicin mace Sai kuzo Kuna wani surutun banza idan gaskia ne kowa yaje ya fara hana qanwar sa shigan banza.😠,['anger'],"['anger', 'disgust']",['disgust'],['sadness'],['sadness'],"['anger', 'disgust', 'sadness']"
hausa_text_271_emotion_1,Murnar mutuwar Kyari: Kwamishinan da Ganduje ya tube ya yi magana a karo na farko,['surprise'],[],[],"['sadness', 'surprise']",['surprise'],['surprise']
hausa_text_472_emotion_1,Kano: Bashir Ahmed da Aisha Yesufu Sun Buga Kan Matakin Abba Kabir Game da Haramta Fim,['surprise'],[],[],['surprise'],[],['surprise']
hausa_text_1285_emotion_1,to da ame ake daukar mu,['surprise'],[],['surprise'],['anger'],['surprise'],['surprise']
hausa_text_3496_emotion_1,Zasuci broubansune 😡😢😡😢 jahilai na asara,"['anger', 'disgust']",['anger'],['anger'],['anger'],['anger'],['anger']
hausa_text_1076_emotion_1,allah yakare musulman ciki ameeeen,['fear'],['fear'],['fear'],['sadness'],['fear'],['fear']
hausa_text_1018_emotion_1,Ya Allah ka kawomana dauki munaciki damuwa😷😭😭,['sadness'],"['fear', 'sadness']","['fear', 'sadness']","['fear', 'sadness']",['sadness'],"['sadness', 'fear']"
hausa_text_3194_emotion_1,"An kama ja'iri yana lalata da mata kanana a tare, N50-N50 kuwa ya basu shegen","['anger', 'disgust']","['anger', 'disgust']",['disgust'],"['disgust', 'sadness']",['disgust'],"['anger', 'disgust']"
hausa_text_1645_emotion_1,Allah mai iko: Yadda mai jinyar korona ta haihu a asibitin Najeriya,['surprise'],['surprise'],['surprise'],['surprise'],"['joy', 'surprise']",['surprise']
hausa_text_3425_emotion_1,shegu tsinannu masu ci da addini kaji fa wai masu hana badala a doran kasa karshe su ake kamawa da matan mutane a hotelallah ya wadaran naka ya lalace️️️,['anger'],['anger'],"['anger', 'disgust']",['anger'],"['anger', 'sadness']",['anger']
hausa_text_1291_emotion_1,ta nan kuma kuka ɓullo,['surprise'],['surprise'],['surprise'],['surprise'],['surprise'],['surprise']
hausa_text_3247_emotion_1,Kotu ta daure wanda ya lalata karamar yarinya shekara bakwai,[],"['anger', 'disgust']",['disgust'],['disgust'],['disgust'],['disgust']
hausa_text_2315_emotion_1,Amfani 15 na ɓaure ga lafiyar dan Adam,[],[],['joy'],[],[],[]
hausa_text_3351_emotion_1,da zaman banza ay gara aikin kishiya,[],[],[],"['joy', 'surprise']",[],[]
hausa_text_753_emotion_1,Bandajin da aka goge ciwon dashi ya cika da jini,['disgust'],['disgust'],['disgust'],['disgust'],['disgust'],['disgust']
hausa_text_1065_emotion_1,allah ka tsare mu daga komawa daga gidan yesterday,['fear'],['fear'],['fear'],"['fear', 'sadness']",['fear'],['fear']
hausa_text_283_emotion_1,Yan bakin ciki sae dae ku mutu sae munci shinkafar waje baxa muci ta gida ba 😕,['anger'],['sadness'],['anger'],['anger'],['anger'],['anger']
hausa_text_2734_emotion_1,Gaskiya wan nan alamari ya kazanta domin babu shi a hadisi kuma babu a Qur'an 😣😞,['anger'],['disgust'],['disgust'],['sadness'],['disgust'],['disgust']
hausa_text_3167_emotion_1,Zamfara: 'Yan bindiga sun tayar da wani ƙauye bayan sun yi wa mutum 7 kisar gilla,['sadness'],['sadness'],"['anger', 'sadness']",['sadness'],['sadness'],['sadness']
hausa_text_1697_emotion_1,Bidiyon yadda aka yiwa dan majalisar Neja ruwan duwatsu da ihun 'Ba ma yi' bayan ya ziyarci mazabarsa,"['disgust', 'fear']",[],['sadness'],['sadness'],['anger'],['sadness']
hausa_text_2610_emotion_1,"Ya yi amai ya lashe...🐕 Chan da su gada, Allah ya raka taki gona....",['anger'],['anger'],['anger'],"['disgust', 'sadness']",['disgust'],"['anger', 'disgust']"
hausa_text_926_emotion_1,"TO ALLAH SUBHANAHU WATA'ALA YADUBEMU DA IDON RAHMA YAKAWOMANA KARSHEN WANNAN TA'ADDANCIN, YAHAYYU YA QAYYOOM. 👌👏👏👏",['fear'],['fear'],"['fear', 'sadness']","['fear', 'sadness']","['disgust', 'sadness']","['fear', 'sadness']"
hausa_text_411_emotion_1,Hamza Al-Mustapha Ya Bayyana Manyan Matsalolin da Za a Fuskanta a Zaben 2023,['surprise'],['fear'],[],[],[],[]
hausa_text_2040_emotion_1,pls a sassautawa malam Kamaye mana dukan yayi masa yawa😂,['sadness'],['sadness'],['sadness'],['joy'],[],['sadness']
hausa_text_2090_emotion_1,🤣🤣 Allah karabamu da jahillan shugabanni.,['sadness'],['sadness'],['anger'],[],['anger'],"['sadness', 'anger']"
hausa_text_1396_emotion_1,Injiwa kuma a ina😨,['surprise'],['surprise'],['surprise'],['surprise'],['surprise'],['surprise']
hausa_text_3522_emotion_1,Toh fah! Babban Magana 😮😮😮,['surprise'],['surprise'],['surprise'],[],[],['surprise']
hausa_text_480_emotion_1,"Da ya bai wa mahaifinsa hantarsa, an yi aikin cike da nasara, sun yi hotuna cikin farinciki","['joy', 'surprise']",['joy'],['joy'],['joy'],['joy'],['joy']
hausa_text_578_emotion_1,Kayan kuturun sunyi dauda hadda annakiya,['disgust'],['disgust'],['disgust'],['disgust'],['disgust'],['disgust']
hausa_text_1330_emotion_1,bbc hausa sam babu kishi babu kwarewa a aikin ku wallahi mi yasa duk wani rahoti da zai iya haifar da cikas ko matsala gehen addinin musulunci kunfi raayin kawo shi allah ya waddan naka ya lalace amin,['anger'],['anger'],['disgust'],"['disgust', 'sadness']","['anger', 'disgust']","['anger', 'disgust']"
hausa_text_1708_emotion_1,Yan bindiga sun yi awon gaba da dumbin dalibai a makarantar sakandire a Katsina,"['disgust', 'fear']","['fear', 'sadness']",['fear'],['fear'],"['fear', 'sadness']","['fear', 'sadness']"
hausa_text_3533_emotion_1,Ashe ma yana dariya 😂😂😂,['joy'],[],['surprise'],['joy'],['surprise'],"['joy', 'surprise']"
hausa_text_2380_emotion_1,Yar shekara 14 ta ci kyautar wacce ta kera mutum-mutumin dake taimakawa wajen kiwon lafiya,['joy'],"['joy', 'surprise']","['disgust', 'joy']",['joy'],[],['joy']
