id,tweet,anno1,anno2,anno3,anno4,label
1502684596214763523,ሰራዊትና ግን ገስጊሱ እንተብቅዕ ሙርኻትን ፋብሪካታትን ፀላኢ እንትሕሉ መስዋእቲ ከፊሉ እዩ። ሩስያ፣ ዩክረይንን ምዕራባውያንን ፀለእተን ንምድኻም ብዘይንሕስያ ኣብ ሙሩኻትን ፋብሪካታት,hate,normal,normal,normal,normal
1659077597920198659,@USER ዘይሰምዖ እካ የብለይን ትብል አደይ! ስለዚ ሳልሳይ ሓሙሽተይ ህዝቢ ትግሪይ ተደኽዲኹ ካብ ሃለወ : ናይ ወያነ ቃንዛ ስሱሳይ ሓሙሽተይ ምስ ወሰካዮ ሕዙለይ,hate,hate,hate,hate,hate
1498049787584786432,እዛ #ዮኩሬይናዊት ጓል 8 ዓመት ደፋር ህፃን ንህፃን #ዶናት #ትግራወይቲ ኣስታዊሳትኒ። ዓድኻ ተመለስ እዚ ዓድና እዩ ትብሎ ኣላ። #Ukraine #Tigray,normal,normal,normal,normal,normal
1489805024704319492,@USER ዜሮ እንደመርካ ዝውስኽ ቁጽሪ የልቦን፡ ወያነ ከኣ ሃጓፋቶም ንምኽዋል ብዙሕ ኢዮም ፈቲኖም ግን ነቲ ፖለቲካዊ ጸወታ ኣይከኣልዎን,hate,hate,normal,normal,hate
1488930610030731267,ናስትሮ ህግደፍ አንጻር ወያኔ ጥራይ ?ኢያ ትጭድር?አበይ አሎ ኢምባስ ህግደፍ አብ ኢትዮጵያ ኮኔኑኡ ዘይገልጽ,hate,hate,hate,normal,hate
1478929791059476483,@USER ስርቂ ዉርሻ ኮይንዎም ኣይተ ኣረጋዊ ፡እዚ ሰብኣይ ንወያነ ዝጸልእ ወያናይ ኢዩ።ጌና ሕጽቦ የእምሮ የድልዮ ኢዩ።,hate,hate,hate,abuse,hate
1510010695819182085,@USER @USER ነቶም ሓመድና ዘፍረዮም ደጋጊምና ነጊርናዮም ግና ነታ ኣብ ናይ ቆሕ-ሰም ግዜ ትጠልም ዝርግቲ ወያነ ኣሚኖም ሆ ሆ ኢሎም ያኣዪ ጸገምና ዓረብ ዶ,hate,hate,hate,hate,hate
1553412123157487616,@USER መቓልሕ ህግደፍ ደጊሞም ወግሐ ጸብሐ ወያነ ወያነ ዝብሉ ሃሱሳት እዮም ::,hate,hate,hate,abuse,hate
1618293776342188039,@USER ህግደፍ ነዞም ኩሎም ዝረገፋ መናእሰይ ብዕላማዬም ረጊፎም ንምባልን ህዝቢ ኤርትራ ደቅና ኣቤለዉ ኢሉ ከይሓትት ዝገብርዎ ዘለዉ መናዉራዩ! !!! ሃገራዊ ቅዋም ንኸይ,hate,hate,hate,normal,hate
1514890384639500292,@USER ህግደፋውያን ናይሰብ ኣድጊ እዮም ብንግግር ብምክያት ኣይርደኦምን ብበትሪ እዩ እሱውን ክንራከብ ኢና,hate,hate,hate,hate,hate
1643741722151907329,@USER @USER እዋይ ህግደፋውያን! ሰብ ኢና ኢልኩም ድኹም ብዛዕባ ትግራይን ትግራዎትን ትዛረቡ!,hate,hate,hate,abuse,hate
1482893882056658945,@USER ወያነ ተንኮል ክትፍሕስ አብ ዘይ ዓቕማ ምስ ኤርትራ ውግእ ምስ አወጀት ብኤርትራውያን ማኖ ሒዛ አይ ንላዕሊ አይ ንታሕቲ ተቀርቂራ ምዕፋር ብ,hate,hate,hate,hate,hate
1621269954111705090,@USER ኣበይ ኮይንካ ኣብ ስደት:ኣብ ትውተር ለማኒ:: ሰብኣይ ኢዩ ንእምነቱን መትከሉን ዝስዋእ:: ከማኻ ሃዳሚ መሲልካ:: ከማኻ ዝሃድሙ ኣይኮኑን ናጽነት ኣምጺኦም::,abuse,abuse,abuse,abuse,abuse
1510810549445181442,ንመንግስቲ ተቃውምኩም ተባሂሎም ተዓፊኖም ክምለሱ ተፈቲኑ ግና ኣሰሎጦን። 2006 ድማ #ኣስመራ ዩኒቨርስቲ ተዓጽዩ፣ ህግደፍ ብኹሉ መዳያቱ ጸረ ህዝቡ እናኾነ ምስመጸ መንእሰይ ኤርትራ,hate,normal,normal,normal,normal
1611054339048574976,@USER ሰራቂ ዘይ ናትካ ሕማም ቅንኢ ኣለኩም ንፈልተኩም አና ንሕና ኤርትራውያን ሓሳዳት ::,hate,hate,abuse,abuse,hate
1496552615919955969,@USER @USER @USER አብ መሬት ትግራይ ዝነበሩ ኤርትራውያን ሰለልቲ ናይ ህግደፍ እምበር ስደተኛታት አይነበሩን። ዝሰርቁን ዝቀትሉን ቆልዓ ሰበይቲ ዝጋሰሱ ዝ,hate,hate,hate,hate,hate
1490166287061987330,በዓል ንስኺ ምስ ደመኛ ጸላኢ ህዝቢ ኤርትራ ወያነ ዘውደኽደኺ፡ ብዋጋ ስደተኛታት ኤርትራዊያን ትሽቅጢ ዝነበርክን ዘለኽን፡ ግደፊዮ እሞ ማዕረ ዝተሰውኣላን ዝሰንከሉላን: ኤርትራ ትበሃል,hate,abuse,abuse,abuse,abuse
1506215161132199943,@USER ኣየ ህግደፍ ደቂ መድህና በራድ,hate,hate,hate,hate,hate
1525411651574538240,@USER ኤርትራዊ ኮይኑ ከዳዕ ኔሩ ኣብ ግዜ ቃልሲ:ሕጂውን ከዳዕ ኣሎ።ስለዚ እዞም ትውድሶም ዘለኻ ድማ ካልእ ሽም ከተጠምቖም ኣይትፈትን።ንሃገርና ተቓዋሚ የብላን:ግን ከድዓ,abuse,hate,hate,abuse,hate
1516124202180366336,ERISAT: እዋናዊ ጉዳያት | ዋዕላ መንእሰያት ዶ ዋላስ ዋዕላ ኣረጋውያን ህግደፍ | Current Affairs via @USER,hate,hate,normal,normal,hate
1656291622068314114,ክኹሕላ ክብላ፡ ዓይኒ ሰብ የንቁራ፦ ሻዕብያን፣ ህግደፍን ፡ ክትፈልዮም ዘጸግመካ እንትኾይኑ ድሕረትካምበር፡ ፍልጠትካ ዘረጋግጽ ኣይኮነን። ጸባ ካብ ማይጨባ ከማን ምፍላይ ከጸግመካ እዩ።,hate,normal,abuse,abuse,abuse
1501945069993017348,ደቂ ዓደይ እዛ #HR6600 ዳርጋ ረሲዕናያ ኢና። ብጣዕሚ ድኹም ኣፈፃፅማን ጎስጓስን እዩ እንዮ። ብኻልኦት ዘይረብሑ ኣጀንዳታት ዝተፀመድና ንመስል። ብኣንፃሩ ድማ ፀላእትና,normal,normal,normal,normal,normal
1612227919304351744,@USER ሰለሙን ወልደገሪማ Solomon weldegerima ካብ ንህግደፍ ከተሔጉስ ኣብ ሞንጎ ህዝብታት ጽልእን ገበንን ምጽሕታር ንነብስካ ንበር ሰብ ኩን መጀመርታ,hate,normal,abuse,abuse,abuse
1547059376170717185,@USER ብሓቂ ወያነ ዕደ። ኣደይ ኣዘኪርክኒ ኣዝዩ ሕማቕ ሰብ እንተርእያ ዕደ ትብሎ ነይራ ።,hate,hate,hate,hate,hate
1611269036372811777,ህዝበይ ለዋህ ዶ ዓሻ ዘዝሓለፈ ኲሉ እናረሳዕና መመሊሶም ይቀትሉና:: አረ ይኣኽለና,normal,normal,normal,normal,normal
1513029753900519429,@USER ተዝኸውን ቀዲመ ልነኽሶ ንዓኻ ኣታ ሓሳድ ??,abuse,abuse,abuse,abuse,abuse
1655653202568568836,@USER ሳሕሳሕ፡ ቆንዳፍ ወዲ ደርግ ኣድጊ በሎ,hate,hate,abuse,abuse,hate
1484096821022580736,ንዓና ን ኤርትራውያ ዘገድሰና፡ወያነ ከደ ብልጽግና መጸ ኣይኪነን ከገድሰና ዘለዎ ጉዳይና፡ ጉዳይ ምክባር ላእላውነት ኤርትራ ዘኽብር መንግስቲ ኣብ ኢይዮጵያ ምስ ዝህሉ ጥራይ እዩ። እዝይ ከኣ ግድን ክግበር ዘለዎ ጉዳይ እዩ።,hate,hate,normal,normal,hate
1490756741977542660,መሰረት ስልጣነ፣ዓንዲ ሑቐ ሕራነ፣ህዝባዊ ወያነ!Tigray Music via @USER,hate,normal,normal,normal,normal
1485338692663324677,በየን ስረ ትግራይ ናጻ ክትወጽእ፡ በየን መዓኮራ ትግራይ ክትብልጽግ፡ሓቂ ወያነ ኣዲስ ኣበባ ዝበጽሔት ኣብ ሕቆ ሻዕብያ ተሓንጊራ እያ:ተወላዶ ዓድዋ ገንዘብ ዝገበርኩም ካብ ኢትዮጵያ ሰ,hate,hate,hate,hate,hate
1553811792782147584,@USER ሓሙኽሽቲ ኣብዝባናን ዝባን ደገፍታን ዝድፈኣሉ ጊዜ ኸኣ ኣብ ቀረባ:: ኣብ ልዕሊ ሞት ትግራይ ክትዕንድር ዝተሃንደደት ታህፋፍ መራት መዛዘሚኣ ትሕቲ መሬት ክኾን ዋግዋጎ እኒሀ ይረአ::,hate,hate,hate,abuse,hate
1625237065213554688,@USER ንመንእሰያት ኤርትራ ኣራዊት ኢልካ ሽም ሂብካ ብኢድ ሚሊሻ ወያነ ክጠፍኡ ትፈርድ እንተዄንካ፡ ምስ ወያነኻ ተረፈት። ኣብ ኣገልግሎት ዘለዉ መንእሰያት ከም,hate,hate,abuse,hate,hate
1488773485484994564,ጉዳይ ዶብ መዕለቢ ረኺቡ ኣብ ዝተፈትሓሉ እዋን ወያነ ኣብ ንቡር ፖሊቲካ ኢትዮጵያ ክነብር ኣይክእልን። ምናልባት ሕብሪ ቀይሩ ናጽነት ወይ ርእሰ ውሳነ ትግራይ ኢሉ ዕድመ ከናውሕ ይኽ,hate,hate,hate,hate,hate
