text_id,text,annotator_1,annotator_2,annotator_3,label
kinyarwanda_text_2757_emotion_1,"Nukuri ibyo yakoze yaratumwe,none iyo ataza kujyayo byari bumugendekere gute ? Nyamara intumwa ntiyicwa! https://t.co/Mt7nljYiRq",['fear'],[],['sadness'],[]
kinyarwanda_text_94_emotion_1,Gutereta umukobwa ufite umutwe munini ntacyo biba bitwaye😌kugeza igihe akuryamye mu gituza ukagirango wikoreye ibibazo bya Rayon sports😂🤣🤣🤣,['surprise'],['sadness'],['sadness'],['sadness']
kinyarwanda_text_3142_emotion_1,"Abanyarwandakazi Shema Mbayu, Tuyishimire Rona, Weilk Eunice Leona, Nishimwe Carine na Ineza Thierrine, bose basezerewe kuri uyu wa Kabiri batarenze ijonjora rya mbere.",['sadness'],['sadness'],['sadness'],['sadness']
kinyarwanda_text_661_emotion_1,"Uyu muryango wari usanzwe ubana mu makimbirane.""",[],['sadness'],['sadness'],['sadness']
kinyarwanda_text_1853_emotion_1,"Roho ye iruhukire mu mahoro.""",['sadness'],['sadness'],['sadness'],['sadness']
kinyarwanda_text_2540_emotion_1,Urubyuruko rwabakorera bushake kubufatanye ninzego zitandukanye #Burera bakoze igikorwa cyo gusiza ikibanza cyo kubakira umuturage utishoboye inzu @user @user @user @user @user @user https://t.co/jAXPM4iWdU,['joy'],['joy'],['joy'],['joy']
kinyarwanda_text_909_emotion_1,Ari ukuhira igiti m mvura n kwinyarira m mvura ubusazi cyane n ubuhe?🤔 Ur opinions plz.....,['surprise'],[],"['disgust', 'surprise']",['surprise']
kinyarwanda_text_267_emotion_1,@user Akox woe urabona harandi mahitamo bafite itegeko nitegeko erega aho gupfunomunsi buryuzapfejo,['anger'],[],[],[]
kinyarwanda_text_1359_emotion_1,Guverinoma itangaza ko mu myaka 4 ishize imaze gukuba kane nkunganire ku ifumbire #RBAAmakuru ➡️ https://t.co/pw3UJVEWKp https://t.co/IAOOZNEDnQ,[],['joy'],['surprise'],[]
kinyarwanda_text_3576_emotion_1,Ati “Ngo Mugisha Clapton yajyaga apfumbata umugore akagira ngo bari kumuniga.’’,['surprise'],['surprise'],['surprise'],['surprise']
kinyarwanda_text_2527_emotion_1,Abo bireba mwese ndabasuhuje kandi ndabemera cyane pe😄🙌🏽Umunsi mwiza❤️ #valentinesday2021 #RwOT #RwotGain https://t.co/rYSC9Zstmt,['joy'],['joy'],['joy'],['joy']
kinyarwanda_text_1927_emotion_1,"Umunyamategeko Juan Smuts yatangaje ko kongera guta muri yombi Kayishema, byatunguye we n’umuryango w’uwo yunganira.",[],['surprise'],['surprise'],['surprise']
kinyarwanda_text_958_emotion_1,"Dushimye Imana yo ishobora byose,kuba yemeye ko turamuka...Iragahora ku ngoma ubu n'iteka.Amahoro mwese bavandimwe!!",['joy'],['joy'],['joy'],['joy']
kinyarwanda_text_3006_emotion_1,"Bimwe mu byatumye ibiciro byiyongera mu kwezi kwa Nyakanga 2023, ni ibiciro by’ibiribwa n’ibinyobwa bidasembuye byiyongereyeho 29,2%, ibiciro by’ibinyobwa bisembuye n’itabi byiyongereyeho 15,9% n’ibiciro by’inzu, amazi, amashanyarazi, gazi n’ibindi bicanwa byiyongereyeho 4,3%.",[],['sadness'],['sadness'],['sadness']
kinyarwanda_text_1742_emotion_1,Ati “Ni ikimera gitangaje kubera ko ibibabi byacyo bikura bikanatoha mu gihe cy’ijoro bitandukanye no ku zuba.”,['surprise'],['surprise'],['surprise'],['surprise']
kinyarwanda_text_2523_emotion_1,"@user Iririre wowe sha, aba December ubwo se barira bakazazaceka?",['anger'],['sadness'],[],[]
kinyarwanda_text_3740_emotion_1,Polisi kandi yabwiye VOA ko umubare w’abapfuye ushobora kwiyongera kuko abagenzacyaha ndetse n’itsinda rikora ubutabazi bakomeje gushakisha ababuze.,['sadness'],['sadness'],['sadness'],['sadness']
kinyarwanda_text_2881_emotion_1,@user @user Urakoze cyane ubwo washimye imikorere ya @user ubwo n'imirimo ya @user yahawe agaciro!,[],['joy'],['joy'],['joy']
kinyarwanda_text_92_emotion_1,Ibyo murimo murumva bimeze gute abaswe? Njyewe akagwa nkamereye nabi kbsa,[],[],[],[]
kinyarwanda_text_2809_emotion_1,@user Ariko buriya wazavuze tugakora fundraising ukabisoza aho kuguma kwicwa n'urukumbuzi😂😂😂,[],[],['joy'],[]
kinyarwanda_text_131_emotion_1,"Yoooo, ndababaye sana. Hagire umpa indirimbo ye iryoshe kandi iteye agahinda mbashe kuyiririraho https://t.co/rLscFq4DKQ",['sadness'],"['anger', 'sadness']",['sadness'],['sadness']
