text_id,text,annotator_1,annotator_2,annotator_3,label
som_text_1904,Dowladdda Taliyaniga Waxay si adag u cambaaareysa weeerarrradiii fooosha xumaaa eee lagu qaaaday magaaalada Muqdisho kuwaaas ooo sababay dhimasho iyo dhaaawac fara badan  Waxaaan Tacsi tiiiraaanyo leh uuu direynaaa Dowladdda Federaaalka eee iyo qoysaska dhibanayaaasha ah  URL,"['anger', 'sadness']",['sadness'],['sadness'],['sadness']
som_text_1758,Noloshu ma aha mid dheeer is aynu wax walba uga sal gaaadhno mana aha mid gaaaban is aynu wax walba u xasuuusano laaakiiin way qurux badantahay marka aynu ogaaano in aysan jirin wax u dhigma  Jubran khaliiil,[],[],['joy'],[]
som_text_746,Waxaaan hambalyo u dirayaaa wlshy boqorada stylka iyo haykal mahamed ooo maher goooda ka dhacay muqdishoNolal farxadleh ku nooolaaada waligiiin URL,['joy'],['joy'],['joy'],['joy']
som_text_442,Waaadku mahad santahay wlll omar inshar waxan ahay tagerahaga mahad sanid sxpka iiigu horeyay eee an qali kadhigto wa adiga hasa yeshe waxan kajeclan laha inan arko wajigaaaga mahadsanid...,['joy'],['joy'],['joy'],['joy']
som_text_144,Hadiii aaan mar uuun murugiyo   Ku badaye muran iyo isjiiid Waxaaan ahay makhluuuq   Mar khaldami kareee mcn raaali noqo isooo noqo isooo noqo isooo noqo Isooo noqo kaaama maaarmi karaaaye   Nolashaaad muhiiim u ahayd malyuuun La aaanta madooow iyo waaa mugdiyooo Mar hadaaad indh,['joy'],['sadness'],['sadness'],['sadness']
som_text_596,Ummmaddd dhan   ooo 15M ah .   Laga waddda helimayo dad dhawrsan   Lkn Adiguba Views Raaadis baaa tahay Video kasta maxaaa ku tusay. Subscribe taydiii waaan kaaala noqday.,['disgust'],['anger'],['anger'],['anger']
som_text_162,Kama warhaaayi iga dabageeeya bal Faceboook maxa ku dhacay hada so galeee😂,[],[],['joy'],[]
som_text_3695,asc maracadddr saaaxiiib maaalin dhaweyd ayaaan kusooo biiiray chanelkaaaga wuuu wanaaagsanyahay aaadna waaad u mahadsantay lkn wlll taxanaha ay ku qorantahay afgambigiii dhicisooobay eee turkiga waaan daaawadey lkn qaybe ayaaa iga maqan markaaa plylist kuma wada jiraaan eee wlll,['joy'],[],['joy'],['joy']
som_text_3512,Aad iyo aaad baaan ula dhacay ustaaad cumar,['joy'],['joy'],['joy'],['joy']
som_text_4877,Afar siyaabood oo uu Facebook nolosheenna u beddelay kaddib 20 sano,[],[],[],[]
som_text_503,Rabi hanaga dhigo dadka maaalinta qiyaaame jannnada lagu casuuumo aaamiiin aaamiiin folllow sooo dheh page kan mahadsanid wlll❤🙏,[],[],[],[]
som_text_643,Arrrinkaaa fooolxumada iyo naxdinta badan waxa masuuul ka ah Masuuuliyiiinta Dawladdda Hooose waaa in falkuuu gaystay sidiii yahay loooga jawaaabo weeerar ay wadaaan dad damiiirkooodu dhintay,['sadness'],"['disgust', 'fear']","['disgust', 'fear']","['disgust', 'fear']"
som_text_501,Wlll haniyad jabin wa wadar tabi,[],['sadness'],['sadness'],['sadness']
som_text_462,Booobe Yare sxb adigo mahadsan fadlan igu caaawi subscribe,[],[],[],[]
som_text_4012,"Ninyahooow ninkaaan sheeekadiiis hadaaad tixraaac u heyso nala wadaaag, waxay u egtahay qiso la alifay , sawirka shaaashada saaarana waaa Jonathan Polllard ooo israeli ahaaa ooo USA 30 sana ku xukuntay ooo wali noool.",[],[],['anger'],[]
som_text_2073,Madaxweyne USER ooo kormeeeray deeegaaanka MasaaajidCaliGuduuud eee Shabeeelaha dhexe ayaaa bogaaadiyay ciiidamada iyo saraaakiiisha guuulaha kasooo hoooyay dagaaalka Khawaaarijta waxuuuna adkeeeyay in looo guntado criribtirka koooxaha argagixisada ahSomalia URL,[],[],['joy'],[]
som_text_3836,mahadsanid sxb sare MARACADDDE SHOW waaa barnaaamij aaad iii xiiise galiyey waxaaan isleeeyahay dadka eee   (A+)   wuuu anfacaaa,[],['joy'],['joy'],['joy']
som_text_633,Aad baaan wiiilashan uga murugoday filimku waaa qiso dhaba 😢😢😢,['sadness'],['sadness'],['sadness'],['sadness']
som_text_1133,Waxaaas ooo kaliya ayaaan haysanaaa marka laga reeebo jacaylka iyo xiiisaha aaan u qabno caaawinta walaaalaheeennna Sooomaaaliyeeed ,['joy'],['joy'],['joy'],['joy']
