text_id,text,annotator_1,annotator_2,annotator_3,annotator_4,label
mozambique_pt_text_1020_emotion_1,"Drogba, Toure e Mikel apontados para o Melhor Jogador Africano de 2013",[],[],['joy'],['joy'],['joy']
mozambique_pt_text_241_emotion_1,Diego Armando Maradona: das reacções à morte ao enterro de Estado na Casa Rosada,[],['disgust'],[],['sadness'],[]
mozambique_pt_text_1070_emotion_1,Ameaça de bomba na sede da Fifa,[],[],['fear'],['fear'],['fear']
mozambique_pt_text_31_emotion_1,CAN 2021: Guiné-Bissau pode ter hipotecado passagem à fase final ao perder frente ao Egipto,['sadness'],[],[],[],[]
mozambique_pt_text_785_emotion_1,Republicanos aprovam lei para impedir decreto de Obama sobre imigração,['anger'],[],[],['anger'],['anger']
mozambique_pt_text_1348_emotion_1,"Aumenta para 25 o número de mortos em Uíge, diz fonte hospitalar",[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_1079_emotion_1,EUA satisfeitos com apoio a doentes de sida em Moçambique,[],[],['joy'],['joy'],['joy']
mozambique_pt_text_1091_emotion_1,Fome afecta mais de um milhão de moçambicanos,[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_967_emotion_1,Treino militar conjunto fortalece relações Moçambique-Estados Unidos,[],[],[],[],[]
mozambique_pt_text_1719_emotion_1,Amazônia Extrema: Queimadas e cheias afetam saúde dos ribeirinhos,[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_104_emotion_1,Trabalhadores do metro de São Paulo iniciam greve ilimitada,[],['anger'],[],['suprise'],[]
mozambique_pt_text_1615_emotion_1,"Atacantes de Mocímboa da Praia estão activos, reconhece governador",[],[],['fear'],['fear'],['fear']
mozambique_pt_text_1837_emotion_1,"“Talvez o Brasil não seja uma ditadura, mas muito menos é uma democracia”, afirma Mário Magalhães",[],[],[],[],[]
mozambique_pt_text_1168_emotion_1,Cerca de 20 por cento dos potenciais eleitores moçambicanos podem ficar sem se recensear,[],[],['anger'],['anger'],['anger']
mozambique_pt_text_280_emotion_1,Sentença de Bradley Manning pode coagir jornalismo investigativo,[],[],[],['fear'],[]
mozambique_pt_text_1381_emotion_1,Top Ten Americano: Banda Sonora de Black Panther é sucesso de tabelas,[],[],['joy'],['joy'],['joy']
mozambique_pt_text_1224_emotion_1,"Jornalista moçambicano desaparecido: ""Sem rasto"", Polícia pede ajuda",[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_98_emotion_1,Amnistia Internacional pede protecção a Nyusi de pesquisadora ameaçada,['fear'],['fear'],[],['fear'],['fear']
mozambique_pt_text_613_emotion_1,Ministro sul-africano da Justiça vai enfrentar pedido americano de rever extradição de Manuel Chang,[],[],['joy'],[],[]
mozambique_pt_text_1564_emotion_1,Cheias em Nampula afectam milhares de pessoas,[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_213_emotion_1,Autoridades moçambicanas detêm jornalistas em Cabo Delgado,['sadness'],['disgust'],['disgust'],['anger'],['disgust']
mozambique_pt_text_689_emotion_1,Contagem paralela do Observatório Eleitoral dá vitória a Nyusi e Frelimo,['joy'],[],['joy'],['suprise'],['joy']
mozambique_pt_text_419_emotion_1,"Cabo Delgado: Morreu Andre Hanekom, empresário sul-africano acusado de terrorismo",['sadness'],[],['joy'],['sadness'],['sadness']
mozambique_pt_text_1411_emotion_1,Trending: 50 Cent abandona Biden para votar em Trump,[],[],[],[],[]
mozambique_pt_text_1791_emotion_1,A Comissão de Verdade da Gâmbia continua a enfrentar os abusos ocorridos no governo do antigo presidente,[],[],['anger'],['anger'],['anger']
mozambique_pt_text_1609_emotion_1,"""Nós não somos unidimensionais - a cor não é um fator determinante"" - Welket Bungué",[],[],[],[],[]
mozambique_pt_text_1968_emotion_1,Polônia: Reações iniciais à morte do Presidente Kaczy?ski,[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_94_emotion_1,Jovens estão longe dos centros de decisão em África,['sadness'],['sadness'],[],['anger'],['sadness']
mozambique_pt_text_1641_emotion_1,Mistério rodeia nova saída de dos Santos para Barcelona,[],[],[],[],[]
mozambique_pt_text_268_emotion_1,Aumenta número de crimes passionais em Manica,['disgust'],['sadness'],['sadness'],['fear'],['sadness']
mozambique_pt_text_1569_emotion_1,"Moçambique: Líderes da oposição ""carregam os partidos às costas"" - Egídio Raposo",[],[],[],[],[]
mozambique_pt_text_702_emotion_1,Corrupção ameaça instituições moçambicanas de justiça,['fear'],[],[],['fear'],['fear']
mozambique_pt_text_1540_emotion_1,Manuel Francisco anseia pelo seminário de três dias com Barack Obama,[],[],[],[],[]
mozambique_pt_text_1130_emotion_1,"Trending: Snoop Dogg ""verzus"" DMX",[],[],[],[],[]
mozambique_pt_text_1260_emotion_1,Embaixador suiço espera acordo de paz em Moçambique até Abril,[],[],[],[],[]
mozambique_pt_text_859_emotion_1,FIFA admite ter errado no golo do Fred contra os Camarões,[],[],['disgust'],[],[]
mozambique_pt_text_1762_emotion_1,China: Convidem o Dalai Lama para as Olimpíadas,[],[],[],[],[]
mozambique_pt_text_555_emotion_1,Blatter demite-se,['sadness'],['sadness'],['joy'],[],['sadness']
mozambique_pt_text_1006_emotion_1,Juízes moçambicanos pedem mais protecção,[],[],[],[],[]
mozambique_pt_text_1236_emotion_1,Ministro considera crime se se confirmar que FMF não justificou verbas da Fifa,[],[],[],[],[]
mozambique_pt_text_1868_emotion_1,Morte de cinegrafista em protesto acende debate sobre legislação de “mão dura” no Brasil,[],[],['anger'],['anger'],['anger']
mozambique_pt_text_49_emotion_1,“Khanimambo” - O novo som de Moreira Chonguiça,['joy'],[],[],['suprise'],[]
mozambique_pt_text_1786_emotion_1,Brasil: Bispo aponta o estupro de mulheres como desculpa para o aborto,[],[],['disgust'],['disgust'],['disgust']
mozambique_pt_text_721_emotion_1,Esses jornalistas colombianos querem que as pessoas saibam que Pablo Escobar não foi um herói,[],[],['anger'],[],[]
mozambique_pt_text_628_emotion_1,Moçambique e Portugal estudam cooperação energética,['joy'],[],['joy'],[],['joy']
mozambique_pt_text_1431_emotion_1,Top Ten Americano: Edição Especial Natal - os Melhores Álbuns do Ano,[],[],[],[],[]
mozambique_pt_text_739_emotion_1,"Fundo Empresarial da Cooperação Portuguesa disponibiliza 10,6 milhões de euros para empresas moçambicanas",['joy'],['joy'],['joy'],[],['joy']
mozambique_pt_text_1591_emotion_1,Rádios comunitárias moçambicanas combatem casamentos prematuros,[],[],['joy'],['joy'],['joy']
mozambique_pt_text_1008_emotion_1,Coronavírus «ameaça» reserva alimentar em Angola,[],[],['fear'],['fear'],['fear']
mozambique_pt_text_608_emotion_1,Dia Internacional da Mulher comemorado com apelo ao fim do tráfico humano,['joy'],[],['joy'],[],['joy']
mozambique_pt_text_413_emotion_1,Milhares de salvadorenhos enfrentam a COVID-19 sem água corrente para lavar as mãos,['sadness'],[],['fear'],['sadness'],['sadness']
mozambique_pt_text_232_emotion_1,COVID-19: Mais mortes e casos em Moçambique e Angola,['sadness'],['fear'],['sadness'],[],['sadness']
mozambique_pt_text_1412_emotion_1,Quelimane precisa de 59 milhões de dólares para reabilitar pontes,[],[],[],[],[]
mozambique_pt_text_972_emotion_1,"Covid 19: Governo angolano deve melhorar estratégia de comunicação, dizem especialistas",[],[],[],[],[]
mozambique_pt_text_1030_emotion_1,Vladimir Putin aceita grupo de contacto proposto por Angela Merkel,[],[],[],[],[]
mozambique_pt_text_1730_emotion_1,Moçambicanos saúdam trégua mas querem debate célere sobre questões económicas,[],[],[],[],[]
mozambique_pt_text_1085_emotion_1,Afonso Dhlakama fixa residência em Nampula,[],[],[],[],[]
mozambique_pt_text_76_emotion_1,Elas falam: Latinas com deficiência sobrevivem à pandemia,['joy'],['suprise'],['suprise'],[],['suprise']
mozambique_pt_text_1424_emotion_1,"Osvaldo Kaholo lança ""K 654, a realidade na selva humana”",[],[],[],[],[]
mozambique_pt_text_1805_emotion_1,Egito: Mubarak castiga povo com fechamento de bancos e falta de comida,[],[],['anger'],['anger'],['anger']
mozambique_pt_text_439_emotion_1,Quinze milhões de moçambicanos vivem em pobreza extrema,['sadness'],[],['sadness'],[],['sadness']
mozambique_pt_text_417_emotion_1,Joe Biden diz estar pronto para restaurar a América,['joy'],[],['joy'],[],['joy']
mozambique_pt_text_153_emotion_1,Papa Francisco visita Moçambique este ano,['joy'],[],['joy'],[],['joy']
mozambique_pt_text_184_emotion_1,Jovens canadianos são voluntários em Moçambique,['joy'],[],[],['suprise'],[]
mozambique_pt_text_298_emotion_1,Hospitais angolanos gritam por socorro,['sadness'],[],['anger'],['sadness'],['sadness']
mozambique_pt_text_21_emotion_1,Rosa Roque: Artistas unidos podem colocar a cultura de Angola entre as potências do mundo,['joy'],[],[],['joy'],['joy']
mozambique_pt_text_1147_emotion_1,Criminalidade aumenta em Chimoio,[],[],['fear'],['fear'],['fear']
mozambique_pt_text_1413_emotion_1,Trending: The Rock anuncia que ele e família têm Covid-19,[],[],['sadness'],['sadness'],['sadness']
mozambique_pt_text_864_emotion_1,Brasil: Altos Índices de Estresse no Trabalho,[],[],[],[],[]
mozambique_pt_text_1217_emotion_1,"Trending: Debate vice-presidencial e reunião entre Sergio Ramos, Ronaldo e Pepe dominam redes sociais",[],[],[],[],[]
mozambique_pt_text_1494_emotion_1,Salários mínimos vão aumentar em Moçambique,[],[],['joy'],['joy'],['joy']
mozambique_pt_text_1570_emotion_1,Deputados da Renamo convocados pela PGR sobre ataques atribuídos ao seu partido,[],[],[],[],[]
mozambique_pt_text_1938_emotion_1,"Com álbum de figurinhas em alta, peruanos comemoram classificação para Copa do Mundo após 36 anos de ausência",[],[],['joy'],['joy'],['joy']
mozambique_pt_text_1194_emotion_1,Moçambique: Governo estuda proposta lei da nacionalidade,[],[],[],[],[]
mozambique_pt_text_131_emotion_1,Redes informais de WiFi são desmanteladas em Havana,[],['sadness'],['suprise'],['sadness'],['sadness']
mozambique_pt_text_820_emotion_1,Medo e incerteza: a vida dos georgianos em Gali,['fear'],[],['fear'],['sadness'],['fear']
mozambique_pt_text_1704_emotion_1,BAL: Quem é o AS Police do Mali,[],[],[],[],[]
mozambique_pt_text_473_emotion_1,Moçambique: Mergulhar e Defender a Vida Marinha,['joy'],[],['joy'],[],['joy']
mozambique_pt_text_926_emotion_1,Trending: Donald Trump e Barack Obama são os mais populares hoje,[],[],[],[],[]
