text_id,text,annotator_1,annotator_2,annotator_3,label
darija_text_899_emotion_1,مدججون بالسيوف بفاس نوضوها شفرة,['surprise'],['fear'],['fear'],['fear']
darija_text_2670_emotion_1,وفاة رائدة العمل الإنساني فالصحرا مديرة مكتب الهلال الأحمر فالعيون,['sadness'],['sadness'],['sadness'],['sadness']
darija_text_2084_emotion_1,تعاون كبير بين المغرب ومجلس أوروبا فمجال مكافحة تبييض الفلوس وتمويل الإرهاب والاتجار فالبشر,[],['joy'],[],[]
darija_text_717_emotion_1,نينا بانون ماتت. صحافية بدات فاذاعة طنجة فالخمسينات,['sadness'],['sadness'],['sadness'],['sadness']
darija_text_727_emotion_1,دخل الحكومة بشعارات التغيير لكنهم أفسد كل شيء حان وقت الرحيل و المغادرة,['anger'],['anger'],['anger'],['anger']
darija_text_1210_emotion_1,الرميد يذكر بالخمسة بضوابط التجمهر. قال بأن حرية ممارسته ماشي مطلقة ومكتعنيش الفوضى,[],[],['anger'],[]
darija_text_1854_emotion_1,كبور ولحبيب 2. ها الفرقة الجديدة وها المخرج وها مول الشكارة =صورة,[],[],[],[]
darija_text_1590_emotion_1,الوفا عقد شباط. الامين العام للاستقلال لا يفوت فرصة للهجوم عليه وصفه في اخر هجوم بـ”العبد المطيع لبنكيران,['anger'],['surprise'],['anger'],['anger']
darija_text_1600_emotion_1,b7ala chftiha b3eynik hadi wa7d sata kant tadwi fl mosawat w kda w t9et3atsowlat wa7d sat wch 3ndk garro galliha kayn marquise gatlih oh merde,"['disgust', 'surprise']",['surprise'],['surprise'],['surprise']
darija_text_1375_emotion_1,"“ال ناثيونال” : المغرب طرد ناشطين صبليونيين كانو باغين يتلاقاو مع الانفصالية سلطانة خيا,",['surprise'],['surprise'],[],['surprise']
darija_text_1557_emotion_1,مطلوبون في قضايا جنائية خطيرة يتصدرون قائمة المرشحين للانتخابات,['surprise'],"['anger', 'disgust', 'surprise']",['surprise'],['surprise']
darija_text_777_emotion_1,"ولا انا متحزب ولكن حزب العدالة """""""""""""""" بنكيران"""""""""""""""" أخبت خلق الله",['anger'],['anger'],['anger'],['anger']
darija_text_724_emotion_1,سكوب…مستجدات جديدة في قضية أصغر رئيسة جماعة,[],[],[],[]
darija_text_432_emotion_1,الريسوني ماقادرش يوقف فالمحاكمة وحالتو صعيبة بسباب إضرابو على الماكلة.. والدفاع تقدم مرة اخرى بطلب إطلاق سراحو,['surprise'],['sadness'],['sadness'],['sadness']
darija_text_517_emotion_1,chi wehdin ybano ghi f chofo m3ana had lmo9abala min jito jito beda 3awno m3a f teswiit wela tedkhlo ghi 3la hsab lmeslaha,['anger'],['anger'],['anger'],['anger']
darija_text_1143_emotion_1,"بوريل : موقف الحكومة الاسبانية لا يتعارض مع قرارت الامم المتحدة والاتحاد الاوروبي,",[],[],[],[]
darija_text_1385_emotion_1,واش كازا غادة نحو الدخول لمرحلة وبائية خطيرة؟ مقرات مهنية تسدات بعد تسجيل حالات إصابة بالفيروس وسط العاملين بها,"['fear', 'sadness']",['sadness'],"['fear', 'sadness']","['fear', 'sadness']"
darija_text_2587_emotion_1,ديما هو آخر من يعلم. العثماني مكانش فراسو إحداث وزارة للشؤون الخارجية,['surprise'],['anger'],['anger'],['anger']
darija_text_826_emotion_1,مغربي مات فالفيضان لي ضرب مورسيا (فيديو صادم للفيضان),['sadness'],"['fear', 'sadness']",['sadness'],['sadness']
darija_text_243_emotion_1,الريسوني دخل فإضراب على الماكلة ابتداء من اليوم,"['anger', 'sadness']",['sadness'],['sadness'],['sadness']
darija_text_1419_emotion_1,أدعي الله عز وجل ان لا يحرمك من رؤيته هو الملك الحق أما محمد السادس ليس الا بشر مثلك,['joy'],['surprise'],['anger'],[]
darija_text_1899_emotion_1,المغرب غادي يستافد من معدات جديدة لمحاربة الحريگ بتمويل من الاتحاد الأوروبي,['joy'],['joy'],[],['joy']
darija_text_2439_emotion_1,المغرب حطم الروكور فالموت بكورونا اليوم. 43 مغربي ومغربية ماتو و1191 تصابو و1327 تشافاو.. الطوطال 1184 وفاة و63781 مصاب و48922 حالة شفاء. و13675 كيتعالجو منهم 198 فحالة خطيرة,"['fear', 'sadness', 'surprise']","['fear', 'sadness']","['fear', 'sadness']","['fear', 'sadness']"
darija_text_2463_emotion_1,كَاد المالح: ماعنديش الجنسية الفرنسية.. وجراو عليا 8 ديال المدارس فالمغرب!,['surprise'],[],"['anger', 'sadness']",[]
darija_text_2054_emotion_1,انعدام “السيولة”فالگيشيات دالبنكات جر بنشعبون للمساءلة البرلمانية,[],"['sadness', 'surprise']",[],[]
darija_text_1249_emotion_1,قلق متزايد بالداخلية من استمرار الاحتجاجات في الريف,['fear'],"['fear', 'sadness']",['fear'],['fear']
darija_text_2195_emotion_1,شاعلة ف جمعية الأعمال الاجتماعية لموظفي مجلس المستشارين ونايضة استقالات,['anger'],['surprise'],"['anger', 'surprise']","['anger', 'surprise']"
darija_text_295_emotion_1,اللجنة الوطنية لمواكبة إصلاح التعليم: خاص الإسراع بتنزيل مقتضيات قانون الإطار,[],['joy'],['sadness'],[]
darija_text_677_emotion_1,محمد صالح نجم ليفربول جاي للمغرب.. وها علاش,[],[],[],[]
darija_text_1780_emotion_1,والي العيون يبدع اسلوبا لمحاربة البطالة : أبناء الصحراء يدخلون سوق العمل بقطاع الصيد التقليدي,['surprise'],['joy'],['joy'],['joy']
darija_text_1098_emotion_1,تعطيل الحوار الثلاثي ماعاجبش ال”سي دي تي”: غادي نواصلو مواجهة كل التراجعات الحقوقية والاجتماعية,['anger'],['anger'],['anger'],['anger']
darija_text_1684_emotion_1,أسعار المحروقات شعلات مواجهة كبيرة بين العدالة والتنمية والبام بمجلس النواب,['anger'],['sadness'],[],[]
darija_text_2452_emotion_1,نواب البيجيدي بالشرق يطالبون بلجنة تقصي الحقائق حول إحداث جرادة ويساءلون لفتيت,['anger'],[],[],[]
darija_text_2418_emotion_1,@user @user ........https://t.co/sJOnDagYqZ nakhjal ?? aha hada rah lmaghrib ya 3anza !! blad li mat7elmoch tweslo liha wa chokran,"['anger', 'joy']",['anger'],['anger'],['anger']
darija_text_462_emotion_1,اختلاسات مالية تهز مندوبية المياه والغاب­ات وها التفاصيل ديال­ها,"['sadness', 'surprise']","['sadness', 'surprise']",['surprise'],"['sadness', 'surprise']"
darija_text_266_emotion_1,تحية لناس الحسيمة المغاربة الحرار,['joy'],['joy'],['joy'],['joy']
darija_text_1685_emotion_1,إننا في زمن الخرافات وكأن الإنسان الذي يسمع ويرى الهرج المرضي الذي يروجه هذا المتاجر بخزعبلاته استغلالا لسذاجة الكثيرين والذين لا يعرفون مفهوم التدين الا في نسخته الداعشية.',['anger'],['sadness'],['anger'],['anger']
darija_text_1110_emotion_1,تعاون تجاري واقتصادي جديد جاي فالطريق بين المغرب والسعودية,['joy'],[],[],[]
