text_id,text,annotator_1,annotator_2,annotator_3,label
yoruba_text_249_emotion_1,Carabao cup: Iheanacho gba góòlù wọlé láti ra Leicester city padà lọ́wọ́ ìfìdírẹmi,['joy'],['joy'],['joy'],['joy']
yoruba_text_1528_emotion_1,Kí ló dé tí àwọn èèyàn ṣe ń fi orúkọ Ibrahim Chatta gbowó lórí ayélujára?,['surprise'],[],['surprise'],['surprise']
yoruba_text_2683_emotion_1,"Ọpẹyẹmi loun jẹbi ẹsun ole jija, l’adajọ ba ni ko lọọ fẹwọn jura l’Ondo",['surprise'],['sadness'],['sadness'],['sadness']
yoruba_text_3200_emotion_1,Awọn adigunjale to yinbọn pa oṣiṣẹ ileepo Akurẹ d’ero ile-ẹjọ,[],"['anger', 'sadness']",[],[]
yoruba_text_4155_emotion_1,O n rugbo bọ o! Igbimọ to n gbọ ẹsun ibo aarẹ gba awọn iwe-ẹri Tinubu ti ẹgbẹ PDP ko kalẹ gẹgẹ bii ẹri,['fear'],[],['sadness'],[]
yoruba_text_2553_emotion_1,"Wumi Toriọla ṣile olowo nla, gbogbo aye lo n ki i ku oriire",['joy'],['joy'],['joy'],['joy']
yoruba_text_4824_emotion_1,"Ti Naijiria yoo ba goke agba, iṣẹ wa lọwọ adari atawọn ọmọlẹyin – Imaamu agba ilu Ọffa",['disgust'],[],[],[]
yoruba_text_2202_emotion_1,Èdè abínibí  ni kẹ́ẹ máa fi kọ́ àwọn ọmọ ilé ẹ̀kọ́ alákọbẹrẹ báyìí; Ìjọba pàṣẹ!,[],[],[],[]
yoruba_text_3376_emotion_1,"Ọkọ mi ti fẹẹ fi lilu pa mi, adajọ, ẹ tu wa ka-Ayisat","['anger', 'sadness']","['anger', 'fear', 'sadness']",['anger'],"['anger', 'sadness']"
yoruba_text_2155_emotion_1,Ṣ﻿é lóòtọ́ ni àwọn jàndùkú kọlu Atiku àti ikọ̀ ìpolongo rẹ̀ ní Borno?,['surprise'],[],['anger'],[]
yoruba_text_899_emotion_1,Osun Kidnap: Àwọn agbébọn ti jí àwọn arìnrìnàjò gbé ní ìpínlẹ̀ Osun,"['anger', 'sadness']",['sadness'],"['fear', 'sadness']",['sadness']
yoruba_text_3251_emotion_1,"Awọn ọdọ ṣewọde ‘June 12’ l’Ọjọta, lawọn ọlọpaa ba kọ lu wọn",['sadness'],"['anger', 'sadness']",['sadness'],['sadness']
yoruba_text_1515_emotion_1,Osun Hotel Murder: Ìyàwó Timothy Adegoke bú sẹ́kún pé àwọn kan ti ń fi owó lọ abúrò ọkọ òhun lórí ẹjọ́ yìí,['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_864_emotion_1,"Sunday Igboho: Ìkọlù tí ẹ̀ṣọ́ aláàbò ṣe sí Sunday Igboho, Inú wa kò dún sí ìjọba''","['anger', 'sadness']",['sadness'],['sadness'],['sadness']
yoruba_text_4289_emotion_1,Kọmiṣanna ọlọpaa tuntun bẹrẹ iṣẹ l’Ondo,['joy'],[],[],[]
yoruba_text_2996_emotion_1,"Nitori owo-oṣu tijọba jẹ wọn, awọn oṣiṣẹ ileeṣẹ omi fẹhonu han l’Ekoo",[],['anger'],['anger'],['anger']
yoruba_text_4292_emotion_1,Eyi lesi ayẹwo tijọba ipinlẹ Ọyọ ṣe fun Olubadan tuntun,[],[],[],[]
yoruba_text_3047_emotion_1,"Tinubu, awọn araalu ko ri ipa owo iranwọ epo tijọba rẹ n fun awọn gomina loṣooṣu o – TOM",['anger'],[],['sadness'],[]
yoruba_text_2580_emotion_1,"Ọpẹ o, awọn Fulani ti tu Basit, ọmọ Damilọla olorin Islam silẹ o",['joy'],['joy'],['joy'],['joy']
yoruba_text_1490_emotion_1,"Plane Crash: Ọkọ̀ báàlù ṣìnà, ó já wọ ilé onílé",['surprise'],['sadness'],['sadness'],['sadness']
yoruba_text_158_emotion_1,Yoruba Nation: Mo faramọ́ àtúntò 'Restructuring' tí kò lọ́wọ́ ìṣèlú nínú- Oba Ahmed Adekunle Makama ti Kuta,[],[],['anger'],[]
yoruba_text_111_emotion_1,Gun control in Nigeria: Wo ọ̀nà márùn ún tí o lè gbà dábòbò ara rẹ lọ́wọ́ ìjàmbá!,[],[],['joy'],[]
yoruba_text_4692_emotion_1,"Gomina ipinlẹ Ebonyi, David Umahi, ṣabẹwo si Buhari, o loun naa fẹẹ dupo aarẹ",['surprise'],[],[],[]
yoruba_text_250_emotion_1,Pakistan train fire: Iná ńlá ti pa ènìyàn 74,['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_938_emotion_1,Lebanon Explosion: Ibùdó tí igba èèyàn ti kú lóṣù kẹjọ ní iná míràn ti jó,[],['sadness'],['sadness'],['sadness']
yoruba_text_2362_emotion_1,Nigeria Police Force: Buhari buwọ́lu ẹkùn iléeṣẹ́ ọlọ́pàá márùn ún tuntun káàkiri Nàìjíríà,['surprise'],[],[],[]
yoruba_text_190_emotion_1,Ogun Flood: Ọ̀pọ́ Dúkìá ló sọnù ní 2019 lásìkò tí ìjọba ṣí dáàmù Ọyan,['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_2887_emotion_1,Awọn agbebọn pa adari ẹgbẹ APC ti wọn ji gbe lasiko tawọn fijilante fẹẹ doola ẹmi rẹ ni Kwara ,['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_703_emotion_1,"Paul Sodje: Ọjọ́rùú ló yẹ kó pé ẹni ọdun 55, amọ́ tó kú ikú àìròtẹ́lẹ̀",['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_4712_emotion_1,Makinde darapọ mọ ẹgbẹ APC l’Ondo,[],[],[],[]
yoruba_text_4544_emotion_1,Saheed Oṣupa kawe gboye ni Yunifasiti Ibadan,"['joy', 'surprise']",['joy'],['joy'],['joy']
yoruba_text_4463_emotion_1,Atiku Abubakar gba abẹrẹ ajẹsara Korona ni Dubai,[],[],[],[]
yoruba_text_4976_emotion_1,Ẹgbẹ PDP Ekiti ṣepade apero lori ibo 2022,[],[],[],[]
yoruba_text_2997_emotion_1,Awọn agbebọn ji iyawo atawọn ọmọ araalu oyinbo gbe ni Kwara ,"['sadness', 'surprise']",['sadness'],['sadness'],['sadness']
yoruba_text_881_emotion_1,Ọkọ lu ìyàwò pa nìpínlẹ̀ Ogun nítorí pé kò yọ̀nda ilé ẹ̀kọ́ tó kọ́ fún-ùn,"['sadness', 'surprise']","['anger', 'sadness']",['sadness'],['sadness']
yoruba_text_1824_emotion_1,Mali Coup: Ẹgbẹ̀lẹ́gbẹ̀ èèyàn tú jáde ní Bamako láti yọ̀ pé wọ́n rẹ́yìn ààrẹ àná,['joy'],['joy'],['joy'],['joy']
yoruba_text_2279_emotion_1,Iniobong Umoren story: Ìjọba Akwa Ibom pè fún ìdájọ́ òdodo lórí ìwádìí ikú ọ̀dọ̀bìnrin tó dàwátì tórí ó ń wá iṣẹ́,['sadness'],['fear'],['sadness'],['sadness']
yoruba_text_1663_emotion_1,"Ogun Police: Àwọn jàǹdùkú kọlu ọlọ́pàá, DPO faragbọta, ọlọ́pàá mẹ́rin di àwátì",['surprise'],['sadness'],['sadness'],['sadness']
yoruba_text_1395_emotion_1,Èèyàn mẹ́tàdínlógún farapa lẹ́yìn ìṣẹ̀lẹ̀ ilẹ̀ rírì ní Croatia,"['sadness', 'surprise']",['sadness'],['sadness'],['sadness']
yoruba_text_169_emotion_1,Ikoyi Collapsed Building: Dele Momodu bẹ̀bẹ̀ adura ki awọn to ha sabẹ ile to da wo jade l'ayọ,['sadness'],['fear'],"['fear', 'sadness']","['sadness', 'fear']"
yoruba_text_342_emotion_1,National grid collapse: Ìtàkùn àpapọ̀ iná mọ̀nàmọ́ná 'National grid'ní Nàìjíríà tún ti paná pi,['sadness'],['sadness'],['sadness'],['sadness']
yoruba_text_2410_emotion_1,Akomolede ati asa Yoruba: Ẹ wá kọ́ nípa àpòtí ìṣura èdè wa lórí BBC Yorùbá,[],[],[],[]
yoruba_text_1731_emotion_1,"NBA election 2020: Olumide Akpata di aàrẹ àjọ àwọn agbẹjọ́rò ní Nàìjíríà, Taiwo Taiwo, Ajibade àtàwọn míì kíi kú oríire",['joy'],[],[],[]
yoruba_text_2156_emotion_1,"Osinachi Nwachukwu: Ọkọ Osinachi, Peter Nwachukwu yóò fojú ba ilé ẹjọ́ lórí ikú ìyàwò rẹ̀",[],[],['sadness'],[]
yoruba_text_268_emotion_1,"Ta ni ọmọ ẹ̀lẹ̀ yìí, Olorì Tobi Phillips tó ṣẹ̀ṣẹ̀ wọ ààfin Ooni Ife?",['surprise'],[],['joy'],[]
yoruba_text_4749_emotion_1,Awọn adajọ bii mẹjọ ni yoo ṣoju Sunday Igboho nile-ẹjọ ni Benin,['surprise'],[],['joy'],[]
yoruba_text_4585_emotion_1,Eid-el-Malud: Ijọba apapọ kede ọjọ Aje to n bọ bii isinmi lẹnu iṣẹ,['joy'],[],[],[]
yoruba_text_996_emotion_1,“Mo ṣetán láti fi ọ̀kan nínú kíndìnrín mi sílẹ̀ fún ọmọ Ekweremadu”,[],[],[],[]
yoruba_text_4958_emotion_1,"Fathia Balogun fẹẹ ṣọjọọbi, ‘wan fifti taosan’ (150, 000) laṣọ ẹbi",['surprise'],['disgust'],['surprise'],['surprise']
yoruba_text_4259_emotion_1,Oluwoo pe awọn onimọ nipa ede Yoruba nija,[],[],[],[]
yoruba_text_3682_emotion_1,"O ṣẹlẹ, wahala nla bẹ silẹ laarin awọn ọmọ gomina Alao Akala, wọn ti gbera wọn lọ si kootu",['surprise'],"['disgust', 'fear']",['sadness'],[]
yoruba_text_57_emotion_1,Fight against corruption: Ọ̀rọ̀ Satguru Maharaj ji sí àwọn olóṣèlú Nàìjíríà lórí ìwà àjẹbánu,['anger'],['disgust'],[],[]
yoruba_text_852_emotion_1,Christmas Message: Wo bí o ṣe lè dáàbò bo ara rẹ lásòkò ọdún Keresimesi,[],[],[],[]
yoruba_text_2665_emotion_1,"Ọpẹ o! Toyin Araham ti tun loyun, oun ati ọkọ rẹ n reti ọmọ keji",['joy'],['joy'],['joy'],['joy']
yoruba_text_1880_emotion_1,Ekiti man to die by hanging: Wọ́n ṣèdájọ́ ikú fún ẹni ọdún 42 l'Ekiti lẹ́yìn tó pa Ọba aládé,['surprise'],['sadness'],['sadness'],['sadness']
yoruba_text_1725_emotion_1,#justiceforDonDavis: Orí ayélujára n gbóná janjan fún ariwo ìdájọ́ fún akẹ́kọ̀ọ́ kan níléèwé Kumuyi,['anger'],['anger'],['anger'],['anger']
