id,tweet,anno1,anno2,anno3,anno4,label
1557868514224005124,#WBO_OLA Jajjabee waraana bilisummaa oromoo iluu Abbaa booraa biyyaa Caalii Shone biyya fatansaa Ailuu gadhee pp akka looniti walitti hidhee Adeemsisa jira uummata keessa . URL,hate,hate,hate,hate,hate
1514703534595452929,#BAGA EBLA 15 GUYYAA GOOTOTA OROMOO geessan!,normal,normal,normal,hate,normal
1418942305520734223,BAGA HARKA DIINAATTI RABBI SII_BAASE@USER!!Godinaa Jimmaatti Bakka bu'aa KFO Obbo Umar Xaahir Gara laafina isaaniitiin osoo hin taane hidhaa cubbuu sitti murteessan xumurattee baga nagaan baate! URL,hate,hate,hate,hate,hate
1356673602154856450,Itoophiyaa jechan Oromo dha 1) Rakkoo abba ajjeesse ilmaa tti darbu 2)koora ittin Habashan Oromo yaabatu 3)Guddini Oromo dhaabii deemiicha 4) kani xaaru(lafaa'u )Oromo kani nyaatu Habasha 5) Iddoo tti seeraa bosona hojaa irraa oliichan 6) Elite Habasha hojaatun Oromo .,hate,hate,hate,hate,hate
1561111936208539648,@USER Rabbi Jedhii kun malii barsiisa . edaa maqaa dhaf barsiisa Universitit . kun sammuu nama qara moo ni doomsaa.nama uffatu dubbatu fokkatuu.argaa namicha kana numa jibba silaa nama jibbee homaa nama godhuu wly osoo argee asiida itti naqee jiruu fokkisaa,abuse,abuse,abuse,abuse,abuse
1487100909666590725,Halkanii guyyaa warri jibba Jawar lallabu anaaf diina irraa adda baatee hin qabu . Dhuma dubbii!,hate,hate,hate,hate,hate
1461364748759408659,Why doesn't @USER tell Abiy Ahmed to stop bombing Wollo oromo and arresting Oromos in Finfinnee? You can't stop OLA from interring its own town.Waraana Itoophiyaa: WBO fi TPLF imala gara Finfinnee godhan akka dhaaban barbaanna’-Biliinken: URL,normal,hate,hate,hate,hate
1474027488514875394,"Kaayyoon mootummaa kanaa jalqabumarraa Oromiyaa diiguu irratti akka xiyyeeffate beekamaadha . Kana Oromoon yoom iyyuu hin fudhatu . ""Wal gaggalaafata taatii.!"" URL",hate,hate,hate,hate,hate
1542871034101112833,Imimaankee akka lolaa gannaati akkanati dhangala'u kuni cittoo isaaniti yaa ta'uu galaana ta'ee fudhatee qilee isaan yaa buusu booyichi bara baraan qe'ee isaanitii hin dhabamiin ibida ta'ee isaan yaa gubu umurii isaanii guutuu yaa gubatan boqonnaa hin argatin URL,hate,hate,hate,hate,hate
1546075211937845248,Ati siyaasa keessatti diina kee yaadan mo'aachu yaali yoo didee sitti gamee humnaan falmadhuu!,normal,hate,hate,hate,hate
1529836418314514436,@USER Warri Iluu gootaWarri Gannuu gootaWarri Baabboo gootaAti eessa baatee Taate doofaa?,abuse,abuse,abuse,abuse,abuse
1374493695618080773,Amma yeroo kana hunda booda Abiy waraanni Eertiraa yakka duguggaa sanyii gaggeessuu amanee jira . sobuu isaa ragaa ofitti bahee jira . Kanaafuu Ambaasaaddarooni Paarlaamaa Awropaa dura deebi’aa kijiba keessaniif dhiifama gaafadhaa! URL,abuse,abuse,hate,hate,abuse
1496876971497775109,Akkuma warra faallaa Qabsoo Bilisummaa Oromoo deeman qeeqaa adabaa fi daandiirraa maqsaa deemnu jajjaboo Qabsicha keessatti qooda Leencaa bahachaa jiranii fi Qabsoof utubaa ta'aa jiranis jabeeffachuun waan gaariidha . @USER,normal,normal,normal,hate,normal
1353791597629026311,Suudaan lafa Itoophiyaa keessaa akka baatu Itoophiyaan akeekkachiiftee turte . Deebiin Suudaan garuu kan qabanne keessaa bahuu dhiisii kan nu hafe kan qabachuuf deemnutu jira jettee deebii kennite . Baay’ee Itoophiyaa tuffattee jirti . URL,normal,hate,hate,hate,hate
1472538372992389121,Humni Addaa Beenishangul fi Amharaa WBO irraa Beegii fudhachuu deemee waraana bane maal akka ta'e Hospitaala Asoosaatti bilbilii gaafadhu,normal,hate,hate,hate,hate
1540804484779098112,Umanni Oromoo halkan tokkoof rakkoo keesatti yoo wal dagate.Boriif seena fokkisaa ol_kawwachu isaati . Asii si waliin dhiisichu Oboleyyaan kee Dhiiga boochisu jedhe Ittiiqaan . URL,normal,normal,hate,hate,normal
1484601335597182979,@USER Goobanaa gantuudha . Ergamtuudha . Bor hin beekne turte . Atimmoo maaf aarta ree? Amala ergantu keessa waan hin jirre tokko hin fidiin kaa Chee harree dheedii sardoo kee hagi faandoo kee,abuse,abuse,abuse,hate,abuse
