tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
b94c5a8e-1a1a-41fd-9adb-6f374f55829c,napoli and now psg too ay3 ka,44,45,63.0,negative,neutral,negative,negative
91aa3075-139a-447f-b194-f3e310d108a1,wo gyimie s3 mre wate nkwaseas3m sei,44,45,63.0,negative,negative,negative,negative
56393a31-26ce-4812-b64e-36583785f8bd,hwɛ papa no ɛnyɛ mo black and white no o wei deɛ colored ankasa,44,45,63.0,positive,positive,positive,positive
92bb1724-21dd-4e33-a7a4-16452bffc20b,de3n paa na ka y3 wakeka abo mu saa k3k3,44.0,45,63,positive,positive,neutral,positive
78631081-61d4-4b5e-83c9-f9a424ba0ced,wo nfa mma kumasi a gyae ɛ nka woaa wo bɛ te,44.0,45,63,positive,neutral,neutral,neutral
8a1fdf9b-d1ff-475b-aa9c-df43ea972891,the way s3kyerewaa the tweet nu im scared sef since yestee girl nu tweeti saaaa ekua ka nu nyinaaaaa,44,45,63.0,positive,positive,negative,positive
f5d07117-cbb7-4bfc-b055-9c8c12724baf,😂 😂 na me may3 de3n,44.0,45,63,positive,neutral,neutral,neutral
c9591b27-547e-4af9-a611-8946ded376a2,wonni sika aa 🤥 wose 3moo 🍚 3nmee ahiafoc ne nkwasia keka,44,45.0,63,negative,negative,negative,negative
943d9a70-99aa-44c2-9e74-1d646a0af7c5,okafuo didi nanso onni abenkwan wai sagaa,44,45,63.0,positive,positive,positive,positive
7360c383-2f4c-47d5-b592-4b7fa91356ea,black stars this black stars that charlie mu yɛ dede pɛ milo bi nom na yɛn partey wai,44,45,63.0,positive,neutral,positive,positive
e3236094-af83-472a-b91e-1128294db880,y3te sika nanso 3kom de y3n 🤦🏽‍♂️😶,44,45.0,63,neutral,negative,negative,negative
fb8109cd-ea92-4e0f-8076-8259274d7302,life no bɛyɛ scary ama ɔmo,44,45,63.0,positive,negative,negative,negative
33069753-d975-44e7-8c80-ec24608fa5ed,cape diə saa oh😅,44,45.0,63,positive,negative,positive,positive
4587c58a-417f-4a1f-8c1e-140822c22ade,wo papa da wo ase 😂,44.0,45,63,positive,neutral,positive,positive
ca4ed9fb-6324-4395-9896-f97732f281ae,wo ti kakrakaaa nyansa nnim,44,45.0,63,negative,negative,negative,negative
9c442403-a749-4802-836b-542f90b08c15,wo tr3 su tus 😂😂😂 saddick obama 😂😂,44.0,45,63,negative,negative,neutral,negative
b599669f-0827-4778-98ce-5586be601f65,bermaaa hw3 abra afcon final ekoso enfa bi da,44,45,63.0,positive,positive,positive,positive
0fc983f4-2091-4850-9b70-89d9f9e4887b,wei de3 wo ly paaa oo,44,45,63.0,positive,positive,negative,positive
f0ebf073-2686-49c8-9f69-cacc51a4f086,sɛ nie ewia yɛ no saa na nsu bɛyɛ kɔtɔ deɛ ne bo dwe,44,45,63.0,positive,positive,negative,positive
aa0f38d3-ec31-4180-9f58-c89242cba33d,wei nyina w industry ne mu biapuuu,44,45,63.0,negative,negative,negative,negative
bd688d44-6030-4883-a35d-2c984c4563df,ne nan te sɛ,44.0,45,63,positive,neutral,neutral,neutral
e1785b4a-84f2-4dac-af5c-aa56b383948c,masa masa do the needful you lose bet yɛ nia ehia,44,45.0,63,positive,negative,positive,positive
8cdb6d46-f4d7-4930-bfbc-2d5e386db749,hw3 ne gyimiieaa bi 😂😂😂😂😂,44,45,63.0,negative,negative,negative,negative
f810cdc1-15cf-409e-92ea-971b1b729efb,asem no no ooo,44.0,45,63,positive,neutral,neutral,neutral
e0f95022-2e6d-46ef-afe1-02822ddb4ca3,masa to wadwen mu wae,44,45.0,63,neutral,negative,negative,negative
c556cef7-e844-422d-baf1-7cc07529d637,ad3n woy3 bayifoc na wotw3 asei,44.0,45,63,negative,negative,negative,negative
43f217e7-4df7-4c6a-ac91-7d6d9f6c2b53,wei deɛ asɛ akɔ woho paa oo,44.0,45,63,positive,neutral,neutral,neutral
dedf7944-e0a8-4ca1-a4f2-94ceeff8e250,ngolo kante ankasa wo tan no arh wo tw3 2sure,44.0,45,63,negative,positive,negative,negative
db25a8a5-b97d-4920-8ba7-2f9de6f46c4a,algeria mmoa double chance k3k3 u spoiled my longbet nkwaseafo nyame na atua mo ka agyimifo,44,45,63.0,negative,negative,negative,negative
9313120e-9f90-45ef-8a3d-a04aef2f7939,y3 p3 sika nti y3n adwuma y3ntimu nya gab 🔥,44,45.0,63,positive,positive,positive,positive
b974b84f-e5da-4a7c-88b5-b503083f4e52,s3 paa s3 agartha bema me broken heart paa de3 anka agyeiwaa mfa me ny3 ntomago agyeiwaa❤️,44,45,63.0,positive,neutral,positive,positive
286995ff-b253-4404-87fd-a2f0b7377346,organized bus wey dey carry freshers go campus k3k3 bi ghs 150 na uber koraa y3 sen,44,45,63.0,neutral,neutral,negative,neutral
53fd9127-5d41-4e16-996b-06931991efd4,gyimiiii saaa na wa wu,44,45,63.0,negative,negative,negative,negative
e5e08519-8153-45b1-8b1d-c4cf54f6fd76,wotweaaa tomorrow koraa wcn ka,44,45.0,63,positive,negative,negative,negative
c138a4fc-26bf-40fb-bb62-8be28ee78b51,wo so bra juve na gyai gyimii no,44,45,63.0,negative,negative,negative,negative
f7816ca4-3ba4-4e90-8b6d-bdb63158b895,eii information wo wiase ooh 🦅😂,44.0,45,63,positive,neutral,positive,positive
7de6d2bd-fa8e-4ba8-82cb-6970d1037235,bie kwaen ma mi o fis3 mida aa minda,44,45.0,63,positive,negative,positive,positive
1e4f3126-3e16-4415-bcdf-13108dfd6b9b,asante kotoko🔥🔥🔥🔥🔥🔥wo kum apem again apem be ba,44.0,45,63,positive,positive,positive,positive
5073866d-4c50-4338-868f-bf5bb2e047b9,nti na wo phone asɛe no 🤣🤣🤣,44.0,45,63,negative,neutral,negative,negative
3a76e4d6-efa3-4e12-ab44-573e8382e449,yes awal corrected me 2 years ago but bazawalaa no na ɛyɛ me dɛ,44,45.0,63,positive,positive,positive,positive
c2ab7f1c-d98e-427f-8176-48d2324a1a3b,nanim kasii ne bone straight hmm,44,45.0,63,negative,negative,negative,negative
0b2a5176-b070-46c5-8c2f-39b5429253b4,oh mmaa nyinaa boyfriend,44,45.0,63,positive,positive,positive,positive
7780bcf1-a5c5-4411-ab92-a0b5abe1f0e4,hahahahaha eii akua wo papa da wase,44.0,45,63,positive,positive,positive,positive
52f8c4ef-9e67-41bf-90fd-2496f5f3be68,seven wei de3 wasuma oooo hahahahaha y3 tw3n wo,44.0,45,63,positive,positive,positive,positive
c9ce2d94-9c32-435f-aae8-85a12d9f3ce0,carassco no wagyimi anaa,44,45.0,63,negative,negative,negative,negative
aeb186fa-0d6a-4949-8612-bf75e397dff8,hw3 gyimi s3m bibra ha b3hw3😂,44,45.0,63,negative,negative,negative,negative
6d728e82-2cc3-41b3-8b50-2b47673fc5e3,e be me oo 😀,44.0,45,63,positive,neutral,neutral,neutral
880849a7-bd6d-4029-a4eb-78f2f60b8f87,dennis wu ka ns3m ooo 🤦🏿‍♂️🤦🏿‍♂️,44,45,63.0,positive,positive,negative,positive
3c2f5ea1-c56d-40ea-b3ca-e1cd36253268,propaganda nti nipa ni ahutɔ brofu nu nyɛ mi dɛ,44,45,63.0,negative,negative,negative,negative
85a1d20a-1305-4c2d-8323-6fb7f5243b3f,hahahaaa wo gye die anaa lol,44.0,45,63,positive,neutral,positive,positive
20175d73-011a-41fc-bec9-29408aee64d1,ah y3n kan gyere wo 😴😴,44,45,63.0,positive,neutral,positive,positive
8a3464bd-f494-4e4c-8761-7ec446c10867,ei wo ne gyimie 😂,44,45,63.0,negative,negative,negative,negative
87800e3e-a6ce-4f17-a2bf-d27f18ebf534,gosple fuor no mowohe monyinaa monbra mbetie na nnwom no mu y3d3 paa 🤍🔥,44,45,63.0,neutral,positive,positive,positive
1dcef824-28c5-47a2-95d5-46e7a3417d44,ashawo season fo nyinaa y3 mmoa 💀🚶🏾‍♂️,44.0,45,63,negative,negative,negative,negative
f6e7d7e5-3c01-4b30-97dd-5bc1cf055499,nti is true that u ar dating more than three human beings eiii wagyimi ooo na anka ma me baako mpo eerrr😂😂😂lol,44,45,63.0,negative,negative,negative,negative
