id,tweet,anno1,anno2,anno3,label
1063876191319400400,"8. Nobody in particular but I miss my two besties
9. I can carry a conversation, but being asexual yes it makes me uncomfortable so I just try to avoid the subject
10. Grandma, my mother, myself...
11. ""7mara 7a9ira matgolish hakka I love u"" xD to my best friend OmOm",abuse,abuse,abuse,abuse
94813400,@username عفاك شي طريقة باش نتواصل مع السيد المدير العام للأمن الوطني المسمى عبد اللطيف الحموشي ممكن بغيت نشكرو على المجهودات الجبارة التي تقوم بها المديرية العامة للأمن الوطني بفضله وفضل الطاقم التقني الساهر والمشرف على هذه الصفحة فضلا وليس امرا,normal,normal,normal,normal
1189538496752562000,The law is the law but not in my brtouch khanez where i drink illegal grants with illegal whores,abuse,abuse,abuse,abuse
498959732582130000,_bourar يا دابا عوازا ماتايكلوش دانينو وداك شي ,hate,hate,hate,hate
621837996061540400,Hhhhh dial 3abd lhalim hafid,normal,normal,normal,normal
479423384020074500,هذا جمل و لا حمار؟ http://t.co/jFdF6EAiHp,normal,normal,abuse,normal
94813159,@username واش كاتمعني على اللاعب عبد الواحد عبد الصمد ☺️,normal,normal,normal,normal
123114971151343600,ChaymaaMachr Chi wa7ed charef matzwejch 7yatou kamla xD existe en mode feminin aussi p,abuse,hate,hate,hate
94813659,احسن حارس مقاتل... الله الله غي بانت لي الخنشة د السكر وانا نقول شي واحد معتــــــــــــــــــق و قديم و من جيل البركة والخير... تفلسات الوقت آ خا عبد اللطيف... من أعماق الخميسات احيييك وأذكر تويتر أننا في طريق الهاوية...@username,normal,normal,normal,normal
729386212100812800,"@hayettlena @YLaibi 
لالياتك أجيفة واخا طلعي وتنزلي بكيتي عليهم وحشاو لك مابغاوش يتسرطو لك خلاص تنهنان قالت لك نتي حمارة 😂😂😂😂😂😂",abuse,abuse,abuse,abuse
689878217860223000,@Ticallion_ هههه مشرمل دينمو,abuse,abuse,abuse,abuse
1210482146659440000,aliziko02 محال واش حمق  تلقاه غا مخاطر,normal,abuse,normal,normal
743450352540868600,"@almghrib @___Marocaine___ @SihamLabdaoui @AlgerieFree @ZayedAbdulkarim @laplusbellealg1 @prw190 
منير تركب شي حمارة حتى تقضي الغاراض هههه",abuse,abuse,abuse,abuse
94813076,@username غي شفت الفيديو . شيباني بولحية مع زامل . كملو م راسكم,hate,abuse,hate,hate
1170513260388470000,السلام عليكم ورحمة الله تعالى وبركاته اخواني اخواتي الكرام انا عندي مشروع لبغى يشارك مرحبا يتوصل معي ونعطيه رقم العضوية 819878004 باش يمكن لك تشري المنتوجات ديال الشريكة الماليزية DXN لعالمية بتخفيض 20 في 100 علاحسان عندك رقم العضوية 819878004 وكيعطوك رقم العضوية الخاص بك httpstcosrSy1zHEnX,normal,normal,normal,normal
349348387574923260,@Abdeelouw zébi y'a r,abuse,abuse,abuse,abuse
94813642,الشيخ الروحاني الحاج عبد الله السوسي عملاق الروحانيات وصاحب الخبرة في الفلك والطب البديل اقوي شيخ لجلب الحبيب وتهييجه وسلب ارادته #السعوديه، ##url,normal,normal,normal,normal
138357264049381360,@LynaaSw 7mara :( @berguagu2_0 7mar :(,abuse,abuse,abuse,abuse
1100893542313070000,"Fatym_A علاقة معقدة باكستان والسعودية ودابا بغاو تكون الهند هي الشريك الرييسي ديالها بحكم  العلاقة الكبيرة ديالها مع اسراييل 
الموضوع معقد وفيه صراع نفوذ",normal,hate,normal,normal
1619989591829934000,IIOII787II787II Had superman kargholi bgha yaslatt,normal,abuse,normal,normal
492384685348373000,الغريب ان الانسان لا يرى الاشياء القريبة لابد ان يبتعد عنها مسافة كافية او وقتا غير قصير لكي يراها بوضوح,normal,normal,normal,normal
638082633331777500,"@ahmed177198 @BadouMaroc @shishixa @DALI_DALAL @sawissam @hallairiss @box_angham 
أسير تقاود وجودك هنا دليل على أنك بغل مخنث نيهاااي 😂",abuse,hate,abuse,abuse
818905707806343200,"@masoum450 @sohapy4 @lydia_dz @SawsenDziriyaDz @MlissaMlissa4
ف #الجزائر الفغنسية الدار اللي مافيهاقحبة فيها زامل👇🏽😉
https://t.co/MKIN5Jb2XV",abuse,abuse,abuse,abuse
525771252556763200,Haribat 3achko lhdid wakha saygo 3riban Samadi,hate,hate,abuse,hate
882715022371246100,zebi,abuse,abuse,abuse,abuse
778665139025416000,ماباقيش مباقيش جيش_المباقيش حنان_الخضر رافاييل_جبور  في اوال كان عندهم البعض لسان قصير واليوم بدا يطوال هههههه بس شوي بنقصو لكم بكرا,normal,normal,normal,normal
1321411212274450000,"عاجل 

احد حراس السجن قتل بوحشية الليلة الماضية على يد ارهابي مسجون كان عمره 35 عاما واسمه لحبيب حرس متزوج ترك ولديه يحيى وريم عمرهما 5 و 2 سنة

انا لله وانا اليه راجعون

المغرب الرباط httpstcoYx8EJ4h9lo",hate,normal,hate,hate
829080438975103000,kimmilyonerolmakister  MuratYildirim  ShaymaaMl  ya khtiiiii wakha ykono Jay 3la hmar 3rej hashak,normal,normal,abuse,normal
665795789826953200,حنان اكبر من رافييل با2 ديال سنين وباش تعرفوه حمار ولبناني مكلخ مكيشوفش هاذ الفرق https://t.co/qPtBqt13Rc,hate,abuse,abuse,abuse
1558759607366980000,ElDjazair_Daily نضرب اي شيء يتحرك قرب الحدود المغربية ولو يكون موكب عبد المجيد التبون وشنقريحة,normal,hate,hate,hate
756864715486335000,الشلح حمق كالك ا حكا ولواد يلا تصورنا حدا هاد لكاميو غا تبان بحالا فلبحر و ت ف httpstcoNkUjRnwSdM,abuse,abuse,hate,abuse
94813165,اتحاد طنجة:8 انتدابات : سفيان المودن - عبد الغني معاوي - محمد الشيبي - أبراهيم البزغودي - كارلوس فورتيس - توفيق اجروتن- كاسي ماتياس - أنس اﻷصباحي   أولمبيك خريبكة: 8 انتدابات : محمد الفقيه - أسامة لغريب - بوي أوساينو - أنس الورداني -أيوب مودحي - ياسين مرسيل - أداما ديوم - باكوا,normal,normal,normal,normal
531515977201361000,lolita66580471 شارفة ولات كتخربق تمشي تكمش,abuse,abuse,abuse,abuse
827529649500652000,"واحد الجوج دبا حدايا  
 هاداك خونا ملحد 
 اه صهيوني دينمو
 httpstcocf8QvVebJv",hate,abuse,hate,hate
476360491506630660,@rania20005 merci fdiwa hint ana chwiya hmara fi twitter,abuse,abuse,abuse,abuse
1113250891749040000,"اتعب نفسك اليوم لتريحها غذا 

لفظيلة الشيخ عبد العزيز ابن باز رحمه الله  حي الفتح الرباط httpstcoSuxgsgbEwk",normal,normal,normal,normal
362611186073743360,@FatineStar والله حتى أنا مكلخة شداني ليه والصهد دابا وناري الشاريش قالك متقدريش تعومي فيه من قدرة السخونية,abuse,abuse,abuse,abuse
542439942920491000,Abdalslaam_alz ana maghriiya kn hma9 nta w betty wwlh plz khlikoum b jouje ou matkheliwche hta haja tfara9koum ntouma ramz dyal sada9a,normal,abuse,normal,normal
710979320605499000,"AchaLFC K7al_L3afta اخواني الريدز بغيت نقوليكم بلي توحشت Javier Manquillo
المهم ماشربتش الدوا ماديوش عليا",normal,normal,normal,normal
479389956595781600,il n'aime pas que je sois intellectuellement meilleur. mais bon je m'en bat les 9lawi.,abuse,abuse,abuse,abuse
354616912552013800,@LauraNora_ oui hmara ! Mais c'est pas sûre a 100% y'a de l'espoir encore niahaha,abuse,abuse,abuse,abuse
582217856693219000,الله يخليكم ماتخلطوش بين عبد السلام وواحد من فانزه ما مربيش احنا اللي نعرفوا ان عبد السلام صديق عزيز عند ملكتنا وواجب علينا احترام اصدقاءها,normal,normal,normal,normal
365715195408040000,@SehimiMarwa bref Bouzebal is back,abuse,normal,abuse,abuse
601805256738152400,"أنا قحبة
قصيدة للشاعرة الكردية باران ميلان, ترجمها عن الفارسية حميد كشكولي
http://t.co/hEnITyuxyC",abuse,abuse,abuse,abuse
140042820013670400,@Youjatzy hmara hadi.,abuse,abuse,abuse,abuse
567394226896633860,@Tiiiiskat90 bnadam mrid hyathom kolha ghach whta fmosaba9at fox faytina,abuse,abuse,abuse,abuse
1156570118715056000,la partie bas du corps jambe pied zebi https://t.co/kCSD13l5El,abuse,abuse,abuse,abuse
1630449218727850000,niss_ed حيت عاهرة ومعندكش لي ربيك جيل لي مامتقوباش مكتسماش دورات سلعة رخيصة,abuse,abuse,abuse,abuse
94813608,بحال عبد الكريم الخطابي غيدكروني واخا نموت💯 @username #oussamaazzouzofficial ✔ à… ##url,normal,normal,normal,normal
619274709973225500,Je tape des crepes banane Nutella tout les soirs tel une bagra qui se respecte,abuse,abuse,abuse,abuse
94813485,@username ندائي لكل مغربي يهودي كن فخور بملكي وانا بصفتي يهودي مغربي لا يسعني إلا القول شكرا لك جلالة الملك الاب الروحي والسند لمتين والحبيب العالي لدى اليهود المغاربة وهذه  صفة إكتسبها من ابيه وجذه فهذا لحبيب هو الوحيد بين الحكام العرب هو واحداده من حافظوا على اليهود وكانوا  الاب..💙🇲🇦🇮🇱 ##url,normal,normal,hate,normal
1599735467297022000,@said_messaoudi8 هد بوزبال ماشي عرضهم الغلاء .هادو هازين اعلام فلسطين وكوبا وحزب الشيطان .ماشي جايين إلى الشارع على المغاربة ولكن للمتاجرة وتلقي الدعم من منظمات معروفة ولا اعرف مادا تفعل الداخلية لمنع رفع شراوط الا ارهابيين ونضام وكوبا الماركسي وحتى فلسطين ما محلها من الا عراب,abuse,hate,abuse,abuse
638294978494657000,الشيخ السلفي عبد الكريم الشاذلي قدم الى القصر قايمة باسماء 90 سجينا سلفيا قاموا بمراجعات فكرية عبروا فيها عن استعدادهم للعمل السياسي,normal,normal,normal,normal
495176214320263200,"Some #FoodPorn from #Japan 
الأطورو مشرمل بسراق الزيت والكرداس @ O Sushi http://t.co/ieFbHYjU0r",normal,abuse,abuse,abuse
1434657486058008300,@Tom___Sghayer تولي قديد العيد مشرمل 😁,normal,normal,normal,normal
667863618214563800,en mode ya écrit hmara sur ma gueule,abuse,abuse,abuse,abuse
1624496347897340000,"HyperMorocco انا وحد سوال  غادي نسولو و عندك شي واحد يقولي انت حمق سورة الكهف  فاتبع سببا حتى اذا بلغ مغرب الشمس وجدها تغرب في عين حميية ووجد عندها قوما 
 ابن هذ مغرب شمس و من هم هذا القوم",abuse,normal,abuse,abuse
362530245108183040,Chaimae elle vient darriver Elle dort deja cette bagra,abuse,abuse,abuse,abuse
994380681982698000,K7al_L3afta خويا العزيز محبة مني لك اتمنى ان لا تخوض في امور القران مثل ما تخوض في امور الدنيا واسمع ما هو انفع لنا و لك اولا عندما ذكر الله سبحانه ابي لهب بهذا اللقب لان اسمه الحقيقي كان عبد العزى و ما كان الله سبحانه ان يذكر احدا لعبد احد غيره والا فسيكون اعتراف الاهي بان هناك الاه غيره,normal,normal,normal,normal
94813430,@username ههههههههههههههه خويا لعزيز راه كنهضرو على داك ......خويا عبد الله انت ❤❤,normal,normal,normal,normal
1026911010043690000,عبد العزيز الرايس ومن على شاكلته هم الصيحة الجديدة من الراسبوتينية او ما يسمى بالشيطان المقدس ماذا يريد هوءلاء هل يريدون حدوث ردة جماعية عن الدين لكونه مجرد مخدر وعاءق امام الشعوب في التحرر والعدالة وسيادة القانون على الحاكم قبل المحكوم لانه في الطليعة ويمثل اسوة للجميع,normal,normal,normal,normal
