text_id,text,annotator_1,annotator_2,annotator_3,label
tir_text_52,ዒድ ሸዋል፡ ዩኔስኮ ዝመዝገቦ ህዝባዊ በዓል ሓሪሪ እንታይ እዩ?,[],[],[],[]
tir_text_3666,ሸዓቢያ ንምጥፋእ ኣብ ዝግበር ወፍሪ ህዝቢ ኤርትራ ዘይህሰየሉን ግዳይ ዘይኾነሉን ሜላ ምፍሓስ ድማ ዓብይ ጥበብን ብልሒን ይሓትት። ብልሒን ጥበብን ድማ ምስ መራሕቲ ህወሓት ጓኖት እዮ,[],"['disgust', 'fear']",['disgust'],['disgust']
tir_text_1553,ዝገርም ሓሳብ ጆቤ ብትክክል ስብሓት ምልክት ፅንዓት ሕወሓትን ህዝቢ ትግራይን እዮም ኣያታትና እንዳክበርና ዘክብር ስራሕ ክንሰርሕ ይግባእ እዝይ ,"['joy', 'surprise']",['joy'],"['joy', 'surprise']","['joy', 'surprise']"
tir_text_647,ርሑስ ኣውድኣመት ይግበረልሉም ካብ ሃውኩም ኤርትራዊ ሰላም ይኩነልና,[],['joy'],['joy'],['joy']
tir_text_5328,ልብኻ ብሓጎስ ዝመልእ ቃለ መሕተት ምስ ስነ ጥበባዊ ተስፋይ ወዮሃንስ (ሓው ስነጥበባዊ ገጻዲቕ ወዮሃንስ) via ,['joy'],['joy'],['joy'],['joy']
tir_text_1941,ሃለውለው መጨበቲ ደይብሉ ኣክሱም ዶ ግዛእ ዶ  በቃ ኣጋመ ምትላል ኮይና ኣለም ደንቆሮ ንደንቆሮ ተኣኪቦም ኣውኡ  ፎ,['disgust'],['disgust'],"['disgust', 'surprise']",['disgust']
tir_text_1590,ኩራዕ ኤርትራዊ ኣብ ዓለምተራእዩ ዘይፈልጥ ኣቀታትላ ኣሰራርቓ ንዓለም ዘርአኻ,"['disgust', 'surprise']",['surprise'],"['anger', 'surprise']",['surprise']
tir_text_4947,No more ምስንባድ ኣብቲ ግዜ ሰብ ጠቢሶም ቢንጀራ ዶ ብዳቦ ክብሉ ከለው ኣይወፀልክን ድዩ? ከመይ ኢልካ ነዚዖም ይሕዘነሎም? ሐዚ ስቅ ኢልካ ሓዊ ምስሓን እዩ,[],"['anger', 'disgust']","['anger', 'surprise']",['anger']
tir_text_3194,Richard Pankhurst ብዛዕባ ጥሜት ትግራይ (ብምኒሊክ ዝነበረ) ዝፀሓፎ እዩ ተዘኪሩኒ። እቶም ብሂወት ዝነበሩ ንሞት፣ እቶም ዝሞቱ ከዓ ንዝብኢ ይፅበዩ ነይሮም ዝብል።,['sadness'],[],['sadness'],['sadness']
tir_text_89,ስራቂታት ጉጅሌ ትግራይ  ድህሪ ንጎሖ ኣብ ላዕሊ መቃብር ህወሓት ክንደርፊና  ሞት ንኣድዋ ባዳታት ዓወት ናይ ጀጋኑ ሠራዊት ኢትዮጵያ እዩ ,['disgust'],['disgust'],['disgust'],['disgust']
