tweet_id,tweet,anno1,anno2,anno3,label
1456162034471653376,"Abiy Ahmad namitch hanga morma isaa irra kutanitti Ethiopia hin digamitu jedha ture, ama immoo enutu kophaa isa du’aa yoo du’aa tate hunduu walin duna malee jechuu jalqabe. Akka marqaa looli hin laafu jedha warri keena yoo makmaku. Abis is a criminal minded man, so must b removed",neutral,neutral,neutral,neutral
1446558257909272585,"JM… Hayyuun OROMOO RABBIIF SABA ISAA ABDATEE BIYYATTI GALE, RABBI UMRII ISAA HANGA KANA EEGEE JIRA! SABNI INNI ABDATEE BIYYATTI GALE EESSAA? Hanga yoomiitti ta’ee ilaalaa?",positive,neutral,positive,positive
1427673266945236999,Kana booda barri WBOn bosona keessa qofa dhukatee jiraatu xumurame. WBOn Amma Of ittisurraa gara diina haleelee barbadeessee lafa Oromiyaa bilisoomfachuutti cehee jira. https://t.co/XlxngkLJNz,neutral,neutral,neutral,neutral
1533727323396222976,"Haacaaluun Oromoofi Oromiyaaf qabsayee, Oromoofi Oromiyaaf wareegame! Nan Sobee nuun jedhe, osoo takkaa ofis saba isaas hin sobin dhugaa Oromoo cichee wareegame!!QABSAA'AAN NI KUFA, QABSOON ITTI FUFA!! https://t.co/cjHqeTxDLF",negative,neutral,negative,negative
1231568206642503682,Raagduun kanshee hin beektuu kan namaa raagdi.🙂 https://t.co/BXJdMAlgRF,positive,neutral,neutral,neutral
1607242966602764288,"Hubadhu ➬Addunyaa kana irraa humna guddaa kan qaban miidiyaalee dha.   Nama qulqulluu yakkamaa,  yakkamaa immoo qulqulluu taasisu danda'u. Sun humnandha .Sababin isaas sammuu hawaasa bala'aa to’atu waan ta’eef.dhugaa keenyaas addunyaattii himuun qabsoodhaa.",neutral,neutral,neutral,neutral
1551561310088855552,"Hojii nageenyaa, misoomaafi paartii walitti qindeessanii akkaataan itt hojjetamaa ture fooyyee qabaatus, bakka hundatti wal fakkaachuu dhabuu I/G Paartii Badhaadhinaa damee Oromiyaa obbo Fiqaaduu Tasammaa ibsan.",positive,neutral,neutral,neutral
1530222338083590144,Namoota tokko tokko gugguufuun (#Ashkarummaan) hidda dhiiga isaanii keessa waan jiru fakkaata. Ofitti amanamummaa Dhaba Humna isaanii dabarsanii kennuun alaqa ofirratti muudanii guggufuuf. Gorsis hin deebisu. Hundaan ol ammoo “NA WALIIN NAMA GABBARI” yoo jedhan dhiiga nama dhaabu,negative,positive,negative,negative
1533483502532018179,Haccee koo ati lubbudhan Addunyaa tana irraa deemtus yoomiyyuu Seenaan kee Onnee ummaata keeti keessa hin baduu💯!! https://t.co/O1hOdbre0c,positive,positive,positive,positive
1260123099955167232,@user @user Hin sodatin sabaa akka hin finne beyna itti futi nama jaalala#%&amp;,neutral,neutral,neutral,neutral
