text_id,text,annotator_1,annotator_2,annotator_3,annotator_4,label
emakhuwa_text_564_emotion_1,Cristiano Ronaldo oniphwanyaneya atholatholiwaka mwaha wa eretta ya Koronaviiru.,['sadness'],[],['disgust'],[],[]
emakhuwa_text_127_emotion_1,Anookhwa amwiinnuwa mpakha 19 mwaha wa ekhotto OMusewu wa OTunis,['sadness'],['sadness'],['sadness'],['fear'],['sadness']
emakhuwa_text_429_emotion_1,Kuveernu wa elapo ya Mosampiiki oniphavela omurwaana patarooya ohikhumihaxa mwiixi.,['joy'],[],['joy'],[],['joy']
emakhuwa_text_1591_emotion_1,Mikhumelelo sa ephattu sinivira suulumiwaka Mmosampiikhi,[],[],[],[],[]
emakhuwa_text_327_emotion_1,"Iraawu : Ihukhumu siniphunya, ni musuruukhu awiirawu Omora",['sadness'],[],['sadness'],['suprise'],['sadness']
emakhuwa_text_1457_emotion_1,"Nlaka  na  Ankoola  faala  soo- ""Pilisa  khaarumeela nlamulo,  onivara  mitumereryo""-Osvaldo  Caholo",[],[],['anger'],['anger'],['anger']
emakhuwa_text_1189_emotion_1,"""Miyo Kinrowa owerya onweha Yali kaphiya mMosampikhi"", Fernanda Lobato",[],[],[],[],[]
emakhuwa_text_1781_emotion_1,Ankoola: Mapereso puliitiku anitthikela owananela okumi aya,[],[],['sadness'],['sadness'],['sadness']
emakhuwa_text_383_emotion_1,"Olaleyaka mireerelo sa oMatakaaxikare: Epooma ya ikonto enimoovya, soohiimwa sinthonya ottyawa wa muhooleli",['sadness'],['sadness'],['anger'],['suprise'],['sadness']
emakhuwa_text_208_emotion_1,"Atthu anli asyaa amuranve mwaaxiitthu a korona aapacerya ""okathi muulupale"" para manfurumeero ankolaano.",['sadness'],['sadness'],['fear'],[],['sadness']
emakhuwa_text_1003_emotion_1,CPLP muvaanelo wa atthu ootheene amweettakaseryo wa atthu,[],[],[],[],[]
