text_id,text,annotator_1,annotator_2,annotator_3,label
pidgin_text_5137_emotion_1,like today naaa i toke one sexy picture of myself but there was no boo to send it to las las na woman wey get brezz like me i send am toanty no even turn on na single i single i no kee person,"['disgust', 'sadness']",[],"['disgust', 'sadness']","['disgust', 'sadness']"
pidgin_text_5725_emotion_1,see how dem dey use utd play you go think say city na prime barcelona,['surprise'],['surprise'],['surprise'],['surprise']
pidgin_text_6029_emotion_1,una don start for dis app again ooo no be santorini again,"['disgust', 'surprise']",['surprise'],"['disgust', 'surprise']","['disgust', 'surprise']"
pidgin_text_5640_emotion_1,no dey slander my man pulliz,['disgust'],['sadness'],['disgust'],['disgust']
pidgin_text_2600_emotion_1,block him sef,['disgust'],"['anger', 'disgust']",['disgust'],['disgust']
pidgin_text_4094_emotion_1,thats exactly how yall say it the thing dey vex me i look nice ehennnn add other things to the you look nice eg baby oku nwa di okay youre looking gorgeous ahhhh ahnnn see babe etc,"['disgust', 'sadness']","['anger', 'sadness']","['anger', 'sadness']","['sadness', 'anger']"
pidgin_text_1187_emotion_1,meaning you b legendary for expo b dat na,['disgust'],"['disgust', 'surprise']","['disgust', 'surprise']","['disgust', 'surprise']"
pidgin_text_4455_emotion_1,the one i had that generated the malaria inside me im still battling with drip + injection currently maybe na god dey punish me sef god biko free me i wont do it again for the main time,"['fear', 'sadness']","['fear', 'sadness']","['fear', 'sadness']","['fear', 'sadness']"
pidgin_text_2289_emotion_1,like me wey don dey beg a girl on twitter for even dmdem say i no fine reach,['sadness'],['sadness'],"['disgust', 'sadness']",['sadness']
pidgin_text_5225_emotion_1,e pain me she even liked from why please,['sadness'],['sadness'],['sadness'],['sadness']
pidgin_text_3906_emotion_1,hearing any plane flying over and ill be hoping and praying its the one carrying my bag this people don turn me to mad person,"['anger', 'sadness']","['anger', 'sadness']","['disgust', 'fear', 'sadness']","['anger', 'sadness']"
pidgin_text_5067_emotion_1,even before jide pour san san inside all dem lagosians garri naso we dey see dem enter here like soldier ants,['disgust'],['disgust'],['disgust'],['disgust']
pidgin_text_1345_emotion_1,see wetin leaders of tomorrow dey chop ahtink youre seeing your mates not everytime akpụ for your son,['disgust'],"['anger', 'disgust', 'surprise']",['disgust'],['disgust']
pidgin_text_4394_emotion_1,we sha turn up if chance dey ooobut then plenty ppl sorry men in the comments section are not singu na knack dem dey find holy ghost ‍️‍️‍️,"['disgust', 'fear']",['disgust'],"['disgust', 'fear']","['disgust', 'fear']"
pidgin_text_3619_emotion_1,i fit even use my profit enter airplane go meet them wherever they are so far they are within nigeria,[],[],[],[]
