text_id,text,annotator_1,annotator_2,annotator_3,label
swahili_text_2271_emotion_1,Me nta Breed to ma 🐕  Na niishi kwa Amani,"['fear', 'sadness']",['disgust'],['fear'],['fear']
swahili_text_5444_emotion_1,Kuna siku hand held shower head karibu ifanye nitoke bafu na magoti 🥴🥴🥴  Those things are not to be trifled with 😭😭😭,"['fear', 'surprise']",['fear'],"['disgust', 'sadness']",['fear']
swahili_text_354_emotion_1,Mwanaume unataka mwanaume mwingine akubambe aje whatsapp sasa 😅,['anger'],['sadness'],['anger'],['anger']
swahili_text_2536_emotion_1,Huyo ndranya huuza mboi alaf bado ye ugonga kastama wake bei has guts to diss Eastleigh niggas,[],['anger'],[],[]
swahili_text_899_emotion_1,"@nice_euna and he had the guts kuniambia niharakishe leo ni friday,anatoka mapema.",['fear'],['sadness'],['anger'],[]
swahili_text_1239_emotion_1,"Sometimes nikiwa rock bottom hujipata Kwa some dark webs and one of them ni chaturbate, that site is the ghetto, unapata mmama ako na 1 viewer doing all sorts of Babylonian shit bana hahaha","['disgust', 'surprise']","['disgust', 'joy', 'sadness']",['disgust'],['disgust']
swahili_text_5196_emotion_1,"Its okay not to like someone apa Twitter for whatever reasons, lakini  kitu mbaya ni kumchocha bei ndio uingie DM akupee nyap.",[],['joy'],['disgust'],[]
swahili_text_362_emotion_1,Chebet pink is true definition of a beautiful twitter honey hawa wengine ni maji maji,['disgust'],['joy'],['joy'],['joy']
swahili_text_3287_emotion_1,@Milele_FM @EvaMwalili AMEN EVAH ASANTE KWA MAOMBI ALFAJIRI HII NJEMA #BarakaZaMilele,['joy'],['joy'],['joy'],['joy']
swahili_text_5454_emotion_1,"Hizi mashida ni mingi, wacha nipigie mzazi nimuombe pesa","['anger', 'sadness']",['sadness'],['sadness'],['sadness']
swahili_text_2185_emotion_1,Eo ni nini larry anafanya surely?  Dancing career down!!!,"['anger', 'disgust']","['joy', 'surprise']",['disgust'],['disgust']
swahili_text_2143_emotion_1,Niliambiwa nikinyoa nywele ni kama nitawachwa 😂😂😂😭😭,"['fear', 'sadness']",['joy'],['sadness'],['sadness']
swahili_text_3618_emotion_1,Naona watu wameanza kukosa adabu nakuongea vitu vyandani hadhari oh sijui nani hajatairiwa.haya hio yako tupigie picha utupostie tuakikishe. https://t.co/qMP9ux7JJa,['disgust'],['disgust'],['anger'],['disgust']
swahili_text_1497_emotion_1,@UncleEvra Niliingia kwa kennel na haipendi,['sadness'],['joy'],[],[]
swahili_text_4930_emotion_1,Woooi kesho ni iile siku bana Monday 5th Arsenal igongwe alafu Agwambo pia mahakama imgonge khaiiiiiiii 💔,[],"['joy', 'surprise']",['sadness'],[]
swahili_text_5222_emotion_1,"Yoh grammar nazis,mkishinda doh Elitebet hua  mnaikataa juu ya hiyo meso venye ii hukuja na grammar wrong?","['anger', 'disgust']",[],['surprise'],[]
swahili_text_1744_emotion_1,@nellieafc Tukiwa wengi hawaezi tuua zote if ni mega demo,[],[],['anger'],[]
swahili_text_3964_emotion_1,Mnapenda beer ama ni beer pressure?,['anger'],['surprise'],['surprise'],['surprise']
swahili_text_2064_emotion_1,Hii ni kali ati Raila odinga amepigania kiti hajawai kukaalia lakini yeye amemakalia this is genius 😂😂😂😂 https://t.co/Oi1gF17lPc,['joy'],['joy'],['joy'],['joy']
swahili_text_4686_emotion_1,Venye hizo siku zimeenda haraka aki bado sijaeelewa!,['surprise'],['joy'],['surprise'],['surprise']
swahili_text_4631_emotion_1,Fan wa arsenal hawezi pitia nje ya ufungamano hse,[],[],['joy'],[]
swahili_text_1980_emotion_1,"Daaamn it, uyu ameona akisaidia babake vita atweza, haha wamchapwa pamoja na babake 😂😂😂",['surprise'],['joy'],['joy'],['joy']
swahili_text_3017_emotion_1,Watu hamdate on valentine's day mtakuwa mnafanya nini niwacopy😉,['fear'],['joy'],['joy'],['joy']
swahili_text_5046_emotion_1,But Nairobi people have money bro. Ukisema huns pesa ni wewe pekee yako hahaha,[],['joy'],['joy'],['joy']
swahili_text_829_emotion_1,@Osama_otero Kuna Ford flani huwa inakongoa mahindi ni mzee hadi ilipoteza number plate,['anger'],['surprise'],[],[]
swahili_text_202_emotion_1,"Kanairo increasingly becoming so confusing, unapata dem mrembo kisha unaambiwa ni lesbian.",['disgust'],"['sadness', 'surprise']","['anger', 'sadness']",['sadness']
swahili_text_4663_emotion_1,Na kuna mtu tu mahali analala leo usiku vizuri halafu by end of tomorrow's demos inampata pabaya?,['sadness'],['joy'],['sadness'],['sadness']
swahili_text_3907_emotion_1,"Mwanaume ni ku-beep madem kama kumi at once alafu anakimbia ku-tweet  ""just called bae. She aint pickin up!""",['joy'],['surprise'],['fear'],[]
swahili_text_3050_emotion_1,@Makiadi_ Unakuanga na wisdom mingi sana,['surprise'],['joy'],[],[]
swahili_text_250_emotion_1,Juzi my neiba nilisikia nduru kwenda nikapata the guy is beating up the lady the man isn't working he stays in the house whole day when the woman comes apike afue afanye everything yet hatafuti job when the lady asked he started beating her he wanted to stub her she screamed https://t.co/f0mh1q6Csu,['sadness'],"['disgust', 'sadness']","['anger', 'sadness']",['sadness']
swahili_text_878_emotion_1,WOOOI I MIC KIBAKI NA MATUSI ZAKE,['disgust'],['disgust'],"['sadness', 'surprise']",['disgust']
swahili_text_2876_emotion_1,"Sasa hawa lady footballers, huwa wanacheza mechi time wananyesha kweli?",['surprise'],['disgust'],['surprise'],['surprise']
swahili_text_5423_emotion_1,"Kuna professor hukam inooro fm late nights, manze huyo msee hujifanya anajua kila kitu",['disgust'],['disgust'],['disgust'],['disgust']
swahili_text_2431_emotion_1,@SesomKenya @GiladMillo @Kiss100Kenya TENA SANA #TeamADELLE #KISS,[],[],[],[]
swahili_text_1507_emotion_1,"Unaniguza na boobs alafu unaniambia pole, nani amekwambia nimeumia?🧐 In fact niguze tena ndio nikusamehe 😅🤣",['disgust'],['joy'],"['joy', 'surprise']",['joy']
swahili_text_4688_emotion_1,@Jadytrix Wewe mwenye umecheza na madaktari wamefunga ngapi?,['disgust'],[],[],[]
swahili_text_2456_emotion_1,watu 50 wanifollow niwabariki,[],[],[],[]
swahili_text_618_emotion_1,Huwa najua mwezi ni ngumu nikiamka daily  kabla alarm haija go off at 7am lol,['disgust'],['sadness'],[],[]
swahili_text_4377_emotion_1,Kuna subaru nilikua nimelipia nusu jiji nikaambiana nirudishiwe dooh juu niko na shoe-baru zangu kejani https://t.co/cCCpGu6jHb,['joy'],['surprise'],['disgust'],[]
swahili_text_4316_emotion_1,"Kuna bigwig alinifollow nikamfollow...after one day akani unfollow nikam unfollow pia.... Leo ni kama amesahau akanifollow tena, anadhani mi ni mjinga,sichezi io game😂😂😂",['joy'],['surprise'],"['sadness', 'surprise']",['surprise']
swahili_text_677_emotion_1,Naskia fiti sana,['joy'],['joy'],['joy'],['joy']
swahili_text_1770_emotion_1,@Sam_Lulli Pole Sana,['sadness'],[],['sadness'],['sadness']
swahili_text_4463_emotion_1,Pro abortion gang niwa gani tena,['surprise'],"['fear', 'surprise']",['surprise'],['surprise']
swahili_text_5305_emotion_1,"Kusearch job huku Kenya imekua noma,beste yangu flani imebidii adye nywele grey kidogo ndio ikae ni kama ako na experience.","['sadness', 'surprise']",['joy'],[],[]
swahili_text_4771_emotion_1,"DAKTARI SHAFIK, HELPS IN, MAN POWER, LUCKY RING, WIN BETTING, KUPATA MTOTO, SIASA, KINGA ZA BOMA, MAPENZI, KESI KOTINI, DAKTARI SHAFIK, HELPS IN, MAN POWER, LUCKY RING, WIN BETTING, KUPATA MTOTO, SIASA, KINGA ZA BOMA, MAPENZI, KESI  9LUCKY RINGS ,ETC CALL +254700423361",[],[],[],[]
swahili_text_2662_emotion_1,Very good to read about 4 people rescued alive today #HurumaMiracle Asante sana to all those involved in the rescue efforts - I salute YOU,['joy'],[],['joy'],['joy']
swahili_text_3348_emotion_1,Spinstors ndio tuko in the streets tunatafta ni nini tutakula supper.,['anger'],['joy'],[],[]
swahili_text_729_emotion_1,Mmesema kaa dreadi za tweep ni short hio ni kwashiakoo ama?,['disgust'],['disgust'],['surprise'],['disgust']
swahili_text_3466_emotion_1,Lakini kuna watu hawana haya mna msee ufungue catfish🚮 tabia oza kapsaa,['disgust'],['surprise'],"['disgust', 'sadness']",['disgust']
swahili_text_5266_emotion_1,Ndio nimebuy panga ntakata nayo waba leo,[],['joy'],[],[]
swahili_text_4180_emotion_1,KumuOA DEM MLUHYA  NA UJAPANDA MAHINDI ACRE KUMI NI KUJITACKLE,['fear'],['surprise'],[],[]
swahili_text_3125_emotion_1,Mwanaume imebidii ajifunze kupika 😣😣 very sad state of affairs .my ancestors hope wanaelewa sio mapenzi yangu.,['anger'],['sadness'],['sadness'],['sadness']
swahili_text_3036_emotion_1,"btw I have never met a woman who doesn't enjoy cooking. Heh, hawa wa Twitter complaining about cooking 4 their men sijui ni wa sampuli gani",['disgust'],['surprise'],"['disgust', 'surprise']","['disgust', 'surprise']"
swahili_text_4793_emotion_1,"Wanaume siku moja waamke wavute watu kazi for all manner of sins past and current bana, if it is to end in fire then we should all die togeather.",['anger'],['anger'],['disgust'],['anger']
swahili_text_931_emotion_1,"But your first car mtu huwa mpumbavu Sana, I remember I used to go to the carwash everyday, siku hizi mimi hungojea mvua.",['disgust'],['anger'],['surprise'],[]
swahili_text_755_emotion_1,Ni mimi solo napenda ivar the boneless ama niko na shida... His intelligence is something else bana,['disgust'],['joy'],[],[]
swahili_text_4203_emotion_1,@GhettoRadio895 @MajimajiKenya @King_Kafu BIG UP KILA MTU AKO LOKT @GhettoRadio895 SAUTI YA MTAA.📻📻📻 #Brekko @MajimajiKenya @King_Kafu,[],['joy'],[],[]
swahili_text_1233_emotion_1,@254_icon @TrevyLord Vibaya sana,['sadness'],['sadness'],[],['sadness']
swahili_text_3217_emotion_1,Wale machief waliambiwa watarudisha hadi motorbike waanze kusiphon hiyo mafuta saa hizi😂😂😂,['fear'],['surprise'],"['disgust', 'surprise']",['surprise']
swahili_text_1235_emotion_1,Obama karibu kenya but ujue Nairobi ni ngori kuna alshaabab wezi polisi na Twitter hunnies hao chungana nao sana,['fear'],"['fear', 'joy']",[],['fear']
swahili_text_3109_emotion_1,HAHAHAHA mko na ufala sana,['joy'],['joy'],['joy'],['joy']
swahili_text_5080_emotion_1,Blocked AIRTEL... Sasa Waringe,[],[],[],[]
swahili_text_5500_emotion_1,Hawa madem wa mayolo ni warembo buana 😘😍🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪,[],['joy'],['joy'],['joy']
swahili_text_2570_emotion_1,Juzi nilikunywa keg flani imeekwa maji I have never been so disappointed in my life,['sadness'],['sadness'],"['anger', 'disgust']",['sadness']
swahili_text_4862_emotion_1,Better wake up tomorrow Morning With Drake's Respond!,[],[],[],[]
swahili_text_2352_emotion_1,Kudate neighbour ni shida...siwezi sahau day tulichoma makaa kwetu wakaniforce niende niulize kama wanaeza buy🤣Dark days then,['sadness'],['sadness'],['joy'],['sadness']
swahili_text_5483_emotion_1,@Belive_Kinuthia Mtu mungwana sana huyu jamaa wa barua,[],[],[],[]
swahili_text_5443_emotion_1,@radiomaisha @antondiema Asanti kwa Mungu #SafariNaNdiema,['joy'],[],['joy'],['joy']
