tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
443705418142208e3,gt aago kan,9.0,12,11,neutral,neutral,neutral,neutral
396234703629738e3,ikún ► squirrel ikùn ► stomach ìkún ► state of being fullto be filled ikun ► catarrh,9.0,12,11,neutral,neutral,neutral,neutral
890853930023964700,oruko mi ni emmanuel opeyemi omo oke a bi mi si ilu idogo ni ipinle ogun omoluabi nimi mo le ko mo sile ka lede yoruba,9.0,12,11,neutral,positive,positive,positive
267902564631207940,amin oh amin ase a dara fun wa omo iya mi a ye wa kale a o ki ara wa ku ori ire lose yi lase odumare,29,9,11.0,positive,positive,positive,positive
406760932250251260,iléilẹ̀ iléilẹ̀ = bungalow ní yorùbá a sì tún ń pe àkìtànaàtàn = dust bin ní léilẹ̀,9,12,11.0,neutral,neutral,neutral,neutral
1095379238734176300,orúkọ tí a ma ń pe ọba kétu ni alákétu ti ìlú kétu the title of the king of kétu is alákétu of kétu lagos state,9.0,12,11,neutral,neutral,neutral,neutral
1217113708796706800,ipa tí àmì ohùnún ń kó nínúu gbólóhùn yorùbá ní àkọ́kọ́ ẹni tó bá fẹ́ mọ àmì ohùn ọ̀rọ̀ èdèe yorùbá dájú ṣáká bí ọṣẹẹ́ gbọdọ̀ mọ àsìkò tí àyípadà máa ń dé sí ọ̀rọ̀ nínúu gbólóhùn,9.0,12,11,neutral,neutral,positive,neutral
722825495512002600,amósùn ń lu ìlù tó ga jù lágbàáyé lánàá níbi ìṣíde ní ìpínlẹ̀ ògùn,9,12,11.0,neutral,neutral,neutral,neutral
1059911953802559500,ẹ kú ajálẹ́ o,9,12.0,11,positive,neutral,positive,positive
890819007758172200,egun atiro wole eyan atiro boode tani o mo pe eyan atiro leegun atiro towole,9,12,11.0,negative,neutral,negative,negative
273039699558420480,kérésì ku ọjọ́ mọ́kàndínlọ́gbọ̀n ìpolówó ọjà náà ngbóná síi owó ọkọ̀ yìí ju owó ilé ẹlòmíràn lọ,9,12,11.0,neutral,neutral,neutral,neutral
347662536541364200,in yorùbá ìmàdóẹlẹ́dẹ̀ is pig ọ̀bùn paraku bíi ẹlẹ́dẹ̀ lọmọ yẹn that child is as dirty as a pig,9.0,12,11,negative,negative,neutral,negative
406849584611459100,gẹ̀ẹ́sì àti yorùbá díẹ̀ ni mo fi kọ ọ́ gẹ̀ẹ́sì pọ̀ nínúu búlọ́gùù mi girls of now a days ewì ọmọge ìwòyí,9,12,11.0,neutral,neutral,neutral,neutral
1258347799617429500,our ́milédè today the words examined in this video are ẹ̀gbẹ dried ẹgbẹ́ setgroupmates ẹ̀gbẹ́ others are ọkọ̀ vehicle iṣu yam ọjà market have questions tweet at us,9,12.0,11,neutral,neutral,neutral,neutral
856448192870854700,bẹ̀mbẹ̀ ní í bo orí gbogbo ìlù láyé n ó máa bo orí àwọn elénìní mo ti di igi àràbà mo yọ gbọgbọgbọ ju igi oko tó kù lọ,9,12,11.0,positive,positive,neutral,positive
1376503655038251e3,ìdáwọ́ dúró lóri gbígba abẹ́rẹ́ àjésára covid ní ilẹ̀ europe ohun tí a mọ̀ nípa rè nìyí,9,12.0,11,neutral,neutral,neutral,neutral
958758237259681800,kí a fún ẹlòmíràn láyè náà,9,12,11.0,neutral,positive,neutral,neutral
923177200467284e3,nígbà yẹn lọ́hùnún a kì í fi ogun kó ẹrú ènìyàn ẹrù ohun ìní ni a máa ń kó,9,12.0,11,neutral,negative,neutral,neutral
874161897540653e3,èkó mo pè ọ́ lẹ́ẹ̀mẹ́ta yára máa kó ire è mi bọ̀ máà kó mi níre lọ o nítorí mo ti fi omi òkun un rẹ wẹrí mo fi ọ̀sà rẹ ṣansẹ̀,9,12,11.0,positive,positive,positive,positive
438355006644035600,orí ní í ṣe ni tá à á dádé owó orí ní í ṣe ni tá à á tẹ̀pá ìlẹ̀kẹ̀ orí jọ̀wọ́ bá ṣe mi kí n ṣe kòńgẹ́ ire,29,9,11.0,positive,positive,positive,positive
451046768701366300,lọ́nà kejì ẹ̀wẹ̀ ìwà lẹ̀ṣọ́ èèyàn la ṣe tún pa òwe pé ìwà rere lẹ̀ṣọ́ ènìyàn ìwà ni ẹ̀ṣọ́ tí a kó lọ òde,29,9,11.0,positive,positive,neutral,positive
1180927943255711700,itansan can you please put the tonal mark on it so we can understand better the word ẹ jọ̀wọ́ ṣé ẹ lè fi àmì sórí ọ̀rọ̀ náà kí ó báà lè yé ẹni,9,12,11.0,positive,neutral,neutral,neutral
834036172930191400,ẹyẹ ń bá ẹyẹ sọ̀rọ̀ o ti gbọ́ tí wọ́n á sọ pé kí ẹyẹ ó ké bí ẹyẹ kí ọmọ ènìyàn fọhùn bí ènìyàn,9,12,11.0,positive,neutral,neutral,neutral
515557733903650800,se owo re ni o fi see ni sebi owo gbogbo wa ni naijiriya ni,29,9.0,11,positive,neutral,neutral,neutral
920080412508082200,egbe nlc osun ko leta si aregbesola ni olori awon osise ijoba ba kowe,9,12,11.0,neutral,neutral,neutral,neutral
999697323088281600,ká ríni sọ̀rọ̀ fúnni ò dàbíi ká sọ̀rọ̀ fúnni ká gbà having people to advise one,9,12,11.0,neutral,positive,neutral,neutral
497105757717147650,baálé bàbáilé ni olórí ilé òhun laláṣẹ ilé ohunkóhun tó bá sọ ni abẹ́ gé torí ó jẹ́ olórí ni ọ̀wọ̀ ṣe tọ́ síi ńnú nílé,9,12.0,11,positive,neutral,neutral,neutral
890854101482963e3,gbogbo wa la mo pe ole ofon kiolohun kigbe ni omobirin deziani sugbon ko sese ko ji owo to to $bn in ill naigiria,9,12.0,11,negative,negative,neutral,negative
732820966510858200,ẹyẹlé ò gbó àdàbà ò gbó yíyẹ ni yóò yẹ wá kalẹ̀ a óò ṣì máa bẹ bí ẹ̀bẹ a ó di ògbó ojúmọ́ ire ire tabua ni mo jí rí ní tèmi,29,9.0,11,positive,positive,positive,positive
