text_id,text,annotator_1,annotator_2,annotator_3,label
isixhosa_text_797_emotion_1,Isikhuni esivuthayo sibuya ngomkhwezeli. | EC Indab,['sadness'],[],[],[]
isixhosa_text_1518_emotion_1,Kukhangelwa indoda edlwengule eGcuwa,['sadness'],['surprise'],['sadness'],['sadness']
isixhosa_text_1834_emotion_1,IProteas iqhokrwe kukonzakala kwabadlali,['sadness'],['sadness'],['sadness'],['sadness']
isixhosa_text_888_emotion_1,"Indoda eyabulala ibhinqa elithandana namanye, izakugwetyelwa ityala lentiyo","['joy', 'sadness']",['sadness'],['sadness'],['sadness']
isixhosa_text_1934_emotion_1,Iyabekwa iNkosikazi yamaNgqusi egetyengiweyo!,['sadness'],['sadness'],['sadness'],['sadness']
isixhosa_text_1040_emotion_1,Zibe nefuthe elincumisayo iziphumo zogcino,['joy'],['joy'],['joy'],['joy']
isixhosa_text_1086_emotion_1,UMultiChoice uza kwakha iziko lemidlalo eLusikisiki,['joy'],['joy'],['joy'],['joy']
isixhosa_text_64_emotion_1,AbeSciFest Africa baqubula imbalela,['joy'],['joy'],['joy'],['joy']
isixhosa_text_1654_emotion_1,UJose Riveiro uvuyela iPirates ebuyela kwiChampions League,['joy'],['joy'],['joy'],['joy']
isixhosa_text_808_emotion_1,Ufuna ilungu lobudoda lomntwana wakhe,['sadness'],['sadness'],['anger'],['sadness']
isixhosa_text_882_emotion_1,Obelala esamenteni uncedwe ngamapolisa,['joy'],"['joy', 'sadness']",['joy'],['joy']
isixhosa_text_53_emotion_1,INkulumbuso entsha kwisizwe sakwaZulu,[],['joy'],['joy'],['joy']
isixhosa_text_1049_emotion_1,Luninzi unyundululu olwenzeka kuloMaspala waseAmathole. | EC Indab,['sadness'],['disgust'],"['disgust', 'surprise']",['disgust']
isixhosa_text_1663_emotion_1,Banqunyanyisiwe ootitshala ekuthiwa bazuma abafundi!,"['joy', 'sadness']",['surprise'],"['sadness', 'surprise']","['sadness', 'surprise']"
isixhosa_text_842_emotion_1,Kufuniswa ngezihlobo zendoda eyabhubha kwinyanga ephelileyo,['sadness'],['sadness'],['sadness'],['sadness']
isixhosa_text_1184_emotion_1,Kufuniswa ngababulele benxibe ezamapolisa,"['sadness', 'surprise']",['surprise'],['surprise'],['surprise']
isixhosa_text_385_emotion_1,Sipho Tanana 1932 - 2020,['sadness'],[],[],[]
isixhosa_text_1968_emotion_1,Kuqhweshe ibanjwa enkundleni eCumakala!,['sadness'],['surprise'],['surprise'],['surprise']
isixhosa_text_1378_emotion_1,‘Bendifuna ukumbulala unyana wam’,['sadness'],['anger'],['anger'],['anger']
isixhosa_text_416_emotion_1,UNeyi Zimu ukhuthaza ukuzithemba nokuzimela ngengoma,['joy'],['joy'],['joy'],['joy']
isixhosa_text_625_emotion_1,Kugawulwa ihlathi elizimela amasela aseNgcobo,['joy'],['joy'],['joy'],['joy']
isixhosa_text_467_emotion_1,UCelintondikwenzele umke nemali kwiBerlin November,['joy'],[],['joy'],['joy']
isixhosa_text_1255_emotion_1,WSU: Ubetha ebuyelela enkundleni umfundi wezigidi!,['sadness'],['surprise'],"['sadness', 'surprise']","['sadness', 'surprise']"
isixhosa_text_301_emotion_1,Amatsatsantsa akhe phantsi isitya sigcwele kwakhona kwiMamelodi Sundowns,['sadness'],['sadness'],['joy'],['sadness']
isixhosa_text_1054_emotion_1,Ucela uncedo umfana wasePort Alfred,['sadness'],['sadness'],['sadness'],['sadness']
isixhosa_text_187_emotion_1,Batshe bangqungqa abantwana(3) ngethuba belele kwityotyombe eNew Brighton eGqeberha namhlanje. | EC Indab,['sadness'],['sadness'],['sadness'],['sadness']
isixhosa_text_1511_emotion_1,Kubanjwe owasetyhini nenkitha yeziyobisi,['sadness'],['surprise'],['surprise'],['surprise']
isixhosa_text_1080_emotion_1,Isigwebo kowadlwengula amantombazanana awayecela iR2,"['joy', 'sadness']",['sadness'],['sadness'],['sadness']
isixhosa_text_1922_emotion_1,Mawanikwe ithuba amanina kwiifama zebhanana,[],[],['anger'],[]
isixhosa_text_1023_emotion_1,Ibuyile iMzantsi Super League!,['joy'],['joy'],['joy'],['joy']
isixhosa_text_288_emotion_1,Umdlali weKaizer Chiefs unomnqweno wokudlalela iBafana Bafana!,['joy'],[],['joy'],['joy']
isixhosa_text_823_emotion_1,Utyholwa ngokulenca ilungu langasese lomntwana,"['disgust', 'sadness']",['surprise'],"['sadness', 'surprise']","['sadness', 'surprise']"
isixhosa_text_303_emotion_1,Xa luyintoni ulwaluko sele bambi becinga ngeemveku ezisesefukwini nje?,['sadness'],['fear'],['anger'],[]
isixhosa_text_692_emotion_1,"“UBobby Motaung usisigidimi seChiefs, izigqibo azithathwa nguye”",[],['surprise'],['anger'],[]
isixhosa_text_329_emotion_1,Uphelekwa ligqiza labaphathiswa eNamibia uRamaphosa,['joy'],['joy'],['joy'],['joy']
isixhosa_text_497_emotion_1,UMolefi Ntseki ucela uluntu luxhase aBafana Bafana phambi komdlalo weMandela Challenge,['joy'],[],['joy'],['joy']
isixhosa_text_209_emotion_1,Basanqunyanyisiwe ootishala abazuma abafundi!,['sadness'],['anger'],"['sadness', 'surprise']",['sadness']
isixhosa_text_32_emotion_1,Uhlonitshwe ngembasa uGqr. Noxolo Grootboom,['joy'],['joy'],['joy'],['joy']
isixhosa_text_318_emotion_1,Khusela umzi wakho kulwaphulo mthetho,[],['fear'],[],[]
isixhosa_text_1346_emotion_1,INtshona Koloni ingaphumelela kwii-Idols zalo nyaka,['joy'],['joy'],['joy'],['joy']
isixhosa_text_1311_emotion_1,Uzakugwetywa alahlelwe kwezimnyama izisele uYibanathi ngokubulala umkakhe. | EC Indab,['joy'],['surprise'],"['sadness', 'surprise']",['surprise']
isixhosa_text_1410_emotion_1,ISinethemba Foundation izisa ithemba kwabangenalo,['joy'],['joy'],['joy'],['joy']
