id,tweet,anno1,anno2,anno3,label
1087945647616151552,z'khipha ngezi mfene ezola? ##url,normal,normal,normal,normal
1327006767075766276,@username uzokhipha ivideo ksasa  • isiingo • utsotsi,normal,normal,normal,normal
777211607751548928,lutho! mhlampe impimpi nje futhi... ##url,normal,normal,normal,normal
1206459589425815552,inkinga ngasuka ngaxolela ixoki ##url,normal,normal,normal,normal
1056986334416519169,"andizi, ixoxo nexoxo umazigxumele 🤷🏾‍♂️ ##url",normal,normal,normal,normal
1012659899640229888,inkawu idlala ngesikhwebu 😂😂😂 ##url,normal,normal,normal,normal
709977880843960321,"@username umntu andifonele ngoonyezi athi ""ndenza ntoni"", ndivele ndithi ndixela ihagu, ayisecace ndikobude ubuthongo ngelo xesha.",normal,normal,normal,normal
691987924037017600,"@username kunjalo mfene🐵emhlophe ethakatha emini,ezinye zihambahamba ebsuku @username i stil believe in ❤ @username #usomatekisi",normal,abuse,normal,normal
1125130219390689280,uthwele kanzima 😢😢😢 ##url,normal,normal,normal,normal
1448265465193717763,"mdali 🕯🕯 🕯 nami ngithole ozongibamba kanjena nje, noma angaba umnyamana kulungile ##url",hate,normal,hate,hate
1127346397269975040,"onomthina kwedini, izinto ezikhabela ezipalini very fast... 🤣🤣🤣🤣🤣 ##url",abuse,normal,abuse,abuse
88949819,"@username mabohlukane negamalika madiba mabaqale balungise ikhayelitsha ekapa,basazimisele ukusebenzisa inkawu emva kokubandlulula abamnyam",hate,hate,normal,hate
88950169,"@username iqaba wena mfowethu ligama elalisetyenziswa ukubiza abantu abangafundanga, nababe ngaguqukelanga kwinkolo yobu kristu. intsusa ke yeligama : ababantu babeqaba imbola, babesohlulwa kanjalo kubantu abafundileyo abaguqukele kwinkolo yobukristu. eligama xaliphelele “iqabimbola.",normal,normal,normal,normal
1216631447831896065,taima lakho utsotsi ngempela ##url,abuse,normal,normal,normal
1310629656010391557,"""hlampe ngimazi ngokumbona""  kusho ixoki selifuna uqhubeke nendaba. 🤣😂 ##url",normal,abuse,normal,normal
1120490950432894978,osogqiba kungene utsotsi. uzolwa njani 😐 pipe dangling outchea,normal,normal,normal,normal
520700491488313344,ootsotsi bakhe baqhekeza bekhona abantu at a house in my street.,normal,normal,normal,normal
1147335421132754946,@username isela lisela noba libentoni 😂,normal,normal,normal,normal
1125486834434367488,yoh uyayinxila ibhentse unoli,abuse,abuse,abuse,abuse
1098581874895663104,"xhosa parents deserve an award,kaloku akukho lula ukhulisa imenemene. ##url",abuse,normal,normal,normal
1615692131812708352,niyayiqonda ihagu itenwa amasende ? 😭😭😭,normal,abuse,normal,normal
522515759969210369,uphumile uhili ezingcongolweni!!!,normal,normal,normal,normal
1535856888553820160,@username nidakiwe buphi ubufakazi mgodoyi ##url,abuse,abuse,abuse,abuse
