id,tweet,anno1,anno2,anno3,anno4,label
(1639302839813001217,እናት ቤቴክርስቲያን የማፈራረስ አጀንዳቸውን አይቀይሩም ይሰመርበት አሁን ወያኔ እና ኦህዴድ ኦነጋዊያን አብረው የሚሠሩት ሴራ መሆኑ መዘንጋት የለብንም ፖለቲከኞች ከእናት ቤተክርስቲያን,hate,hate,hate,hate,hate
1490986675903909891,#ፍትህለአፍር #ፍትህለአማራአማራዬ አሁንም #ተደግሶልሀል ከሁለት ቀን በሗላ ወረራ እንዴሚፈፀም ተነግሯል እራስህን አጥብቀህ አዴራጅ አላህ ከዚህ መከራ ያውጣን ድል ለ???? ውርዴት ለህውሀት,normal,hate,hate,hate,hate
1606567078793814017,የንጹሀን ደም ባህር። በየትም ዓለም እንዲህ አልሆነም። መንግሥት ቢጨክን ህዝብ አይጨክንም የትም።???? በቻልከው ጊዜ ሳታቅማማ ተሰብሰብ። ሁለተኛም አውሬ መሀል መኖር አትከጅል።,hate,hate,hate,hate,hate
(1490982968076435466,አማራ ለመዳን ጀግና ያስፋልገዎል አቶ ተፈራ ደምሴ #StopAmharaGenocide ??,normal,normal,normal,normal,normal
1604745989398700032,አንተ ኦነግ ነህ ባሉኝ ቁጥር እኔ ኦነግ እየሆንኩ እሄዳለሁያለው ማን ነበር ?,hate,normal,normal,normal,normal
1635004479371382784,@USER አሁን እኔ እና ሀና ምን ግምባር አለን እሺ ???,normal,normal,normal,normal,normal
1562321567798808577,@USER ከአንተም በላይ ጅል? ለአንተ አይነቶች የተስጠ የማረግ ስም::,abuse,abuse,abuse,abuse,abuse
1491316336366350336,@USER አንቺ ያራጅ ዘር ምነዉ አፈርሽ እንዴ? ?? ምርጥ ኦሮሞ ነኝ ስትይ አልነበረም አጨቅጭቂን ዘመዶችሽ ተይቂ @USER @USER አስመሳይ ነሽ,abuse,abuse,hate,hate,abuse
1532346175139074050,@USER ናቲ እሱ ምን ብልዋቸው የሚለውን ማሰብ ከመፍረድ አቀዋለሁ ነገረኛ ሰው በሱ ልክ አልተሰራም ሰይጣን እራሱ ይቀናበታል,abuse,abuse,abuse,abuse,abuse
1499978278333038597,ትክክል ነህ የገለፅከው ሁሉ የሰው ባህል ነው! እናንተ ግን የዘመኑ አውሬ ናችሁ !ሰው አርዳችሁ የምትበሉ !ደም የምትጠጡ! ወንዱን ሰልባችሁ ግንባራችሁ ላይ የምትለጥፍ! ጡት የምትቆር,abuse,hate,hate,hate,hate
1536784919330013184,@USER የወያኔ የ50 ዓመታት ስራው ሲደመር ውጤቱ ሌባና ቀማኛ ትግሬ ትውልድ መፍጠሩ ነው።,hate,hate,hate,hate,hate
1581917599226802176,@USER ማንን ነዉ ንፁሃን የምትለዉ? እነ ፃድቃን እና ምግበይ ያሉትን የሞት ነጋዴዎች ነዉ። ኩርፋድ!,abuse,abuse,hate,abuse,abuse
1655275686976684034,@USER ዶክትሬትህን በግግምና ነው እንዴ ያገኘኸው? ወይስ የናንተ ኢትዮጵያ ሌላ ናት,abuse,abuse,hate,abuse,abuse
(1492780788311629825,አዲስ አበቤ ዲቃላ አይደለም። #Ethiopia,normal,normal,normal,normal,normal
1569599982742691843,@USER ስማ አንተ ጅል ጁንታው ካለ ውሸት ሌላ ምንም አያውቅም እድሜ ልኩን ውሸታሞች ። ድሮኗ እንደናንተ እውር አይደለችም ። ድሮኗ ታርጌቷን ታውቃለች,hate,hate,hate,hate,hate
1496564831008309252,@USER 1.የኦነግ ጨፍጫፊ ጦር ህዝባዊ መሠረት አለው: አይነካም 2.ህወሃት ህዝባዊ መሰረት እንዳለው ነግሬያችሁለሁ 3.ስለዚህ ኢትዮጵያ ፈርሳለች 4.እኔ አንዳንድ,hate,hate,hate,hate,hate
1633950261826691072,@USER በወሬ ሳይሆን በተግባር አሳዩን! በክልሉም ሆነ ከክልሉ ውጭ ላሉ አማራ ብሔር ዘር ተኮር ግድያ እና መፈናቀል በግንባር ቀደምትነት ትልቁን ድርሻ የምትወስዱት እናንተው ካድሬዎች ናችሁ,normal,hate,hate,hate,hate
1613116892742303744,@USER @USER አንተ ደነዝ ነህ ።በቃ ደራርቱ ሀገርም ናት እናትም ነች ። በጀግና አይቀናም ።,abuse,abuse,abuse,abuse,abuse
1653840756711256065,@USER @USER በሳል የፖለቲካ ጥያቄ መሆኑ ነው?አሁን በኢትዮጵያ በየትም ቦታ የሚኖር ገጠሬ የሰጠሁህን መልስልኝ፣ሌላም ጨምረህ ስጠኝ፣ ስላንተ አያገባኝም,normal,abuse,abuse,abuse,abuse
1498606936639606785,አህያው ጋላ ይችን ነበር የሚፈልገው,hate,hate,hate,hate,hate
1488075316891463681,@USER አማራ አህያ እያሉ የሚሳደቡት ለምን እንደህነ አሁን ገባኝ እናንተን እያዩ ነው ለካ:: ሌላው የሌለዉን ጀግንነት ሲያወራ ይውላል በአዴኞች ደግሞ ሞተው ያሳዩንን ጀግኖ,hate,hate,hate,hate,hate
1563611757741936642,አፋር በአፋር ክልል በዞን.4 ግምባር #የፎኪሳን ተራሮች ለመቆጣጠር መሽጎ የነበረውን የጠላት ሃይል በመከላከያ ሰራዊት በአፋር ልዩሃይልና ህዝባዊ ሰራዊት በጋራ ከምሽቱ 1:00 ሰአ,normal,normal,normal,normal,normal
1480350210865905665,@USER የመቃብራቸው ቦታስ አዘጋጅታችኃል? ስንት ሺህ ጀግኖችን ያለምክኒያት አስጨፍጭፈህ ስታበቃ በስማቸው ህንፃ ማስገባት ምን አይነት ስላቅ ምን አይነት ንቀት ነው?,abuse,abuse,abuse,hate,abuse
(1615442914800455680,@USER አዎ የአማራው ተስፋፊ የትግራዩን ለፍላፊ አንደበት ሳይዘጋ ትግሉን አያቆምም።,hate,hate,hate,hate,hate
1498350218898776064,@USER ታዲያ አብይ የተባለ እከክ ተሸክመን ብአዴን የተባለ ውሻ እያሉ በየት በኩል።,abuse,abuse,hate,hate,abuse
1482692520341807116,@USER እኔ ደሞ እሚታያኝ ፥ ልክ እንደ ድመት የወለደችአቸውን እውነተኛ ልጆችአን የምትበላ አሮጌ ፣ጨካኝ እናት ሆና ነው።,normal,abuse,hate,hate,hate
1487695520109776896,@USER ደንቆሮ ፖሊሥ ደናቁርት አስተሳሰብ ተረኛነት,abuse,abuse,hate,hate,abuse
1483901900084887553,@USER እረ ምን ነው ጎንደር ኣህጉራዊ ድንበር መሻገር ጉዳዩ ሳይፈታ ያንቺ ሰሜናዊ ምድር ከመወጋገዝ መተጋገዝ ይበልጥ ነበር። #Eritrea,normal,normal,hate,hate,normal
1607441606201810945,@USER ደስ ይላል!! ለዘላቂነቱ ሁላችንም እንትጋ፣ለሁለቱም ወገን ተደራዳሪዎች ክብር ኣድናቆታችንና ትብብራችን ኣይለያቸው፣,normal,normal,normal,normal,normal
1667918454827917312,ኦነግ ሸኔ(ኦነግ)፣ህወሐት ና ሌሎችም ከናንተ ብላይ የአማራ ጠላት አይደሉም!!!,hate,hate,hate,hate,hate
1490578238652956673,@USER እንዳንተ አይነት አረቄያም ውሻ ሀገር ለመምራት ሳይሆን የተፈጠረው በእየ አረቄ ቤት ልጋግክን ሰታዝረከርክ ደሞ ሰለሀገር ታወራለክ አንተ ውሻ ሶርያ እኮ በአሁን ሰአት ተረጋግታ ነው ያለችው አንተን ብሎ መሪ,abuse,abuse,abuse,abuse,abuse
1634236239673999372,@USER @USER እውነቱን ነው። እሱን የቀጠረው ጠቅላይ ሚንስትር በ JD ካልሰጠውና ውጤት ተኮር ግምገማ በማድረግ በጥፋቱ ተገቢውን ግሣፄ ካላገኘ ለማን ብሎ። ደመወዝ,normal,normal,abuse,normal,normal
1490571664228339712,@USER @USER በትክክል ገልፀውታል አቶ አብራር።ግልፁን ካልተነጋገርን መሸፋፈኑ አይበጀንም።ልባችን እያወቀ መሸነጋገሉ ለማንም አይጠቅምም እንደ ኦነጐች ኋ,normal,hate,hate,hate,hate
1490601763715653634,@USER የፖለቲካ ቁማር መጫወትሽን አቁሚ! የተዋህዶ ልጆች የፖለቲካ ሴራ ነው አባቶቸን የመከፋፈል ቁማር። በክብር ተጠርታ እንደሌባ በጓሮ በር መግባት ለምን ፈለግሽ?,abuse,hate,hate,hate,hate
1540804407285100546,@USER የማይቆጨን ነገር ወያኔ እስክንባል ድረስ ስንጮህ ነበር:: መቼ ሀሳባችንን እንደቀየርን ግልፅ ነው:: ጥጋብ ልባቸውን ንፍት አርጎት ደም እንባ ያስለቀሱን ጊዜ እና አማ,hate,hate,hate,hate,hate
1488095364884353024,@USER @USER ደደም ፋኖ መቸም ጥላቱን ሣይደፋ ወደቤቱም ሆነ ወደ መግስት አይገባም,abuse,hate,hate,hate,hate
1501991745260773385,ይህ ነገር በጣም መጠቀቅ ያሥፈልጋል ማን አፈናቃይ ማን ተፈናቃይ ድብቅ ሴራ.የህዋት,hate,hate,normal,hate,hate
(1652397932925050881,ይሄን በሬ ከቲወተሩም ከፌቡም ከዩቲቡም ከቴሌግራሙም unfollow እና unsubscribe እናድርግ እና እናፅዳው። ወደ ስራ በሉ !!,abuse,abuse,abuse,abuse,abuse
(1598732002089259009,መንግስት ሆይ . በእንትና ጠባሳ ካልተማርክ እና ዜጎችን ያለውዴታቸው የማይፈልጉትን ነገር አድርጉ ብለህ ማስገደድ ካላቆምክ ጊዜ ደጉ አንተም ላይ ይዘምታል!,normal,hate,normal,hate,hate
1511169180783067141,ቀላል የማይባሉ ወገኖቻችን አሜሪካንን አንችላትም ያለችውን እንቀበል እያሉ ነው! የተፈለገውም ይሄኮ ነው! ተስፋ እንድንቆርጥ! እጃችን ላይ ግን መፍትሄው አለ እሱም #አንድነት,normal,normal,normal,normal,normal
1518596327109709824,ይህ ንፍጣም-ነፍጠኛ በወሎ ጀግኖች እንድህ አልጋ ላይ አንጥፈውታል.ጉራውም ቀረርቶውም ኦሮሞ ላይ አይሠራም??,hate,abuse,hate,hate,hate
1495136989187874817,@USER ብልፅግና መበተን አለበት ለኦዴፓ አመራሮች ብቻ መጠቀሚያ እንዲሆን በሴራ የተዋቀረ ፖርቲ ነዉ። ዉሸት ነዉ ወሬብቻ ናቸዉ።ሃቁ ይሄነዉ,hate,hate,hate,hate,hate
1641892883581095944,@USER አማራን ተቀምጦ የሚኖር አደረጋችሁት እኮ::ሁል ግዜ ተነስ ተነስ:: ተነስቶስ ? አረ ሼም የሚባል ነገር አለ::,normal,hate,hate,hate,hate
1630423176470581248,@USER በአጠቃላይ ብሔርተኝነት ጥንብ ነው::,normal,normal,normal,normal,normal
1516148898846412805,@USER ወይኔ ወገኖቼ! አሁን ከዚህ በኋላ ኢትዮጵያዊ ናችሁ ቢባሉ በምን ሞራል ይቀበላሉ? ለሆዳም ፖለቲከኞች ሲባል ስንት መስዕዋት እየተከፈለ ይኖራል! አብይ አህመድ እ,hate,hate,normal,hate,hate
1505657386802966533,. ከጥቂት ወራት በፊት የአሜርካዋ አምበሳደር ቤ/ክህነት ድረስ ሄዳ ካስፈለገህ ጥበቃ ለናደርግልህ እንችላልንና ነገረን ያለችው ጊዜ ነበር፤ ያኔ የመንፍስ ልጆቹ ወያኔዎች ተንጠባ,normal,normal,hate,hate,hate
1495100380065189890,አቡነ ማቲያስ ከ30 አመት በፊት በወቅቱ የኢትዮጵያ ፓትርያርክ ስለነበሩት አቡነ ተክለሃይማኖት ጫካ ውስጥ በነበረው የወያኔ ራዲዮ ጣቢያ ተናገረውን ለማዳመጥ ከታች ያለውን ሊንክ ይጫኑ፦,normal,normal,abuse,hate,normal
1523213576537784320,በወልቃይት የአማራ ልዩሀይልና ፋኖ እዲወጣ መንግስት አዘዘ ሲል የወልቃይ ግፉአን አስታወቀ,hate,normal,hate,hate,hate
