tweet_id,tweet,anno1,anno2,anno3,label
1510528052278747138,@user @user ትግራዋይ ብ ናይ ሰብ ጽቡቅ ዝሕጎሰላ መዓልቲስ ኣላ ዶ ትኸውን ኩሉ ግዜ ተንኮል ሕስድናን ጥራይ ነሕዋትኩም ሓሳዳት ን ጎረቤትኩም ሓሳዳት,negative,negative,negative,negative
1525812711879282688,@user @user @user @user ሓቂ ክናገር ዳርጋ መብዛሕቲኤን እዘን ኣብዚ ግጥሚ ዘለዋ ቃላት ሕውዝውዝ እየን ኢለናኒ።????,neutral,neutral,neutral,neutral
1554152861034057728,@user @user ንስኻትኩም ኣብ ምቾት ኾይንኩም ኽትሰምዕዎ ዝደለኹም በሎ በሎ ሰለ ዘይበለ ኣይትሎቅሉቁ ሓሰውቲ ። ንሱ ዘይከም ኸምቶም ዋጦት ናይ ሕዉሓት,negative,negative,negative,negative
1557010496913539077,@user snapchatኸ መን እዩ : ኣነ ልፈልጦ ደስታ ፎቶ ቤት ጥራይ እዩ??,neutral,neutral,neutral,neutral
1482845995545370626,ፀላኢ ካብ ዝዕምፀኒ ዓረር ፀላኢ ይቅተለኒ ጭርሖ ዋዕሮታት ሰራዊት ትግራይ ሓዳርና ድሕሪ ሓራ ትግራይ ጭርሖ ሰብ ቃልኪዳን ህዝበይ ወፅዓ ዘሐርነካ??,neutral,neutral,negative,negative
1524880390502027265,ቋንቋናን ባህልናን ንሕና እንተክቢርናዮ ጥራሕ እዩ ዓለም ከኽብረልናን ዝኽእል። ስለዚ ኣብ ኩሉ መደያዊ ምንቅስቓሳትና ትግርኛ ንጠቐም! ቅድሚ ሐዚ ቋንቋና ኣብ ምጥቃም ዝነበረና ድኽመት ኣብ ታሪኽ ከይድገም ክንፅዕር ኣለና።,positive,positive,positive,positive
1539149550736199681,@user ምናልባት ከም ጃፓናዊ፡ ቻይናዊ፡ ኮርያዊ፡ ሂንዱ፡ ዓረብኛን ካልእን ኣጸጋሚ ኣይኮነን። ??,positive,positive,positive,positive
1501693543915692039,@user @user እሞ ዓዳ እንዶ ግደፈላ ኣንታ ሓወይ! ነዓ ኣብ ዓድኻ ኮንካ ስበኽ,negative,neutral,neutral,neutral
1531494839744724992,ግጥሚ ቢሓው ተሸመ ፣ዓላማ መደብ ዩቱብ ቻነልና ንመጻኢ ቡሩህ ተስፋ ሃገራውነት ምስናቕ እዩ!! via @user,positive,positive,positive,positive
1564339890841878528,እቲ ናይ ደገ ሓይሊ እውን ከምኡ፡፡ እንታይ እዩ ረብሕኡ ኢልና ነቲ ረብሐኦም ነወፍዮ ነገር ንሕሰብ፡፡ ካብ ስምዒት ወፂና ታክቲክን ስትራተጂን ነዲፍና ንኪድ፡፡ እናሞትካ ስለ ኢጎን ህልክን ክትሓስብ ነውሪ እዩ፡፡ 2/2,negative,neutral,negative,negative
