tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
1.3160075327212997e+18,what police is to doing to others in other states na area boys dey do am to us here all politicians are the same obaseki is the same are boys dey use iron beat protesters,30,36.0,43,negative,negative,negative,negative
1.1195722781220372e+18,sterling hin own na to carry ball dey run like thief,11,34,38.0,negative,positive,negative,negative
1.049422301513601e+18,today we dey celebrate the wetin we gain croonerwinner warriusafropop musician and south south breedawi own for the bros u don try and we say kpoko to u,11.0,34,38,positive,positive,positive,positive
1.172084514820186e+18,if any law student or practising lawyer open hisher mouth here again eehhnn na slap una go receive una oga dem don sell the country,11,36,33.0,negative,negative,negative,negative
1.454053826466562e+18,‍️ i don comot,11,34.0,38,neutral,negative,negative,negative
8.742357560378163e+17,even if your love dey for seai fit fish am outfor your lovei fit turn fisher man,37,33,36.0,positive,positive,positive,positive
1.1693177585485455e+18,y i go calm down wey b say so many unclassified life has been taken the wey dey vex me pass b say my gal frd no go fit come naija again cus of fear guy if i tell u how much i don invest there ehh lets alone people wey lost there love once,31.0,34,38,negative,negative,negative,negative
1343070092544921600,ceballos na mumu player na e sabi,11,33,38.0,negative,negative,negative,negative
1.303029708670591e+18,lmao baba dey form i didnt want anything from him why you go dey call president to come commission your farm when e dey official visit,11.0,34,38,negative,negative,positive,negative
1.2174317108010394e+18,lrt na why boys no dey live long sometimes see how dem sit on top fence because of football,31,34,38.0,negative,negative,negative,negative
1.3340523057050337e+18,aaaah wetin na na help i wan help ooo,30,35,32.0,positive,positive,negative,positive
1.1424576797487635e+18,good evening my people how una dey cope with the rain anyways na gods blessing lets enjoy it while it last kindly swipe left to view size dm| tap into the link in bio wealways deliver,30,35,32.0,positive,positive,neutral,positive
1.0452873079207076e+18,zizou abeg come utd come do ur magicmou don run outta idea,11,34.0,38,positive,positive,positive,positive
1030078517839572992,na dem dey rush themselvessmall girl big dildo,11.0,33,38,negative,negative,positive,negative
1.452224677624025e+18,i really might not be the best but im such a baby girl porthacourt peeps always asking wheres landlord na so una take miss landlord yesterday ooo even called me landlady,30,35,32.0,positive,positive,neutral,positive
1.20E+18,this pikin sef she too dey waka,11.0,34,38,negative,negative,negative,negative
1.314639105821741e+18,make una dey play una ball ooo we dey street dey protest na person wet happy dey watch footballwe nigeria youth are not happywe arent watching any match,31,33,38.0,negative,negative,negative,negative
1.2673746629604966e+18,happy new month sef don turn sour‍️ this year get as e be,31,33.0,38,negative,negative,negative,negative
1.2802859533624812e+18,lmfaoooooo dem don give u man,11,34,38.0,positive,positive,positive,positive
1317530998394015744,sitting governor na mad man naa so no level soon we go dey slap dem if we dem for road,11,33,38.0,negative,negative,negative,negative
1.1800577423309087e+18,the downfall of a man no be the end of him life oniovoe depend on where e from fall erigga,30,35,43.0,positive,positive,negative,positive
1272564812736839684,its stressful person wey dey single dey complain,30,35,32.0,negative,negative,negative,negative
1.1081068241407058e+18,see these men dey play pes their eyes don dey red that guy no smile since dem don beat am tire,30,35.0,32,negative,negative,negative,negative
1247809409322848257,coz dis people dem dey do wetin funny,11,33.0,38,neutral,negative,negative,negative
1.2218288876483748e+18,lol dey don chop this one brain like okpa,30,36.0,43,negative,negative,negative,negative
796941047708479488,akporswhy e be say men wen dey always cheat on their wives naim dey always want make dem wives dey pecent loyaldem,11.0,33,38,negative,negative,negative,negative
1283855290773975042,e go come shock am sey dem fire am after weeks,37,36,33.0,neutral,negative,negative,negative
1150997736256364544,someone whose brain is asleep in the daytime na snoring im brain go dey do for the night school nah,11,33.0,38,negative,negative,negative,negative
1307977757570273280,them never see anything everyday for the thief one day for the owner e don tey way dem de chop our money na time to vomit am now,30,35.0,32,negative,negative,negative,negative
1.118787933107032e+18,am chilling nahna for twitter most of una get power atiku rigged too proofs too are everywhere buh the better rigger won,11,34.0,38,negative,negative,negative,negative
1113301874600501248,‍️ yas flow pussy bow blouse color navyred floral sizeml uk price n̶ ̶̶̶̶̶̶ gt n̶ ️ off dm to order shakarashop online shop wen sabi you sef go,11,33.0,38,positive,neutral,positive,positive
1.0789257535327763e+18,i love pres trump so much mehn na him fit dem for that america,30,35.0,32,positive,positive,positive,positive
1.30E+18,dem don dey yarn dust,11,34,38.0,negative,negative,negative,negative
1.418298746073387e+18,normal guys stuff sha una sabi how many times una dey argue for osogbo that time even on top small wot,31,34,38.0,positive,positive,neutral,positive
5.145607988665672e+17,abeg were style plus dem enter,30,36.0,43,positive,neutral,neutral,neutral
1.305242329243177e+18,abi i dey vex joo,30,36,43.0,negative,negative,negative,negative
1.128614779646546e+18,me dey when them no dey,30,35.0,32,positive,neutral,neutral,neutral
1234774148666273792,that thing wey you talk e fit happen,11.0,33,38,neutral,positive,positive,positive
1.3604866998733005e+18,omo me wey get wetin i dey use them do,30,36.0,43,positive,neutral,neutral,neutral
1.338950150513963e+18,arewa twitter una name dey trend inside this camp oo,30,35,43.0,positive,positive,neutral,positive
1.297342719908614e+18,wait how u dey watch am u dey stream am,11.0,34,38,neutral,neutral,neutral,neutral
1.2133952179881452e+18,how much be him salaryna bad belle be that naneed to purge am,30,36.0,43,negative,negative,negative,negative
1.1898586365432054e+18,hunku wey dey make sense wehdone keep on seeing my rant,30,36.0,43,positive,positive,positive,positive
1.2552488194549885e+18,help me sir see me oluwa wetin dey occur bayii shey i don go invincible ni bayii,30,35.0,32,positive,negative,negative,negative
1252639848621658113,follow follow were do you know they are going you just wan follow na u suppose dey conduct house fellowship,11,33,38.0,negative,negative,negative,negative
1.2026808924576522e+18,if anybody dey wey i don offend in one way or the other make una please slide in my dm imma apologize either im at fault or youre at fault i go apologize and let all go its december thanks love always ️,30,35,32.0,positive,positive,positive,positive
1.1314390734769234e+18,d leg wey any shoe u put e go perfectly fit the leg,31,34,38.0,neutral,neutral,neutral,neutral
1.3976795632877076e+18,lmaoo htc wey dey dip you wan attract curses,11,34,38.0,negative,negative,negative,negative
1.2897028910667817e+18,e don tay wey i dance like this o got me dancing like a mad man and i wasnt even there o,11.0,36,33,negative,positive,positive,positive
1.1671275221082153e+18,baba dey vex,30,35.0,43,negative,negative,neutral,negative
1304335239091810309,you lots should say it as it is na tosin was sexually harassingassaulting young girls simple which one is tosin was sexually assaulting young feminists una don dey do like say this feminism thing na organization wey anybody fit just join bloody hell,31.0,34,38,negative,negative,negative,negative
1.298151894544724e+18,which one be this throwback wey una de domake una since playersi take god beg una,11,34.0,38,positive,negative,negative,negative
1272213860095873024,he needs a strong vehicle to movecos apcna jeep wrangler them dey usepdp fit give am benz jeep,30,35,32.0,positive,positive,neutral,positive
1.2807668435993231e+18,if i see dis kain onena to carry am wholesale,30,35.0,43,positive,positive,positive,positive
1271537530312278021,sisssss e be things,31,34,38.0,neutral,negative,negative,negative
1.256505180536873e+18,loool them just call me say make i come collect palliative package oh dem dey gbajabiamila sey make dem give me for our area emi no ti jola leko ohhh i dont need it sha but feels good,11,36,33.0,positive,positive,positive,positive
1443830583705153549,no single happy independence for all the status for my contact list wahala be like nigeria wey him people nor wan celebrate again,11,33.0,38,negative,negative,negative,negative
1.216817743959335e+18,wetin den use tey highlight wey con bright like stadium light bayi mama say na mel morgue,11,33,36.0,positive,positive,neutral,positive
1.422391978277417e+18,i don wake upna wake up gold i want,11,34.0,38,positive,positive,positive,positive
1.148392554418901e+18,abeg carry mike commot abeghis nt speech articulated,11,34,38.0,negative,negative,negative,negative
1.3518163113373245e+18,i got an alert but i dont know who sent it ah god of umu ogbenyi i bless your name god of ndi ne ewe gi nne na nna i thank you na me you dey look after like this i will always speak of your goodness in my life,30,35,32.0,positive,positive,positive,positive
1.2648427578871972e+18,you see baba god finish work ontop my matter baba god im grateful of pure goodness smart funny sabi boy with ot wetn remain na that billion,30,35,32.0,positive,positive,positive,positive
1.4035871536538092e+18,me wey suppose go play football now one commissioner carry hin own come ‍️,11,34,38.0,neutral,negative,negative,negative
1374059179548246019,dem don dey drag my guy on top laycon matter,11,33.0,38,negative,negative,positive,negative
1.257684504300454e+18,una don pickmk una remember boys o,11,34,38.0,positive,positive,positive,positive
5.158313860378173e+17,na wetin i go do to tell u say ma love for you na real,11,34,38.0,positive,positive,negative,positive
1.2052614306368963e+18,bro after god na money na a girl gat to hustle and pursue life to take care of responsibilities waiting for her already job o business o make una help me retweet biko,11.0,33,36,neutral,positive,positive,positive
1185651773211586565,na this thing we wan dey watch till dey reach the th edition,11,33.0,38,neutral,negative,neutral,neutral
1.2936697070280704e+18,why all dis players de tweet neymar neymar up and down for tl shamelesss people,30,36,43.0,negative,negative,negative,negative
1.2768064900331766e+18,remember alaye mama tell you saymake you nor flexmake your money firstthe rest na jara dem go follow,11,34.0,38,positive,positive,positive,positive
1.2334873839764316e+18,never man will call me for hr and its full of insults bants abuses but deep down we know the love real af something we will never trade what is kiss smiley and mwuaah na abeg abeg that boy is foolish,11.0,33,36,negative,positive,negative,negative
1.307949222084346e+18,na so dem don carry me enter benin i tire,11,34.0,38,negative,negative,negative,negative
6.441389884843295e+17,as far as na women dey call the names,30,36.0,43,positive,neutral,neutral,neutral
1430826062708084739,all im saying if your partner no get the spirit of giving e no go fit give,30,35.0,32,positive,negative,negative,negative
1.2827861194034094e+18,guy wetin you dey always play this kind game na over na oxford v wycombe over granada v madrid over united v southampton over inter v torino over total odds,30,35.0,32,neutral,negative,negative,negative
1367167631686516740,haba my brother this one wey you dey fire her unco,37,36,33.0,neutral,negative,negative,negative
7.796356386771722e+17,yeye man i am a virgin not dat i dont ejaculate i wake up to see dat i hav,30.0,36,43,negative,negative,negative,negative
1352287838847586305,people will smoke what they like and come to the tl to start capping rubbish no african rapper can touch the helm of nasty cs garment you people did not even see any nigerian rapper to use and compare its laycon bbnaija fans no go fit kill me,37,36,33.0,negative,negative,negative,negative
1.420402473559339e+18,is been god all the way e no easy but we chest am na mind ️na defense remain ️ thank yall for de love nd support god bless yall for,31,34.0,38,positive,positive,positive,positive
1.1454635886116128e+18,i deliberately ignored waliys on marley na my person we no fit dey argue on things like that,30,35,32.0,positive,positive,negative,positive
1.1537689066680197e+18,the kind hold up wey dey road you fit trek from nigeria to california come back meet me there,11,34.0,38,negative,negative,negative,negative
1.0777121837761618e+18,nigerians which pesin pikin be this,11.0,34,38,neutral,neutral,positive,neutral
1.3698507738787594e+18,this one don wash hand comot for anything wey concern heavenly race,31,33,38.0,neutral,negative,negative,negative
1.2088183803561165e+18,bros your own better ooo my bank de charge me like say na them help me keep the money for there using other bank na them de collect from me and to use online banking na killing them de do me for there transactions go or e no go na them de collect,30,35.0,32,negative,negative,negative,negative
1368687192239988742,ac sef come look like say e de faulty or the gas don finish‍️‍️,30.0,35,32,negative,negative,negative,negative
1.3599744877274808e+18,omo e don tey i win bet oh,30,35,32.0,positive,negative,negative,negative
9.678868290631555e+17,when gist don dey sweet na him these people go change am to commercial ‍️‍️‍️,30,35.0,32,neutral,negative,negative,negative
1.264553153229398e+18,anon abeg na,11,34,38.0,neutral,negative,negative,negative
1.1880165226162831e+18,u are mostly begging for help to survive u have kids the eldest should be or and now u re pregnant again its like u and that ur husband are seriously disturbed mentally na only una sabi fk abi,31,34,38.0,negative,negative,negative,negative
1353638733120229377,where i fit subscribe to am i don dey see this advert since last year i wan experience am boss,11.0,33,38,positive,positive,positive,positive
1243627663266283520,shebi if i talk this thing wey dey my mouth now obosi and awka people will say i have started again biko and comman carry una village person,11,33,38.0,negative,negative,negative,negative
1.3595552829684736e+18,if you know wetin bolt driver dey face ehn but what to do na na the money concern us,11,34,38.0,neutral,negative,negative,negative
1220567424195612672,dis guy sef na dance u day dance,30,35.0,32,positive,negative,negative,negative
1.167475600094847e+18,lmafooo we dey like guys the guy sef short dey black,11,33,38.0,negative,neutral,negative,negative
1350937424839503875,if na wetin you wan use console yourself then you no get hope because una fit no win any cup this season,30.0,35,32,negative,negative,negative,negative
1299526530008338438,yes dr e big na me wey stand snap,30,35,32.0,positive,positive,neutral,positive
1241693240811827200,oluwa wetin de happen this is not the vision weve always dreamed of,31.0,34,38,negative,negative,negative,negative
1.29870503905425e+18,na there of the hits e ever get they those club waves na hardly e style,11,34,38.0,neutral,neutral,negative,neutral
8.048096615432274e+17,lmfao so dem dey chop am now,30,35.0,32,neutral,negative,neutral,neutral
1.0448361370329948e+18,dem dey rush me like omisore during rerun i hope dem stick if the election results is announced logos lagos nigeria,30,35,32.0,positive,positive,negative,positive
1285355161943236610,just dey pick the babes one after the other like beans wey get plenty stones e get why,11.0,33,38,negative,positive,positive,positive
1347822035683201024,you fit change the situation so no more punishment,37.0,36,33,neutral,positive,positive,positive
1.27e+18,i went through my phone this morningi found this video omosolaa e bi like say you don dey do am no bi today i missed all house matemore blessing,37.0,36,33,neutral,positive,positive,positive
1.199281185991598e+18,shebi if say make i pack come dey stay with am my mama go say im prayer don work say na destiny helper they fit begin dey fear me for area say i don go do juju me sef go begin dey feel like las las heaven go rejoice on top my head,30,35.0,32,positive,positive,positive,positive
1143984975072636928,she don set hot water down gee lets go even sef,31,34,38.0,positive,negative,negative,negative
1416051809853054976,e b like na radio streaming go fit you o,11,33.0,38,positive,positive,positive,positive
1.26E+18,sharap dia body count wey don pass,11,34.0,38,negative,negative,negative,negative
1164845911169732608,swipe boohooman tie dye ss tshirt price n̶ ️ color blue size m dm to order shakarashop online shop wen sabi you sef go dey do shakara warri nigeria,30,35.0,32,positive,positive,positive,positive
1.322422283009491e+18,i nearly tag you for the post cos na you he dey find response from,11,34.0,38,neutral,neutral,positive,neutral
1.2915323969370726e+18,she wan kick her commot hoh room àbí na she be him babe,11,34,38.0,negative,neutral,negative,negative
1283827541204140032,na big fool make e dm me if e go work for my pos booth here for benin,30,35,32.0,negative,negative,negative,negative
1.0294663077276344e+18,olodo like us we no dey quick submit exam booklet na invigilators dey rush us,30,35,32.0,negative,negative,negative,negative
