tweet_id,tweet,annotator_1,annotator_2,annotator_3,anno1,anno2,anno3,label
1468616447568064516,Bnadem kabr blkhobz o zit l3oud o galek cher père Noël tahowa Zid m3ahom https://t.co/YkDNlGObRh,73.0,81.0,82.0,negative,negative,negative,negative
683674600153153536,@user ach had lklam mal fans haydi hajm 3la hanane hchouma hadchi 3nd bali ntouma mohtaramin pffffffffff,73.0,82.0,81.0,negative,negative,negative,negative
691071685424979968,@user Ihab 3lach mli dkhlat hanane lbareh rj3ti fhalatk hit kan kays7ab lik nassim li raj3 tbghi had sou2al iwslo ? kono thchmo,73.0,81.0,82.0,negative,neutral,negative,negative
698066480680824832,@user @user rah tansifto lihom f e-mail bach yi7ydou smiya tanya,73.0,82.0,81.0,neutral,neutral,neutral,neutral
716403804669870083,@user souhila i love bzfflfffffffffffffff kan7ma9 3lik merhba o alf mlyoun merhba bik flmghrib https://t.co/DPhDBpD0kL,73.0,82.0,81.0,positive,positive,positive,positive
1195745553113591808,Marrakech khawya. Koulchi mcha l ifrane 👌🏻,73.0,81.0,82.0,positive,neutral,neutral,neutral
746055402765324289,@user wakha fl mnam inshallah hhhhhhhhh,73.0,82.0,81.0,neutral,positive,positive,positive
757284456910708737,@user w3tini dalil ana 9aftan torki?w3tini dalil 9ati3 ana sra9na toratkom wano ta3kom? ba3da achno sra9na??7int ana hami ghi 9ftan,73.0,72.0,79.0,negative,neutral,neutral,neutral
729066681646120960,"@user @user alsyassa w aldin la , alkoora w din mzyanin chouf leicester w bouda dyalhoum fin wsslo hhhhhhhh",73.0,72.0,74.0,negative,neutral,neutral,neutral
684099879409479680,@user Hyaa Aslaaaaann Najhaaa Bla madiir aghaani amma Fach addir aghaaniii Rah Tkouun 9onboolaa fl Oula Fljazayr #SouhailaBenLachhab,73.0,82.0,81.0,positive,positive,positive,positive
558943906369642496,@user 3lach klamek makywsalnich khasni hta ndkhol page dyalek hadi hadra chafth hta sbah b9a fia lhal jatnia bakya wa rah twahchte,73.0,82.0,81.0,negative,neutral,negative,negative
595305508417966080,@user ouii hadi f sahraa ahlaa gelssa wala msstaniya oghniya sma3t ma9ta3 sghiir o 3ejbaatni ...anamtakda,73.0,72.0,74.0,positive,positive,positive,positive
690253718831382528,#رافي_حينور_الاكاديمي raphael o ba9i tolab ghadi ychahdo lprime men lacademy je crois,73.0,81.0,82.0,neutral,neutral,neutral,neutral
